NAZIV PROIZVODA,ŠIFRA PROIZVODA,MARKA PROIZVODA,NETO KOLIČINA,JEDINICA MJERE,MALOPRODAJNA CIJENA,CIJENA ZA JEDINICU MJERE,MPC ZA VRIJEME POSEBNOG OBLIKA PRODAJE,NAJNIŽA CIJENA U POSLJEDNIH 30 DANA,SIDRENA CIJENA NA 2.5.2025,BARKOD,KATEGORIJA PROIZVODA
JOGURT TEKUĆI 1KG PET DUKAT,90514015,DUKAT,1.00 kg,ko,3.09,3.09,,,2.95,3850354016021,HRANA
JOGURT B'AKTIV LGG NATUR 330g DUKAT,90514018,B'AKTIV,0.33 kg,ko,1.85,5.61,,,1.79,3850354015833,HRANA
JOGURT B'AKTIV ACAI ŠUMSKI MIX 330g,90514021,B'AKTIV,0.33 kg,ko,2.09,6.33,,,2.05,3850354015840,HRANA
JOGURT B'AKTIV JAGODA 330g DUKAT,90514024,B'AKTIV,0.33 kg,ko,2.09,6.33,,,2.05,3850354015864,HRANA
SMOOTHIE B'AKTIV BOROV-BAN 330g,90514033,B'AKTIV,0.33 kg,ko,2.49,7.55,,,2.29,3850354015888,HRANA
SMOOTHIE B'AKTIV JAG/ANAN 330g,90514035,B'AKTIV,0.33 kg,ko,2.49,7.55,,,2.29,3850354015901,HRANA
JOGURT B'AKTIV TREŠNJA 330g DUKAT,90514039,B'AKTIV,0.33 kg,ko,2.09,6.33,,,2.05,3850354015871,HRANA
MLIJEKO SVJEŽE 3.2% 1 L-BOCA DUKAT,90514083,DUKAT,1.00 l,ko,1.85,1.85,,,1.85,3850354016083,HRANA
BADEM JEZGRA GG SUHO PRŽ NESL 180g,90514162,GARDEN GOOD,0.18 kg,ko,4.19,23.25,,,3.39,3838900987827,HRANA
ORAH BRAZILSKI GARDEN GOOD 180g,90514176,GARDEN GOOD,0.18 kg,ko,6.19,34.35,,,3.99,3838900987834,HRANA
DATULJA GARDEN GOOD PREMIUM 180g,90514181,GARDEN GOOD,0.18 kg,ko,3.39,18.81,,,3.09,3838900987865,HRANA
PISTACIO LJUSKA G GOOD PR NESL 180g ,90514405,GARDEN GOOD,0.18 kg,ko,5.59,31.02,,,4.99,3838900987995,HRANA
BUNDEVA LJUSKA SJEM GARDEN GOOD 200g,90514408,GARDEN GOOD,0.20 kg,ko,1.85,9.25,,,1.85,3838900988091,HRANA
CHIA SJEMENKE GARDEN GOOD 200g,90514409,GARDEN GOOD,0.20 kg,ko,1.19,5.95,,,1.49,3838900988008,HRANA
PIVO LAŠKO ZLATOROG 4PACK 0.5L LIM,90514621,LAŠKO,2.00 l,ko,6.79,3.4,,,6.59,3830001712667,PIĆE
MLIJEKO ZA KAVU MARESI 250g,90518149,MARESI,0.25 kg,ko,2.19,8.76,,,2.05,90026027,HRANA
KEKS DOMAĆICA KOKOS 275g KRAŠ,90518216,DOMAĆICA,0.28 kg,ko,4.39,15.96,,,3.19,3850102521388,HRANA
ŠTAPIĆI ZA UŠI BIOR OLEA REFIL 160/1,90518246,OLEA,160.00 ko,ko,0.79,0,,,0.79,8605002353219,TOALETNE POTREPŠTINE
PROTEINSKI NAPITAK PISTACIO 0.5L VI,90518419,Z BREGOV,0.50 l,ko,3.19,6.38,,,3.19,3850108023794,HRANA
SKYR PROTEIN ACTIVE ZONE 500g,90518490,ACTIVE ZONE,0.50 kg,ko,2.35,4.7,,,2.25,3838900802342,HRANA
LAN SJEMENKE GARDEN GOOD 200g,90518723,GARDEN GOOD,0.20 kg,ko,0.87,4.35,,,0.73,3838900956915,HRANA
LIKER DALMACIJAVINO JULI SONNE 1L,90528124,DALMACIJAVINO,1.00 l,ko,14.79,14.79,,,14.79,3858892460559,PIĆE
DESERT TORTICA CRUNCHY 21g KRAŠ,90528272,TORTICA,0.02 kg,ko,0.69,32.86,,,0.69,3850102521449,HRANA
BLAZINICE OLEA 140/1,90528306,OLEA,140.06 ko,ko,1.49,0.01,,,1.49,8605002353233,TOALETNE POTREPŠTINE
KEKS PETIT 1kg,90533201,SLOVA,1.00 kg,ko,2.49,2.49,,,3.19,8605028602155,HRANA
TORTILLA PŠEN 8x20cm 320g HRUSTY,90533230,HRUSTY,0.32 kg,ko,1.99,6.22,,,1.99,8605002359723,HRANA
PIVO KARLOVAČKO SVIJETLO LIM 0.5L 4P,90533244,KARLOVAČKO,2.00 l,ko,6.89,3.45,,,6.69,3850103001476,PIĆE
