NAZIV PROIZVODA,ŠIFRA PROIZVODA,MARKA PROIZVODA,NETO KOLIČINA,JEDINICA MJERE,MALOPRODAJNA CIJENA,CIJENA ZA JEDINICU MJERE,MPC ZA VRIJEME POSEBNOG OBLIKA PRODAJE,NAJNIŽA CIJENA U POSLJEDNIH 30 DANA,SIDRENA CIJENA NA 2.5.2025,BARKOD,KATEGORIJA PROIZVODA
DATULJA EUROCOMPANY DEGLET NOUR 200g,01310151,EUROCOMPANY,0.20 kg,ko,1.35,6.75,,,1.29,8009750222771,HRANA
UMAK SALSA HOT CHIO DIO 200ML,01310397,CHIO,0.20 l,ko,3.69,18.45,,,3.69,4001242108215,HRANA
SMOKVA EUROCOMPANY SUHA 200g,01311158,EUROCOMPANY,0.20 kg,ko,3.39,16.95,,,2.39,3872084014528,HRANA
ORAH INDIJSKI SEEBERGER 150g,01318018,SEEBERGER,0.15 kg,ko,7.09,47.27,,,6.89,4008258038000,HRANA
LUK ŽUTI 1 kg,01400200,KORA,1.00 kg,ko,1.19,1.19,,,1.19,3850334049667,HRANA
ČIPS PRINGLES SOUR&CREAM 165g,01311183,PRINGLES,0.17 kg,ko,4.39,26.61,,,4.39,5053990101597,HRANA
ČIPS PRINGLES PAPRIKA 165g,01311184,PRINGLES,0.17 kg,ko,4.39,26.61,,,4.39,5053990161669,HRANA
ČIPS PRINGLES ORGINAL 165g,01311186,PRINGLES,0.17 kg,ko,4.39,26.61,,,4.39,5053990101573,HRANA
GLJIVA ŠAMPINJON 500 grama,01400034,KORA,0.50 kg,ko,2.39,4.78,,,2.39,3850334013576,HRANA
KRUMPIR 5 kg,01400162,KORA,5.00 kg,ko,3.99,0.8,,,3.99,3850334386120,HRANA
MRKVA 1/1 PAK,01400070,,1.00 kg,ko,1.45,1.45,,,1.45,3850334021243,HRANA
GLJIVA ŠAMPINJON REZANI 250 grama,01400086,,0.25 kg,ko,1.79,7.16,,,1.79,3850334184832,HRANA
PAPRIKA MIX,01400092,,0.50 kg,ko,2.99,5.98,,,2.99,3859892029500,HRANA
LUK ŽUTI  VLAKIĆ 4 KOM,01400238,KORA,0.75 kg,ko,1.29,1.72,,,1.19,3850334386212,HRANA
SALATA ICEBERG KOMAD,01400480,,0.35 kg,ko,2.05,5.84,,,1.79,3859889558891,HRANA
LUK CRVENI,01400528,,1.00 kg,kg,0.69,0.69,,,0.84,3850334386182,HRANA
LUK LJUBIČASTI,01400667,,1.00 kg,kg,1.45,1.45,,,1.55,3850334173034,HRANA
KUPUS SVJEŽI,01401365,,1.00 kg,kg,0.69,0.69,,,0.79,3850334173119,HRANA
PAPRIKA ZELENA,01401721,,1.00 kg,kg,4.39,4.39,,,4.19,3850334173164,HRANA
PORILUK,01401857,,1.00 kg,kg,1.49,1.49,,,1.99,3850334173225,HRANA
SALATA KRISTAL KOMAD,01403008,,0.20 kg,ko,0.95,4.75,,,0.95,3850334240026,HRANA
KRASTAVAC,01405646,,1.00 kg,kg,2.99,2.99,,,2.25,3850334173409,HRANA
RAJČICA GRAPOLO,01405772,,1.00 kg,kg,2.75,2.75,,,3.19,3850334173416,HRANA
TIKVA PUTER,01405783,,1.00 kg,kg,1.19,1.19,,,1.79,3850334386519,HRANA
KRUMPIR KLIPER 1.5 kg,01407829,KORA,1.50 kg,ko,2.05,1.37,,,2.05,3856017203005,HRANA
KRASTAVAC SALATNI KOM,01407864,,0.30 kg,ko,1.55,5.16,,,1.05,3859892765255,HRANA
KUPUS BIJELI 300 grama,01407868,KONZUM,0.30 kg,ko,1.65,5.5,,,1.55,3850334197955,HRANA
PAPRIKA BABURA,01408960,,1.00 kg,kg,2.75,2.75,,,4.79,3850334173423,HRANA
MANGO KOM,01410076,,0.25 kg,ko,1.45,5.8,,,1.55,3850334181947,HRANA
AVOKADO KOM,01410080,,0.20 kg,ko,1.29,6.45,,,1.45,2011171540101,HRANA
KIWI,01410105,,1.00 kg,kg,3.19,3.19,,,3.59,3850334173522,HRANA
BANANA,01410437,,1.00 kg,kg,1.75,1.75,,,1.75,3850334173539,HRANA
GROŽĐE CRVENO,01410725,,1.00 kg,kg,4.59,4.59,,,4.79,3850334173584,HRANA
JABUKA ZLATNI DELIŠES,01411106,,1.00 kg,kg,2.05,2.05,,,1.89,3850334173614,HRANA
LIMETA,01411177,,1.00 kg,kg,3.59,3.59,,,2.99,3850334173645,HRANA
NARANČA,01411575,,1.00 kg,kg,1.49,1.49,,,1.49,3850334173690,HRANA
JABUKA GALA,01411591,,1.00 kg,kg,2.05,2.05,,,1.79,3850334386069,HRANA
KRUŠKA WILLIAMS,01414187,,1.00 kg,kg,2.39,2.39,,,2.39,3850334173775,HRANA
GRAH ŠARENI,01421206,EUROCOMPANY,1.00 kg,kg,1.99,1.99,,,1.99,3859893124860,HRANA
DŽEM SMOKVA EKO 240G DIDA BOŽA,01460260,DIDA BOŽA,0.24 kg,ko,5.39,22.46,,,4.49,3859891515011,HRANA
AJVAR BLAGI 350g PODRAVKA,01480632,PODRAVKA,0.35 kg,ko,3.09,8.83,,,3.09,3850104051029,HRANA
AJVAR LJUTI 350g PODRAVKA,01480010,PODRAVKA,0.35 kg,ko,3.09,8.83,,,3.09,3850104050565,HRANA
AJVAR BLAGI 690g PODRAVKA,01480137,PODRAVKA,0.69 kg,ko,4.99,7.23,,,3.69,3850104051012,HRANA
AJVAR UPRŽENI BAKINA TAJNA 300g,01481016,BAKINA TAJNA,0.30 kg,ko,6.89,22.97,,,6.89,8606102785030,HRANA
UMAK RAJČICA BOSILJAK 400g BARILLA,01490006,BARILLA,0.40 kg,ko,4.09,10.23,,,4.09,8076809513456,HRANA
KEČAP BLAGI 500g ZVIJEZDA,01490071,ZVIJEZDA,0.50 kg,ko,2.49,4.98,,,2.49,3858882210874,HRANA
UMAK PESTO 190g BARILLA,01490108,BARILLA,0.19 kg,ko,5.99,31.53,,,5.99,8076809513746,HRANA
KUKURUZ ŠEĆERAC PODRAVKA 280g,01490142,PODRAVKA,0.28 kg,ko,1.99,7.11,,,1.99,3850104063435,HRANA
DRESSING FRENCH 75ml VREĆ DEVELEY TR,01491292,DEVELEY,0.08 l,ko,0.95,12.67,,,0.95,4006824008013,HRANA
DRESSING JOGURT 75ml VREĆ DEVELEY,01491293,DEVELEY,0.08 l,ko,0.95,12.67,,,0.95,4006824018111,HRANA
DRESSING KRAUTER 75ML VREĆ DEVELEY,01491297,DEVELEY,0.08 kg,ko,0.95,12.67,,,0.95,4006824028219,HRANA
JUHA SPEC PIL S TIJ 5x75G  INDOMIE,01491316,INDOMIE,0.38 kg,ko,2.79,7.44,,,2.79,0089686170054,HRANA
KUKURUZ ŠEĆERAC 140g LIM PODRAVKA,01492145,PODRAVKA,0.14 kg,ko,1.49,10.64,,,1.49,3850104221682,HRANA
UMAK NAPOLITANA 400g BARILLA,01495019,BARILLA,0.40 kg,ko,4.09,10.23,,,4.09,8076809513692,HRANA
UMAK BOLOGNESE 400g BARILLA,01495020,BARILLA,0.40 kg,ko,5.89,14.73,,,5.89,8076809513678,HRANA
DŽEM OD MARELICE BAKINA TAJNA 375g,01501121,BAKINA TAJNA,0.38 kg,ko,4.99,13.31,,,4.99,8606102785016,HRANA
PAPRIKA PEČENA 400g PODRAVKA,01512639,PODRAVKA,0.40 kg,ko,4.99,12.48,,,4.99,3850104209291,HRANA
KRASTAVAC DELIKATES 350g ZVIJEZDA,01520102,ZVIJEZDA,0.35 kg,ko,3.69,10.54,,,3.69,3856015303240,HRANA
KRASTAVAC DELIKATES 170g ZVIJEZDA,01520103,ZVIJEZDA,0.17 kg,ko,3.39,19.94,,,3.39,3858882216005,HRANA
KRASTAVAC 370g PODRAVKA,01520246,PODRAVKA,0.37 kg,ko,3.69,9.97,,,3.69,3850104050244,HRANA
KRASTAVAC K PLUS I KL 350g,01522203,K PLUS,0.35 kg,ko,2.69,7.69,,,2.45,3850334117953,HRANA
AJVAR K PLUS BLAGI 680g,01489506,K PLUS,0.68 kg,ko,3.69,5.43,,,3.49,3850334117939,HRANA
TORTILLA 4X25CM 245g LA FIESTA,01490633,LA FIESTA,0.25 kg,ko,2.85,11.63,,,2.85,5412514935016,HRANA
TORTILLA 8X20CM 320g LA FIESTA,01490634,LA FIESTA,0.32 kg,ko,3.39,10.59,,,3.39,5412514934989,HRANA
KUS KUS 500g KUT PASTA ZARA,01496117,PASTA ZARA,0.50 kg,ko,2.39,4.78,,,2.05,8004350131850,HRANA
GRAH BIJELI 230g LIM PODRAVKA,01529013,PODRAVKA,0.23 kg,ko,1.75,7.61,,,1.75,3850104020797,HRANA
GRAH BIJELI 460g PODRAVKA,01529014,PODRAVKA,0.46 kg,ko,2.75,5.98,,,2.75,3850104020780,HRANA
SENF BLAGI TUBA 200g THOMY,01530002,THOMY,0.20 kg,ko,2.85,14.25,,,2.85,7613287084163,HRANA
SENF ESTRAGON PVC 140g PODRAVKA,01530171,PODRAVKA,0.14 kg,ko,2.35,16.79,,,2.25,3850104023033,HRANA
SENF ESTRAGON TUBA 100g PODRAVKA,01530317,PODRAVKA,0.10 kg,ko,1.99,19.9,,,1.99,3850104023019,HRANA
GRAH SMEĐI 230g LIM PODRAVKA,01550061,PODRAVKA,0.23 kg,ko,1.75,7.61,,,1.75,3850104024870,HRANA
GRAH SMEĐI 460g LIM PODRAVKA,01550062,PODRAVKA,0.46 kg,ko,2.75,5.98,,,2.75,3850104025389,HRANA
GRAH CRVENI 230g PODRAVKA,01550199,PODRAVKA,0.23 kg,ko,1.99,8.65,,,1.75,3850104020759,HRANA
GRAH CRV KUK MEKS UMAK 200g BONDU,01550386,BONDUELLE,0.20 kg,ko,2.59,12.95,,,2.59,3083680495882,HRANA
KUKURUZ ŠEĆERAC 285g ZVIJEZDA,01550503,ZVIJEZDA,0.29 kg,ko,2.25,7.89,,,2.25,3858882217071,HRANA
GRAŠAK 265g ZVIJEZDA,01550504,ZVIJEZDA,0.27 kg,ko,2.09,7.89,,,2.09,3858882217057,HRANA
GRAŠAK I KVAL 160g LIM PODRAVKA,01551626,PODRAVKA,0.16 kg,ko,1.59,9.94,,,1.59,3850104050046,HRANA
FEFERON LJUTI 160g PODRAVKA,01560280,PODRAVKA,0.16 kg,ko,3.39,21.19,,,3.39,3850104050404,HRANA
FEFERON BLAGI 270g PODRAVKA,01564014,PODRAVKA,0.27 kg,ko,4.09,15.15,,,4.09,3850104011641,HRANA
RAJČICA PASIRANA 500g PODRAVKA,01570044,PODRAVKA,0.50 kg,ko,1.09,2.18,,,1.09,3850104073656,HRANA
RAJČICA KONCENTRAT TUBA 190g PODRAV,01570144,PODRAVKA,0.19 kg,ko,2.75,14.47,,,2.75,3850104053221,HRANA
RAJČICA PASIRANA ST 400g MUTTI,01570367,MUTTI,0.40 kg,ko,2.75,6.88,,,2.49,8005110630408,HRANA
RAJČICA PELAT 400g MUTTI,01570012,MUTTI,0.26 kg,ko,2.35,9.04,,,1.85,8005110060007,HRANA
RAJČICA POLPA 400g MUTTI,01570909,MUTTI,0.40 kg,ko,2.35,5.88,,,2.25,80042556,HRANA
MASLINE ZELENE OTKOŠ 165g ZVIJEZDA,01580214,ZVIJEZDA,0.17 kg,ko,3.99,24.18,,,3.99,3858882213769,HRANA
MASLINE ZELENE S PAP 200g ZVIJEZDA,01580216,ZVIJEZDA,0.20 kg,ko,4.19,20.95,,,4.19,3858882213790,HRANA
MASLINE CRNE 200g ZVIJEZDA,01580219,ZVIJEZDA,0.20 kg,ko,3.99,19.95,,,3.99,3858882213714,HRANA
CIKLA 380g PODRAVKA,01590098,PODRAVKA,0.38 kg,ko,3.09,8.13,,,3.09,3850104050718,HRANA
ŠAMPINJONI REZ LIM 220g PODRAVKA,01600556,PODRAVKA,0.22 kg,ko,2.85,12.95,,,2.85,3850104257834,HRANA
PEDIGREE DENTASTIX MALI 110G,01640063,PEDIGREE,0.11 kg,ko,2.75,25,,,2.75,5010394984577,PROIZVODI ZA KUĆANSTVO
PEDIGREE DENTASTIX SREDNJI 180G,01640064,PEDIGREE,0.18 kg,ko,3.69,20.5,,,3.69,5010394984584,PROIZVODI ZA KUĆANSTVO
DARLING SP MESO POVR 3KG,01640595,DARLING,3.00 kg,ko,11.19,3.73,,,11.19,7613032933760,PROIZVODI ZA KUĆANSTVO
DARLING SP MESO POVRĆE 500g,01640598,DARLING,0.50 kg,ko,2.75,5.5,,,2.75,7613032933746,PROIZVODI ZA KUĆANSTVO
PEDIGREE MP ADULT 4X100g,01641305,PEDIGREE,0.40 kg,ko,3.69,9.23,,,3.69,5900951021015,PROIZVODI ZA KUĆANSTVO
PEDIGREE MULTI BISCROC 200g,01641536,PEDIGREE,0.20 kg,ko,2.25,11.25,,,2.25,9003579302545,PROIZVODI ZA KUĆANSTVO
PEDIGREE MP GOVEDINA 100G VR,01642172,PEDIGREE,0.10 kg,ko,1.09,10.9,,,1.09,5900951017261,PROIZVODI ZA KUĆANSTVO
PEDIGREE RODEO 70g,01647013,PEDIGREE,0.07 kg,ko,1.49,21.29,,,1.49,5998749170212,PROIZVODI ZA KUĆANSTVO
BUDDY MP GOVEDINA 405g,01647057,BUDDY,0.41 kg,ko,1.25,3.09,,,1.25,3850334018236,PROIZVODI ZA KUĆANSTVO
ČAJNA KOBASICA GAVRILOVIĆ,02023932,GAVRILOVIĆ,1.00 kg,kg,25.49,25.49,,,25.49,3858881220812,HRANA
ZIMSKA SALAMA NAR 100g MA PIK VRBOV,02024385,PIK VRBOVEC,0.10 kg,ko,3.49,34.9,,,3.49,3850139010480,HRANA
CIKLA 360G,01590427,SLOVA,0.36 kg,ko,1.45,4.03,,,1.45,3850334076175,HRANA
TARTUFATA 80g ZIGANTE,01600100,ZIGANTE,0.08 kg,ko,13.19,164.88,,,13.19,3859889179201,HRANA
TARTUFI I MASLINE 80g ZIGANTE,01600103,ZIGANTE,0.08 kg,ko,8.79,109.88,,,8.79,3859889179652,HRANA
WHISKAS SM JUNIOR PILETINA 300g,01640994,WHISKAS,0.30 kg,ko,2.99,9.97,,,2.99,5900951014079,PROIZVODI ZA KUĆANSTVO
WHISKAS TEMPTAT PIL SIR 60g,01641143,WHISKAS,0.06 kg,ko,2.35,39.17,,,2.35,5998749146798,PROIZVODI ZA KUĆANSTVO
WHISKAS SM PILET POVRĆE 300g,01641664,WHISKAS,0.30 kg,ko,2.99,9.97,,,2.99,5900951014055,PROIZVODI ZA KUĆANSTVO
FRISKIES PICNIC PILET 42g,01642012,FRISKIES,0.04 kg,ko,0.99,23.57,,,0.99,4000487223349,PROIZVODI ZA KUĆANSTVO
ČAJNA KOB NAR 100g MA PIK VRBOVEC,02024388,PIK VRBOVEC,0.10 kg,ko,3.49,34.9,,,3.49,3850139010435,HRANA
ZIMSKA SALAMA 330g MA PIK,02024474,PIK VRBOVEC,0.33 kg,ko,9.99,30.27,,,9.99,3850139010626,HRANA
PANONA SALAMA NAR 100g MA PIK VRBOVE,02024485,PIK VRBOVEC,0.10 kg,ko,3.69,36.9,,,3.69,3850139010855,HRANA
KULEN 300g PODRAVKA,02024511,PODRAVKA,0.30 kg,ko,8.69,28.97,,,8.69,3858886466383,HRANA
ŠUNKA U OVITKU NAR 125g MA PIK VRBOV,02036496,PIK VRBOVEC,0.13 kg,ko,3.09,24.72,,,3.09,3850139171051,HRANA
MORTADELA PIK NAR 150g MA PIK VRBOVE,02036498,PIK VRBOVEC,0.15 kg,ko,3.39,22.6,,,3.39,3850139171044,HRANA
ŠUNKA KUHANA NAR 125g MA PIK VRBOVEC,02036499,PIK VRBOVEC,0.13 kg,ko,3.09,24.72,,,3.09,3850139360516,HRANA
DEBRECINKA 440g VAC PIK VRBOVEC,02036535,PIK VRBOVEC,0.44 kg,ko,5.49,12.48,,,5.49,3850139330977,HRANA
PRSA PIL DIM NAR 250g VAC DIMCEK VIN,02039384,CEKIN,0.25 kg,ko,4.39,17.56,,,4.39,3850159122033,HRANA
PRSA PILEĆA U OVITKU  500g VINDIJA,02039511,CEKIN,0.50 kg,ko,6.29,12.58,,,6.29,3850159125034,HRANA
HRENOVKE PIL BEZ OV 300g CEKIN VIND,02048157,CEKIN,0.30 kg,ko,2.49,8.3,,,2.49,3850159120022,HRANA
HRENOVKE PIL SIR BEZ OV 100g CEKIN,02048160,CEKIN,0.10 kg,ko,1.05,10.5,,,1.05,3850159120800,HRANA
POLI KRATKI 500g PERUTNINA,02048273,POLI,0.50 kg,ko,5.29,10.58,,,5.29,3850220153065,HRANA
EXTRAWURST (VINDVAC) NAR 250g VINDIJA,02048317,CEKIN,0.25 kg,ko,2.85,11.4,,,2.85,3850159122132,HRANA
POLI MINI 220g PERUTNINA,02048427,POLI,0.22 kg,ko,2.49,11.32,,,2.49,3850220152839,HRANA
HRENOVKE BEZ OV 250g PIK VRBOVEC,02048502,PIK VRBOVEC,0.25 kg,ko,3.39,13.56,,,3.39,3850139310825,HRANA
SIR TVRDI RIBANAC 40g DUKAT,02050951,PRESIDENT,0.04 kg,ko,1.85,46.25,,,1.85,3850355007608,HRANA
SIR POLUTV PODRAVEC 400g DUKAT,02053837,PRESIDENT,0.40 kg,ko,6.69,16.73,,,6.49,3850355007363,HRANA
SIR TVRDI LIVANJSKI 1/4 VAC MLJ LIVN,02053853,MLJEKARA LIV,1.00 kg,kg,29.49,29.49,,,29.49,3870348000201,HRANA
SIR TVRDI EMENTAL PRES 250g DUKAT,02053902,PRESIDENT,0.25 kg,ko,6.99,27.96,,,6.99,3228023910039,HRANA
SIR GORGONZOLA 150g DUKAT,02053904,GALBANI,0.15 kg,ko,4.99,33.27,,,4.89,8000430058765,HRANA
SIR TVRDI EMMENTALER K PLUS 300g,02053911,K PLUS,0.30 kg,ko,3.69,12.3,,,3.69,3850334189134,HRANA
SIR TVRDI PRIMORAC VAC PAŠKA SIRANA,02055398,PAŠKA SIRANA,1.00 kg,kg,30.99,30.99,,,27.99,3859889426107,HRANA
SIR POLUTV GOUDA 48% 250g DUKAT,02055420,PRESIDENT,0.25 kg,ko,4.59,18.36,,,4.49,3850355007301,HRANA
SIR POLUTV GOUDA 48% 400g DUKAT,02055421,PRESIDENT,0.40 kg,ko,6.69,16.73,,,6.49,3850355007325,HRANA
SIR POLUTV DIMSI 400g DUKAT,02055422,PRESIDENT,0.40 kg,ko,6.69,16.73,,,6.49,3850355007288,HRANA
SIR POLUTV PODRAVEC 45% 250g DUKAT,02055423,PRESIDENT,0.25 kg,ko,4.59,18.36,,,4.49,3850355007349,HRANA
SIR TVRDI OLD AMST REZ 150g VELDZUYZEN,02055427,VELDHUYZEN,0.15 kg,ko,6.49,43.27,,,6.19,8717545620236,HRANA
SIR MEKI CAMEMBERT 250g VINDIJA,02100678,Z BREGOV,0.25 kg,ko,6.19,24.76,,,6.19,3850108051902,HRANA
SIR MEKI CAMEMBERT PRES 250g DUKAT,02102553,PRESIDENT,0.25 kg,ko,5.99,23.96,,,5.99,3228020481426,HRANA
LISTIĆI K PL OD SIRA I BILJ MAS 150g,02102786,K PLUS,0.15 kg,ko,1.25,8.33,,,1.25,3850334005205,HRANA
SIR NAM ABC 100g BELJE,02102802,ABC,0.10 kg,ko,1.69,16.9,,,1.25,3856015324153,HRANA
SIR MEKI PLAVA PL BOVI BLUE 100g VIND,02103000,Z BREGOV,0.10 kg,ko,2.79,27.9,,,2.79,3850108052497,HRANA
SIR MEKI BRIE 200g DUKAT,02103071,PRESIDENT,0.20 kg,ko,5.49,27.45,,,5.49,3228020232028,HRANA
SIR NAM ABC 200g BELJE,02103154,ABC,0.20 kg,ko,2.99,14.95,,,2.99,3856015324177,HRANA
SIR MEKI PUNOMASNI SALAKIS 250g DUK,02103166,PRESIDENT,0.25 kg,ko,6.19,24.76,,,5.99,3850355001637,HRANA
SIR TOP TROK PLAVA ZDENKA 140g,02103198,ZDENKA,0.14 kg,ko,2.19,15.64,,,2.25,3858888590093,HRANA
SIR TOP TROK ČARDAŠ 140g ZDENKA,02103200,ZDENKA,0.14 kg,ko,2.79,19.93,,,2.79,3858888590109,HRANA
NAREZAK MESNI 150g PODRAVKA,02160091,PODRAVKA,0.15 kg,ko,2.35,15.67,,,2.35,3859890848196,HRANA
GULAŠ GOVEĐI 400g PODRAVKA,02160333,PODRAVKA,0.40 kg,ko,7.49,18.73,,,5.99,3850104020087,HRANA
HAŠE GOVEĐI 200g PODRAVKA,02160375,PODRAVKA,0.20 kg,ko,2.99,14.95,,,2.99,3850104020353,HRANA
PAŠTETA JETRENA 50g  GAVRILOVIĆ,02164106,GAVRILOVIĆ,0.05 kg,ko,1.35,27,,,1.35,3858881220072,HRANA
PAŠTETA JETRENA 100g  GAVRILOVIĆ,02165862,GAVRILOVIĆ,0.10 kg,ko,1.95,19.5,,,1.95,3858881221543,HRANA
DORUČAK MESNI 150g GAVRILOVIĆ,02165970,GAVRILOVIĆ,0.15 kg,ko,2.69,17.93,,,2.69,3858881220010,HRANA
PAŠTETA ČAJNA 50g  GAVRILOVIĆ,02166094,GAVRILOVIĆ,0.05 kg,ko,1.35,27,,,1.35,3858881220096,HRANA
GRAH S HAMBURGEROM 400g PODRAVKA,02166105,PODRAVKA,0.40 kg,ko,4.89,12.23,,,3.69,3850104035746,HRANA
PAŠTETA ČAJNA 100g GAVRILOVIĆ,02166179,GAVRILOVIĆ,0.10 kg,ko,1.95,19.5,,,1.95,3858881221529,HRANA
PUREĆI NAREZAK 150g PODRAVKA,02166664,PODRAVKA,0.15 kg,ko,2.35,15.67,,,2.35,3850104031748,HRANA
PILEĆI NAREZAK 150g   PODRAVKA,02166676,PODRAVKA,0.15 kg,ko,2.35,15.67,,,2.35,3850104055706,HRANA
MESNI RAGU 400g PODRAVKA,02169583,PODRAVKA,0.40 kg,ko,4.99,12.48,,,4.99,3858886465768,HRANA
VRHNJE ZA KAVU 10% 10*10g ZOTT,02170418,ZOTT,0.10 kg,ko,0.99,9.9,,,0.67,40145037,HRANA
MASLAC IKL 250g FOLIJA DUKAT,02180193,DUKAT,0.25 kg,ko,3.69,14.76,,,3.69,3850355000999,HRANA
ČAJNA KOB XXL 330g VAC PIK VRBOVEC,02024475,PIK,0.33 kg,ko,8.59,26.03,,,8.59,3850139010619,HRANA
MLIJ NAM DUKATELA ORIGINAL 70 G,02100610,DUKATELA,0.07 kg,ko,1.25,17.86,,,0.79,3850354015055,HRANA
MASLAC I KLASA 20g FOLIJA DUKAT,02180151,DUKAT,0.02 kg,ko,0.59,29.5,,,0.59,3850355001521,HRANA
MASLAC SA ZAČINSKIM BILJEM 125g MEGL,02180067,MEGGLE,0.13 kg,ko,4.39,35.12,,,4.39,40349251,HRANA
MASLAC 250g VINDIJA,02180362,Z BREGOV,0.25 kg,ko,3.69,14.76,,,3.69,3850108060102,HRANA
TUNJ MASL ULJE 4X52g RIO MARE,02190177,RIO MARE,0.21 kg,ko,9.59,46.11,,,9.59,8004030005051,HRANA
SKUŠA S POVRĆEM IZOLA BRAND 125g,02190198,DELAMARIS,0.13 kg,ko,3.69,29.52,,,3.39,3838929567802,HRANA
TUNJ SALATA COUS COUS 160g RIO MARE,02190561,RIO MARE,0.16 kg,ko,5.89,36.81,,,5.89,8004030860001,HRANA
TUNJ NATURALE 4X56g RIO MARE,02190811,RIO MARE,0.21 kg,ko,9.59,46.11,,,9.59,8004030344570,HRANA
NAMAZ RIO MARE TUN 100g TUB,02195129,RIO MARE,0.10 kg,ko,4.49,44.9,,,4.49,8004030069008,HRANA
NAMAZ RIO MARE TUB LOSOS 100g,02195131,RIO MARE,0.10 kg,ko,4.49,44.9,,,4.49,8004030070004,HRANA
PANIRANI FILET OSLIĆA 400g LEDO,02195477,LEDO,0.40 kg,ko,7.99,19.98,,,7.29,3850116881973,HRANA
BAKALAR NA BIJELO 90g ALDEN,02190378,ALDEN,0.09 kg,ko,2.95,32.78,,,2.65,3859891792016,HRANA
LOSOS FILET S KOŽOM 400g LEDO,02191011,LEDO,0.40 kg,ko,12.19,30.48,,,12.19,3850116765716,HRANA
LIGNJA PATAGONICA KOL I KR 400g LEDO,02194994,LEDO,0.40 kg,ko,12.79,31.98,,,12.79,3850116892313,HRANA
TUNJ U MASL ULJ 3X52g RIO MARE,02195487,RIO MARE,0.16 kg,ko,7.39,47.37,,,7.39,8004030345775,HRANA
KOZICA SVJEŽA PAK KONZUM,02197318,,1.00 kg,kg,13.99,13.99,,,13.39,,HRANA
LIGNJA PATAGONICA OČIŠĆ 400g LEDO,02197810,LEDO,0.40 kg,ko,12.19,30.48,,,12.19,3850116877341,HRANA
TUNJ SALATA GRAH 160g BOWL RIO MARE,02198506,RIO MARE,0.16 kg,ko,5.89,36.81,,,5.89,8004030023017,HRANA
TUNJ SALATA KUKURUZ 160g BOWL RIO MA,02198507,RIO MARE,0.16 kg,ko,5.89,36.81,,,5.89,8004030022010,HRANA
TUNJ SALATA MEXICO 160g BOWL RIO MAR,02198508,RIO MARE,0.16 kg,ko,5.89,36.81,,,5.89,8004030026018,HRANA
PASTRVA OČIŠ SVJ PAK KONZUM,02198767,,1.00 kg,kg,8.69,8.69,,,8.69,,HRANA
GAMBERI 250g LEDO,02199376,LEDO,0.25 kg,ko,7.89,31.56,,,7.29,3850116746050,HRANA
PLODOVI MORA ZA RIŽOTO 300g KUT LEDO,02199378,LEDO,0.30 kg,ko,6.09,20.3,,,6.09,3850116745985,HRANA
SRDELA SVJ PAK KONZUM,02199514,KONZUM,1.00 kg,kg,4.99,4.99,,,4.09,,HRANA
MAJONEZA TUBA 165g ZVIJEZDA,02200099,ZVIJEZDA,0.17 kg,ko,3.09,18.73,,,2.85,3858882210263,HRANA
MAJONEZA TUBA 265g THOMY NESTLE,02200347,THOMY,0.27 kg,ko,4.49,16.94,,,4.49,7613287084545,HRANA
MAJONEZA THOMY 165g TUBA,02200920,THOMY,0.17 kg,ko,3.09,18.73,,,3.09,7613287084606,HRANA
MAJONEZA DELIKATES 400g ZVIJEZDA,02202089,ZVIJEZDA,0.40 kg,ko,5.39,13.48,,,4.99,3858882219020,HRANA
MARGARIN STOLNI 250g ZVIJEZDA,02210021,ZVIJEZDA,0.25 kg,ko,1.45,5.8,,,1.19,3858882210102,HRANA
MLIJEKO ČOKOLADNO 'ZB 200ML VINDIJA,02230108,Z BREGOV,0.20 l,ko,1.25,6.25,,,1.25,3850108023091,HRANA
MLIJEKO TRAJNO KOZJE 2.8% 0.2L VIND,02230124,Z BREGOV,0.20 l,ko,1.19,5.95,,,1.19,3850108026009,HRANA
MLIJEKO SVJEŽE 3.2% 1L PURE DUKAT,02230137,DUKAT,1.00 l,ko,1.69,1.69,,,1.69,3850354000501,HRANA
MLIJEKO ČOKOLADNO 200ML DUKAT,02230375,DUKAT,0.20 l,ko,1.25,6.25,,,1.25,3850354002239,HRANA
MLIJEKO TRAJNO 2.8% 200ML VINDIJA,02230421,Z BREGOV,0.20 l,ko,0.79,3.95,,,0.79,3850108020052,HRANA
MLIJEKO TRAJNO 2.8% 0.5L  VINDIJA,02230426,Z BREGOV,0.50 l,ko,1.25,2.5,,,1.25,3850108020557,HRANA
MLIJEKO TRAJNO 2.8% 1L BOCA DUKAT,02230471,DUKAT,1.00 l,ko,1.02,1.02,,,1.02,3850354006053,HRANA
MLIJEKO TRAJNO 3.8% 1L BOCA DUKAT,02230472,DUKAT,1.00 l,ko,2.09,2.09,,,2.09,3850354006091,HRANA
MLIJEKO TR 3.5% 1L ALPSKO,02233959,LJUBLJ.MLEK.,1.00 l,ko,2.09,2.09,,,2.09,3838800040578,HRANA
ŠLAG SPRAY 250ML MEGLE ADRIA,02320018,MEGGLE,0.25 l,ko,3.99,15.96,,,3.99,8585002595065,HRANA
PUDING MLIJE VANIL ČAŠA 125g VINDI,02320199,VINDIJA,0.13 kg,ko,0.79,6.32,,,0.79,38500022,HRANA
