Naziv proizvoda;Šifra proizvoda;Marka proizvoda;Neto kolièina;Jedinica mjere;Maloprodajna cijena;Cijena za jedinicu mjere;Barkod;Kategorija;Najniža cijena u posljednjih 30 dana;MPC za vrijeme posebnog oblika prodaje
JAGERMEISTER 0.7L                       ;01251     ;JAGERMEISTER   ;        0.70;L  ;       15.90;       22.71;'4067700015020';PIÆA;        0.00;        0.00
JAGERMEISTER 1/1                        ;01255     ;JAGERMEISTER   ;        1.00;L  ;       22.29;       22.29;'4067700015013';PIÆA;        0.00;        0.00
JACK DANIEL S 1/1                       ;01257     ;JACK DANIEL'S  ;        1.00;L  ;       30.49;       30.49;'5099873045367';PIÆA;        0.00;        0.00
AMARO 18 ISOLABELLA 1L                  ;01473     ;EUROLAB INTERNACIONAL GRUP D.O.O.;        1.00;L  ;       14.49;       14.49;'8001110017058';PIÆA;        0.00;        0.00
BADEL ST.ŠLJIVOVICA 40% 1.0/6           ;01552     ;BADEL 1862 d.d.;        1.00;L  ;       16.02;       16.02;'3850112121097';PIÆA;        0.00;        0.00
BADEL PRIMA BRAND 36% 0.5/12            ;01581     ;BADEL 1862 d.d.;        0.50;L  ;        0.00;       12.38;'3850112141217';PIÆA;        7.02;        6.19
BADEL PRIMA BRAND  1L                   ;01582     ;BADEL 1862 d.d.;        1.00;L  ;       11.05;       11.05;'3850112141194';PIÆA;        0.00;        0.00
BADEL ST ŠLJIVOVICA 0,5                 ;01624     ;BADEL 1862 d.d.;        0.50;L  ;       10.02;       20.04;'3850112121110';PIÆA;        0.00;        0.00
TROJKA VODKA 1/1 SEGESTICA              ;01682     ;BADEL 1862 d.d.;        1.00;L  ;        0.00;        8.99;'3850112144027';PIÆA;       10.02;        8.99
SVATOVSKI KRUŠKOVAC 1/1                 ;02073     ;BADEL 1862 d.d.;        1.00;L  ;       10.02;       10.02;'3850112110169';PIÆA;        0.00;        0.00
PELINKOVAC GORKI 1/1 BADEL              ;02080     ;BADEL 1862 d.d.;        1.00;L  ;       16.02;       16.02;'3850112110039';PIÆA;        0.00;        0.00
TRAVARICA ŠIBENIK 1/1                   ;02709     ;BADEL 1862 d.d.;        1.00;L  ;       14.02;       14.02;'3859888129849';PIÆA;        0.00;        0.00
SOUTHERN COMFORT 1/1                    ;03642     ;PPD CROATIA D.O.O.;        1.00;L  ;       27.49;       27.49;'1210000100504';PIÆA;        0.00;        0.00
VODKA KEGLEVICH 0.7 BRESKVA             ;04940     ;FIBIS D.O.O.;        0.70;L  ;        8.52;       12.17;'8000440112389';PIÆA;        0.00;        0.00
PINA COLADA 0.7L                        ;05226     ;VALENTIÆ d.o.o;        0.70;L  ;        9.69;       13.84;'8712436102839';PIÆA;        0.00;        0.00
HAVANA CLUB 1/1 3 Y.O.                  ;07604     ;VALENTIÆ d.o.o;        1.00;L  ;       16.85;       16.85;'8501110080255';PIÆA;        0.00;        0.00
MENTOL 1/1 BADEL 1862                   ;09953     ;BADEL 1862 d.d.;        1.00;L  ;       11.28;       11.28;'3850112110176';PIÆA;        0.00;        0.00
BALLANTINE S 0,7L                       ;105700    ;VALENTIÆ d.o.o;        0.70;L  ;       17.38;       24.83;'5010106113127';PIÆA;        0.00;        0.00
JACK DANIEL S 0,70L                     ;131939    ;JACK DANIEL'S  ;        0.70;L  ;       24.52;       35.03;'5099873089798';PIÆA;        0.00;        0.00
KRUŠKOVAC 1/1 MARASKA                   ;15148     ;AWTINTERNATIONAL D.O.O. ZAGREB;        1.00;L  ;        9.28;        9.28;'3850158403607';PIÆA;        0.00;        0.00
VODKA KEGLEVICH CLASSIC 1L              ;171957    ;FIBIS D.O.O.;        1.00;L  ;       11.02;       11.02;'8000440112372';PIÆA;        0.00;        0.00
STOCK 84 0.7L+2 ÈAŠE                    ;172313    ;FIBIS D.O.O.;        0.70;L  ;       17.28;       24.69;'8000440600022';PIÆA;        0.00;        0.00
VODKA KEGLEVICH 0.7 JAGODA              ;17703     ;FIBIS D.O.O.;        0.70;L  ;        8.52;       12.17;'8000440112440';PIÆA;        0.00;        0.00
PELINKOVAC 1/1 PETOVIA HERMO            ;22778     ;HERMO DOO;        1.00;L  ;       15.02;       15.02;'3830000650366';PIÆA;        0.00;        0.00
PELINKOVAC ANTIQUE 35% 0.7L             ;236499    ;BADEL 1862 d.d.;        0.70;L  ;       15.49;       22.13;'3850112110572';PIÆA;        0.00;        0.00
PELINKOVAC ANTIQUE 35% 0.7L LUX         ;236501    ;BADEL 1862 d.d.;        0.70;L  ;       18.02;       25.74;'3850112110596';PIÆA;        0.00;        0.00
JAMESON 1/1                             ;238657    ;VALENTIÆ d.o.o;        1.00;L  ;       29.92;       29.92;'5011007003227';PIÆA;        0.00;        0.00
DALMATINO VODKA 0.7L                    ;24571     ;DALMATINO      ;        0.70;L  ;        7.82;       11.17;'4000152004075';PIÆA;        0.00;        0.00
TRAVARICA BADEL 37,5% 1L                ;250902    ;BADEL 1862 d.d.;        1.00;L  ;       12.02;       12.02;'3850112122193';PIÆA;        0.00;        0.00
MEDICA BADEL 1L                         ;279058    ;BADEL 1862 d.d.;        1.00;L  ;       14.02;       14.02;'3850112110664';PIÆA;        0.00;        0.00
ROOM 35% 0.5L MARASKA                   ;28402     ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.50;L  ;        6.39;       12.78;'3850158201531';PIÆA;        0.00;        0.00
BADEL PRIMA BRAND 35% 0,7/6             ;303001    ;BADEL 1862 d.d.;        0.70;L  ;        9.52;       13.60;'3850112141323';PIÆA;        0.00;        0.00
JAGERMEISTER 1,75L                      ;303491    ;JAGERMEISTER   ;        1.75;L  ;       36.99;       21.14;'4067700015006';PIÆA;        0.00;        0.00
OLD SMUGGLER 40% 0.7L                   ;325508    ;PPD CROATIA D.O.O.;        0.07;L  ;       11.49;      164.14;'5010327605005';PIÆA;        0.00;        0.00
ROOM 35% 1L MARASKA                     ;331755    ;AWTINTERNATIONAL D.O.O. ZAGREB;        1.00;L  ;       11.16;       11.16;'3850158201555';PIÆA;        0.00;        0.00
GIN EMPIRE 37.5% 1L                     ;334021    ;AWTINTERNATIONAL D.O.O. ZAGREB;        1.00;L  ;       13.22;       13.22;'3850158200879';PIÆA;        0.00;        0.00
PELINKOVAC GORKI 0,7 BADEL              ;334597    ;BADEL 1862 d.d.;        0.70;L  ;       12.49;       17.84;'3850112110756';PIÆA;        0.00;        0.00
AMARO ZARA 1L MARASKA                   ;335220    ;AWTINTERNATIONAL D.O.O. ZAGREB;        1.00;L  ;       11.02;       11.02;'3850158400002';PIÆA;        0.00;        0.00
VODKA COSMOPOLITAN 37,5 1L MARASKA      ;335221    ;MARASKA        ;        1.00;L  ;       10.89;       10.89;'3850158409005';PIÆA;        0.00;        0.00
MEDICA 1L MARASKA                       ;341797    ;AWTINTERNATIONAL D.O.O. ZAGREB;        1.00;L  ;       12.22;       12.22;'3850158202255';PIÆA;        0.00;        0.00
PELINKOVAC 1/1 LAGANA                   ;342756    ;MARASKA        ;        1.00;L  ;       15.02;       15.02;'3850158406752';PIÆA;        0.00;        0.00
JACK DANIELS 0,7 GANTLEMAN              ;346211    ;JACK DANIEL'S  ;        0.70;L  ;       38.02;       54.31;'5099873038758';PIÆA;        0.00;        0.00
VODKA SVAROG 0,7L BADEL                 ;385121    ;BADEL 1862 d.d.;        0.70;L  ;       21.02;       30.03;'3850112142795';PIÆA;        0.00;        0.00
PELINKOVAC ORANGE 1L                    ;411108    ;BADEL 1862 d.d.;        1.00;L  ;       16.02;       16.02;'3850112110930';PIÆA;        0.00;        0.00
BADEL PRIMA BRAND LUX 2 ÈAŠE 0,7L       ;411953    ;BADEL 1862 d.d.;        0.70;L  ;       13.82;       19.74;'3850112141408';PIÆA;        0.00;        0.00
BOROVNIÈEVEC 0,70L 20% DANA             ;412012    ;ORBICO d.o.o.;        0.70;L  ;        8.89;       12.70;'3830000160155';PIÆA;        0.00;        0.00
SMIRNOFF RED LABEL 37,50% 0,7           ;412255    ;PPD CROATIA D.O.O.;        0.70;L  ;       17.49;       24.99;'5410316671118';PIÆA;        0.00;        0.00
BAILEYS 17% 0,7L                        ;412256    ;PPD CROATIA D.O.O.;        0.70;L  ;       22.99;       32.84;'5011013100156';PIÆA;        0.00;        0.00
STOCK 84 0,7L                           ;412696    ;FIBIS D.O.O.;        0.70;L  ;       14.02;       20.03;'8000440396390';PIÆA;        0.00;        0.00
CHIVAS REGAL WHISKY 12YO 0.7L           ;418205    ;VALENTIÆ d.o.o;        0.70;L  ;       31.52;       45.03;'080432402931';PIÆA;        0.00;        0.00
JOHNNIE WALKER RED LABEL 0,7L           ;431868    ;PPD CROATIA D.O.O.;        0.70;L  ;       18.29;       26.13;'5000267014203';PIÆA;        0.00;        0.00
LABEL 5 WHISKY SCOTCH WHISKY            ;433178    ;BADEL 1862 d.d.;        0.70;L  ;       11.52;       16.46;'3147690051206';PIÆA;        0.00;        0.00
BALLANTINES 0.7+2 ÈAŠE                  ;48288     ;VALENTIÆ d.o.o;        0.70;L  ;       18.72;       26.74;'5010106114667';PIÆA;        0.00;        0.00
ÈOKOLADNI LIKER 0,7L MATISS FRUCTAL     ;50186     ;STUDENAC D.O.O.;        0.70;L  ;       12.02;       17.17;'3838945670326';PIÆA;        0.00;        0.00
VODKA COSMOPOLITAN 0,7L MARASKA         ;502053    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.70;L  ;        9.42;       13.46;'3850158409203';PIÆA;        0.00;        0.00
KEGLEVICH VODKA CLASSIC 0,7L            ;506727    ;FIBIS D.O.O.;        0.70;L  ;        9.52;       13.60;'8000440112365';PIÆA;        0.00;        0.00
TANQUERAY DRY GIN 0,7L                  ;515033    ;PPD CROATIA D.O.O.;        0.70;L  ;       26.99;       38.56;'5000281015248';PIÆA;        0.00;        0.00
VIŠNJEVAC MARASKA 0,7L                  ;516480    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.70;L  ;       11.52;       16.46;'3850158401146';PIÆA;        0.00;        0.00
VELEBITSKA TRAVARICA 1L DEGENIJA        ;528293    ;DEGENIJA D.O.O. ZA TURIZAM I TRGOVINU;        1.00;L  ;       11.52;       11.52;'3859889693127';PIÆA;        0.00;        0.00
BOROVNICHKA MARASKA 0,7L                ;531266    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.70;L  ;        8.14;       11.63;'3850158408428';PIÆA;        0.00;        0.00
MEDICA DEGENIJA 1L                      ;534749    ;DEGENIJA D.O.O. ZA TURIZAM I TRGOVINU;        1.00;L  ;       10.52;       10.52;'3859889693240';PIÆA;        0.00;        0.00
BADEL VIŠNJEVAC 25% 0,7L                ;540489    ;BADEL 1862 d.d.;        0.70;L  ;       10.52;       15.03;'3850112111531';PIÆA;        0.00;        0.00
LIKER LJEŠNJAK AVELLANA 0,7L            ;540586    ;DOMESTIC SPIRITS D.O.O.;        0.70;L  ;       11.52;       16.46;'3859889132312';PIÆA;        0.00;        0.00
PELINKOVAC ANTIQUE 0,7L + ÈAŠE          ;564213    ;BADEL 1862 d.d.;        0.70;L  ;       20.02;       28.60;'3850112111258';PIÆA;        0.00;        0.00
GIN GORDONS PINK 0,7L                   ;566496    ;PPD CROATIA D.O.O.;        0.70;L  ;       21.99;       31.41;'5000289929417';PIÆA;        0.00;        0.00
LIKER MATISS PINA COLADA 0,7L           ;566509    ;STUDENAC D.O.O.;        0.70;L  ;       12.02;       17.17;'3838945029582';PIÆA;        0.00;        0.00
PELINKOVAC DEGENIJA 1L                  ;567737    ;DEGENIJA D.O.O. ZA TURIZAM I TRGOVINU;        1.00;L  ;       10.42;       10.42;'3859889693066';PIÆA;        0.00;        0.00
KRAUTERHEXE BILJNI LIKER 0,7L           ;567964    ;DOMAK DISTRIBUCIJA D.O.O.;        0.70;L  ;        6.10;        8.71;'4006714003784';PIÆA;        0.00;        0.00
SAX ORIGINAL GIN 1L BADEL               ;575026    ;BADEL 1862 d.d.;        1.00;L  ;        0.00;       12.90;'3850112142153';PIÆA;       15.02;       12.90
VIGOR VODKA WILD BERRY 0,7L             ;575027    ;BADEL 1862 d.d.;        0.70;L  ;        9.02;       12.89;'3850112142955';PIÆA;        0.00;        0.00
SAX PINK GIN 0,7L                       ;575028    ;BADEL 1862 d.d.;        0.70;L  ;       12.52;       17.89;'3850112142917';PIÆA;        0.00;        0.00
VIGOR ORIGINAL VODKA 1L                 ;575031    ;BADEL 1862 d.d.;        1.00;L  ;       12.02;       12.02;'3850112142993';PIÆA;        0.00;        0.00
VIGOR ORIGINAL VODKA 0,7L               ;575032    ;BADEL 1862 d.d.;        0.70;L  ;        9.02;       12.89;'3850112142115';PIÆA;        0.00;        0.00
VIGOR VODKA CITRUS 0,7L                 ;575033    ;BADEL 1862 d.d.;        0.70;L  ;        9.02;       12.89;'3850112142979';PIÆA;        0.00;        0.00
SAX ORIGINAL GIN 0,7L                   ;575034    ;BADEL 1862 d.d.;        0.70;L  ;       12.02;       17.17;'3850112142894';PIÆA;        0.00;        0.00
JAGERMEISTER 0,7L + 2 ZELENE ÈAŠE       ;580167    ;G3 SPIRITS DOO;        0.70;L  ;       17.99;       25.70;'3859890211136';PIÆA;        0.00;        0.00
PELINKOVAC 1L MARASKA ZELENI            ;589314    ;MARASKA        ;        1.00;L  ;       15.02;       15.02;'3850158407001';PIÆA;        0.00;        0.00
PELINKOVAC ORANGE 0,7L                  ;591208    ;BADEL 1862 d.d.;        0.70;L  ;       12.49;       17.84;'3850112111517';PIÆA;        0.00;        0.00
SAX GIN 0,7L + ÈAŠA VAP                 ;595148    ;BADEL 1862 d.d.;        0.70;L  ;       15.79;       22.56;'3850112145000';PIÆA;        0.00;        0.00
PELINKOVAC GORKI 0,7L VAP + 1 ÈAŠA      ;598513    ;BADEL 1862 d.d.;        0.70;L  ;       14.02;       20.03;'3850112111593';PIÆA;        0.00;        0.00
KLASIK VODKA 1L                         ;600272    ;ST.NICOLAUS    ;        1.00;L  ;       10.02;       10.02;'8586000135185';PIÆA;        0.00;        0.00
KLASIK PELINKOVAC 1L                    ;600273    ;ST.NICOLAUS    ;        1.00;L  ;        9.42;        9.42;'8586019221299';PIÆA;        0.00;        0.00
OLD TOWER GIN 0,7L                      ;600274    ;ST.NICOLAUS    ;        0.70;L  ;        9.62;       13.74;'8586000136014';PIÆA;        0.00;        0.00
MARTIGNAC SPECIAL 0,7L                  ;600275    ;ST.NICOLAUS    ;        0.70;L  ;        9.62;       13.74;'8586000135543';PIÆA;        0.00;        0.00
PELINKOVAC GORKI 0,2L PLJOSKA           ;600345    ;BADEL 1862 d.d.;        0.20;L  ;        3.78;       18.90;'3850112111654';PIÆA;        0.00;        0.00
RAKIJA DUNJEVAÈA 0,7 VINO ŽUPA          ;602433    ;NOVA FRUCTUS DOO;        0.70;L  ;       18.02;       25.74;'8600133110298';PIÆA;        0.00;        0.00
RAKIJA KAJSIJEVAÈA 0,7L VINO ŽUPA       ;602434    ;NOVA FRUCTUS DOO;        0.70;L  ;       18.02;       25.74;'8600133110267';PIÆA;        0.00;        0.00
LOZA 1/1 VINOPLOD ŠIBENIK               ;603980    ;BADEL 1862 d.d.;        1.00;L  ;       14.52;       14.52;'3858892460405';PIÆA;        0.00;        0.00
PELINKOVAC ORANGE 0,2L PLJOSKA          ;603984    ;BADEL 1862 d.d.;        0.20;L  ;        3.78;       18.90;'3850112111678';PIÆA;        0.00;        0.00
GIN GORDONS DRY GIN 0,7L                ;604964    ;PPD CROATIA D.O.O.;        0.70;L  ;       21.99;       31.41;'5000289925440';PIÆA;        0.00;        0.00
GIN GREAT HOUSE 1L                      ;607667    ;BADEL 1862 d.d.;        1.00;L  ;       10.02;       10.02;'3858892460092';PIÆA;        0.00;        0.00
VILJAMOVKA 0,7L 40% DANA                ;607742    ;ORBICO d.o.o.;        0.70;L  ;       19.00;       27.14;'3830000162364';PIÆA;        0.00;        0.00
APEROL 0,7L                             ;608533    ;PPD CROATIA D.O.O.;        0.70;L  ;       16.99;       24.27;'8002230000302';PIÆA;        0.00;        0.00
JACK DANIEL S 0,7L + 1 ÈAŠA             ;611446    ;COCA COLA HBC HRVATSKA D.O.O.;        0.70;L  ;       25.99;       37.13;'5099873200094';PIÆA;        0.00;        0.00
PELINKOVAC PREMIER 1L                   ;611738    ;ALCA ZAGREB D.O.O.;        1.00;L  ;       11.97;       11.97;'3858894171002';PIÆA;        0.00;        0.00
TRAVARICA SPEC. RAKIJA 0,7L ZVEÈEVO     ;612585    ;ALCA ZAGREB D.O.O.;        0.70;L  ;        9.32;       13.31;'3858894170265';PIÆA;        0.00;        0.00
PELINKOVAC 1L 28%                       ;612910    ;ALCA ZAGREB D.O.O.;        1.00;L  ;       11.97;       11.97;'3858894170920';PIÆA;        0.00;        0.00
VODKA HEDONA 37,5%  0,7L                ;613089    ;ALCA ZAGREB D.O.O.;        0.70;L  ;        8.26;       11.80;'3858894171163';PIÆA;        0.00;        0.00
LIKER MEDICA 25% 0,7L                   ;613135    ;ALCA ZAGREB D.O.O.;        0.70;L  ;        9.32;       13.31;'3858894170340';PIÆA;        0.00;        0.00
ŠLJIVOVICA PRIR.VOÆNA RAKIJA 40% 0,7L   ;613260    ;ALCA ZAGREB D.O.O.;        0.70;L  ;       11.58;       16.54;'3858894170128';PIÆA;        0.00;        0.00
PELINKOVAC 0,7L ZELENI MARASKA          ;613297    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.70;L  ;       11.75;       16.79;'3850158406660';PIÆA;        0.00;        0.00
ORAHOVAC S ÈOKOLADOM 0,7L MARASKA       ;613954    ;MARASKA        ;        0.70;L  ;       11.22;       16.03;'3850158406141';PIÆA;        0.00;        0.00
LIKER MALINA 21% 0,7L                   ;614037    ;ALCA ZAGREB D.O.O.;        0.70;L  ;        9.98;       14.26;'3858894170746';PIÆA;        0.00;        0.00
RAKIJA VILJAMOVKA 0,7L VINO ŽUPA        ;614405    ;NOVA FRUCTUS DOO;        0.70;L  ;       18.02;       25.74;'8600133110304';PIÆA;        0.00;        0.00
GIN HENDRICKS 0,35L                     ;614723    ;G3 SPIRITS DOO;        0.35;L  ;       14.99;       42.83;'5010327717029';PIÆA;        0.00;        0.00
WILLIAMS VOÆNA RAKIJA 40% 0,7L          ;615590    ;ALCA ZAGREB D.O.O.;        0.70;L  ;       17.28;       24.69;'3858894170005';PIÆA;        0.00;        0.00
GIN AURELIS 0,7L                        ;618420    ;ALCA ZAGREB D.O.O.;        0.70;L  ;        9.32;       13.31;'3858894171224';PIÆA;        0.00;        0.00
MEDICA 0,7L BADEL NT                    ;619295    ;BADEL 1862 d.d.;        0.70;L  ;       10.65;       15.21;'3850112111388';PIÆA;        0.00;        0.00
LIKER INCANTO 0,5L MED**                ;624717    ;VALENTIÆ d.o.o;        0.50;L  ;       11.52;       23.04;'3858891172484';PIÆA;        0.00;        0.00
MIODULA 0,5L GIFT BOX                   ;625177    ;VALENTIÆ d.o.o;        0.50;KOM;       23.99;       47.98;'5907522603069';PIÆA;        0.00;        0.00
JOHNNIE WALKER 0,7L BLACK LABEL NB      ;626449    ;PPD CROATIA D.O.O.;        0.70;L  ;       33.99;       48.56;'5000267024202';PIÆA;        0.00;        0.00
BRIUNI TERRANINO 1L                     ;627600    ;BRIUNI         ;        1.00;L  ;       16.02;       16.02;'4000152003610';PIÆA;        0.00;        0.00
TERANINO AURA 0,7L                      ;628360    ;VRUTAK D.O.O.;        0.70;L  ;       26.99;       38.56;'3859892613365';PIÆA;        0.00;        0.00
ROYAL BRAND 1L                          ;628717    ;AWTINTERNATIONAL D.O.O. ZAGREB;        1.00;L  ;       11.02;       11.02;'3850158201302';PIÆA;        0.00;        0.00
ŠLJIVOVICA 0,5L MARASKA                 ;628719    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.50;L  ;        9.02;       18.04;'3850158300906';PIÆA;        0.00;        0.00
BACARDI CARTA BLANCA 0,7L               ;628722    ;BACARDI        ;        0.70;L  ;       17.49;       24.99;'5010677013147';PIÆA;        0.00;        0.00
ORAHOVAC BADEL 0,7L                     ;628724    ;BADEL 1862 d.d.;        0.70;L  ;       11.02;       15.74;'3850112111401';PIÆA;        0.00;        0.00
GIN GREAT HOUSE 0,7L                    ;628728    ;BADEL 1862 d.d.;        0.70;L  ;        7.49;       10.70;'3858892460658';PIÆA;        0.00;        0.00
TRAVARICA VINOPLOD 0,7L                 ;628729    ;BADEL 1862 d.d.;        0.70;L  ;       11.02;       15.74;'3858892460429';PIÆA;        0.00;        0.00
TROJKA VODKA 0,7L                       ;628730    ;BADEL 1862 d.d.;        0.70;L  ;        7.52;       10.74;'3850112144126';PIÆA;        0.00;        0.00
JOHNNIE WALKER BLONDE 0,7L              ;633609    ;PPD CROATIA D.O.O.;        0.70;L  ;       24.99;       35.70;'5000267190525';PIÆA;        0.00;        0.00
JAGERMEISTER 0,5L                       ;633708    ;JAGERMEISTER   ;        0.50;L  ;       12.49;       24.98;'4067700018113';PIÆA;        0.00;        0.00
GIN&ROSE JOHAN FREITAG 0,5L LIM         ;636227    ;DOLIUM D.O.O.;        0.50;L  ;        1.99;        3.98;'4750142005741';PIÆA;        0.00;        0.00
JACK DANIELS 0,7L APPLE                 ;636449    ;JACK DANIEL'S  ;        0.70;L  ;       24.99;       35.70;'5099873017623';PIÆA;        0.00;        0.00
VECCHIA ROMAGNA 0,7L                    ;636454    ;EUROLAB INTERNACIONAL GRUP D.O.O.;        0.70;L  ;       17.99;       25.70;'8000060100247';PIÆA;        0.00;        0.00
GIN DRY KINGS COURT 0,7L                ;638669    ;DOMAK DISTRIBUCIJA D.O.O.;        0.07;L  ;        6.66;       95.14;'4006714003050';PIÆA;        0.00;        0.00
KORLAT MEDICA 0,7L                      ;639004    ;BADEL 1862 d.d.;        0.70;L  ;       21.59;       30.84;'3850112112057';PIÆA;        0.00;        0.00
JIM BEAM 40% 0,7L                       ;639974    ;FIBIS D.O.O.;        0.70;L  ;       18.72;       26.74;'080686000389';PIÆA;        0.00;        0.00
GIN&TONIC JOHAN FREITAG 0,5L LIM        ;640350    ;DOLIUM D.O.O.;        0.50;L  ;        1.99;        3.98;'4750142005758';PIÆA;        0.00;        0.00
JIM BEAM 1L                             ;640505    ;FIBIS D.O.O.;        1.00;L  ;       26.02;       26.02;'080686000266';PIÆA;        0.00;        0.00
KING ROBERT II SCOTCH WHISKY 0,7L 40%   ;641549    ;DOMAK DISTRIBUCIJA D.O.O.;        0.70;L  ;        9.02;       12.89;'5010852000436';PIÆA;        0.00;        0.00
BARUN 35% 0,7L                          ;642318    ;ALCA ZAGREB D.O.O.;        0.70;L  ;       14.02;       20.03;'3858894171798';PIÆA;        0.00;        0.00
PELINKOVAC ANTIQUE 1L BADEL             ;642748    ;BADEL 1862 d.d.;        1.00;L  ;       22.02;       22.02;'3850112111838';PIÆA;        0.00;        0.00
GIN GREAT HOUSE PINK 0,7L               ;642749    ;BADEL 1862 d.d.;        0.70;L  ;        8.02;       11.46;'3858892460900';PIÆA;        0.00;        0.00
VODKA MOSKVA 0,7L                       ;642990    ;BADEL 1862 d.d.;        0.70;L  ;        6.99;        9.99;'3858892460719';PIÆA;        0.00;        0.00
PELINOVA PELINKOVAC 0,7L                ;643345    ;FIBIS D.O.O.;        0.70;L  ;       15.02;       21.46;'8594005025561';PIÆA;        0.00;        0.00
PELIN SPRITZ LEMON 0,25L                ;644414    ;BADEL 1862 d.d.;        0.25;L  ;        2.02;        8.08;'3850112143075';PIÆA;        0.00;        0.00
PELIN SPRITZ ORANGE 0,25L               ;644415    ;BADEL 1862 d.d.;        0.25;L  ;        2.02;        8.08;'3850112143099';PIÆA;        0.00;        0.00
RUM PROFESSORE 0,5L                     ;645315    ;ST.NICOLAUS    ;        0.50;L  ;       10.52;       21.04;'8586019221589';PIÆA;        0.00;        0.00
COCKTAIL LE COQ MARG.NEW 0,33L          ;646683    ;DOLIUM D.O.O.;        0.33;L  ;        1.39;        4.21;'4740098002895';PIÆA;        0.00;        0.00
COCKTAIL LE COQ BLUE NEW 0,33L          ;646707    ;DOLIUM D.O.O.;        0.33;L  ;        1.39;        4.21;'4740098002918';PIÆA;        0.00;        0.00
COCKTAIL LE COQ COSMOP.NEW 0,33L        ;646708    ;DOLIUM D.O.O.;        0.33;L  ;        1.39;        4.21;'4740098002871';PIÆA;        0.00;        0.00
COCKTAIL LE COQ CUBA NEW 0,33L          ;646709    ;DOLIUM D.O.O.;        0.33;L  ;        1.39;        4.21;'4740098002956';PIÆA;        0.00;        0.00
COCKTAIL LE COQ S.O.B.NEW 0,33L         ;646711    ;DOLIUM D.O.O.;        0.33;L  ;        1.29;        3.91;'4740098002857';PIÆA;        0.00;        0.00
VODKA FOUR MONKEY S 1L                  ;647742    ;VALENTIÆ d.o.o;        1.00;L  ;        7.99;        7.99;'4009872047607';PIÆA;        0.00;        0.00
BADEL DOMAÆI 35% 1L                     ;647932    ;BADEL 1862 d.d.;        1.00;L  ;        0.00;        9.99;'3850112145109';PIÆA;       11.02;        9.99
BADEL DOMAÆI 35% 0,5L                   ;647933    ;BADEL 1862 d.d.;        0.50;L  ;        0.00;       10.98;'3850112145123';PIÆA;        7.02;        5.49
INCANTO TERANINO 1L                     ;648437    ;VALENTIÆ d.o.o;        1.00;L  ;       18.99;       18.99;'3858891173382';PIÆA;        0.00;        0.00
LIKER BAJADERA CREAM 0,7L BADEL         ;648663    ;BADEL 1862 d.d.;        0.00;   ;       20.02;        0.00;'3850112112453';PIÆA;        0.00;        0.00
BARUN 35% 0,7L+2 ÈAŠE                   ;649856    ;ALCA ZAGREB D.O.O.;        0.00;   ;       18.02;        0.00;'3858894171835';PIÆA;        0.00;        0.00
TRAVARICA 37,5% 1L                      ;651584    ;MARASKA        ;        1.00;L  ;       12.49;       12.49;'3850158302108';PIÆA;        0.00;        0.00
JAGERMEISTER ORANGE 0,7L                ;654049    ;G3 SPIRITS DOO;        0.70;L  ;       15.90;       22.71;'4067700033543';PIÆA;        0.00;        0.00
MAJSTORSKA TRAVARICA 1L                 ;654405    ;MAJSTORSKA TRAV;        1.00;L  ;        0.00;       11.99;'4000152003689';PIÆA;       13.95;       11.99
MIX KOKTEL MOJITO 0,33L                 ;654450    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.33;L  ;        2.59;        7.85;'4770047234091';PIÆA;        0.00;        0.00
MIX KOKTEL SEX ON BEACH 0,33L           ;654451    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.33;L  ;        2.59;        7.85;'4770047234336';PIÆA;        0.00;        0.00
MIX KOKTEL KAMIKAZE 0,33L               ;654452    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.33;L  ;        2.59;        7.85;'4770047234107';PIÆA;        0.00;        0.00
STOCK 84 0,7LX2 PROMO                   ;654739    ;FIBIS D.O.O.;        1.40;L  ;        0.00;       12.85;'3859894276056';PIÆA;       19.99;       17.99
VODKA NICOLAUS EXTRA FINE 38% 0,7L      ;655419    ;ST.NICOLAUS    ;        0.70;L  ;        8.99;       12.84;'8586000131880';PIÆA;        0.00;        0.00
OLD TOWER PINK GIN 0,7L                 ;655420    ;ST.NICOLAUS    ;        0.70;L  ;        9.62;       13.74;'8586019222395';PIÆA;        0.00;        0.00
24 ICE COCKTAILS MIX 5%ALK. 5/1**       ;655421    ;FIBIS D.O.O.;        0.00;   ;        5.49;        0.00;'8718868983053';PIÆA;        0.00;        0.00
24 ICE COCKTAILS MIX 5% ALK.5/1**       ;655422    ;FIBIS D.O.O.;        0.00;   ;        5.49;        0.00;'8721082201056';PIÆA;        0.00;        0.00
BADEL TERANINO 16% 0,7L                 ;655426    ;BADEL 1862 d.d.;        0.70;L  ;       12.99;       18.56;'3850112112750';PIÆA;        0.00;        0.00
