Naziv proizvoda;Šifra proizvoda;Marka proizvoda;Neto kolièina;Jedinica mjere;Maloprodajna cijena;Cijena za jedinicu mjere;Barkod;Kategorija;Najniža cijena u posljednjih 30 dana;MPC za vrijeme posebnog oblika prodaje
FRUC MULTIVITAMIN 1,5L                  ;591470    ;FRUCTAL        ;        1.50;L  ;        1.74;        1.16;'3838945501231';PIÆA;        0.00;        0.00
YIPPY JAGODA 0,33L PET                  ;604753    ;ATLANTIC TRADE d.o.o.;        0.33;L  ;        1.38;        4.18;'9008700192392';PIÆA;        0.00;        0.00
JUICY FRUIT BAZGA LIMUN 1,5L            ;605462    ;JUICY          ;        1.50;L  ;        1.70;        1.13;'3858890978360';PIÆA;        0.00;        0.00
CAPPY HAPPY LIMUNADA 1,25L              ;615111    ;CAPPY          ;        1.25;L  ;        1.88;        1.50;'5000112653779';PIÆA;        0.00;        0.00
CAPPY LIMUNADA MINTY 1,25L              ;615112    ;CAPPY          ;        1.25;L  ;        1.88;        1.50;'5000112653793';PIÆA;        0.00;        0.00
JUICY KIDS NARANÈA-MANGO 0,33L          ;615902    ;JUICY          ;        0.33;L  ;        1.21;        3.67;'3858890972184';PIÆA;        0.00;        0.00
JUICY KIDS ŠUMSKO VOÆE-JABUKA 0,33L     ;615903    ;JUICY          ;        0.33;L  ;        1.22;        3.70;'3858890979992';PIÆA;        0.00;        0.00
TOCO MULTIVITAMIN 1,5L                  ;615929    ;TOCO           ;        1.50;L  ;        1.69;        1.13;'3858890878615';PIÆA;        0.00;        0.00
TOCO NARANÈA MRKVA NEKTARINA 1,5L       ;615930    ;TOCO           ;        1.50;L  ;        1.69;        1.13;'3858890878790';PIÆA;        0.00;        0.00
TOCO CRVENA NARANÈA AVOKADO CIKLA 1,5L  ;615931    ;TOCO           ;        1.50;L  ;        1.69;        1.13;'3858890878974';PIÆA;        0.00;        0.00
TOCO MULTIVITAMIN 0,5L                  ;615932    ;TOCO           ;        0.50;L  ;        1.05;        2.10;'3858890878646';PIÆA;        0.00;        0.00
TOCO CRVENA NARANÈA AVOKADO CIKLA 0,5L  ;615934    ;TOCO           ;        0.50;L  ;        1.05;        2.10;'3858890879001';PIÆA;        0.00;        0.00
FRUC MULTIVITAMIN 0,5L                  ;617719    ;FRUCTAL        ;        0.50;L  ;        1.04;        2.08;'3838945501248';PIÆA;        0.00;        0.00
FRUC VIŠNJA 0,5L                        ;617720    ;FRUCTAL        ;        0.50;L  ;        1.29;        2.58;'3838945016216';PIÆA;        0.00;        0.00
FRUC VIŠNJA 1,5L                        ;617721    ;FRUCTAL        ;        1.50;L  ;        2.29;        1.53;'3838945016209';PIÆA;        0.00;        0.00
FRUC PIÆE NARANÈA PET 1,5L              ;618024    ;FRUCTAL        ;        1.50;L  ;        1.74;        1.16;'3838945031554';PIÆA;        0.00;        0.00
FRUC PIÆE NARANÈA PET 0,5L              ;618027    ;FRUCTAL        ;        0.50;L  ;        1.03;        2.06;'3838945031547';PIÆA;        0.00;        0.00
COKIÆ MULTIVITAMIN 0,33L                ;618907    ;COKIÆ          ;        0.33;L  ;        1.36;        4.12;'8606107754413';PIÆA;        0.00;        0.00
CAPPY LEMONADE ZERO PINK 0,4L           ;635200    ;CAPPY          ;        0.40;L  ;        1.02;        2.55;'5449000056245';PIÆA;        0.00;        0.00
JUICY KIDS JAGODA KIVI 0.33L            ;636159    ;JUICY          ;        0.33;L  ;        1.21;        3.67;'3858890974164';PIÆA;        0.00;        0.00
CAPPY BRESKVA PET 1L                    ;645215    ;CAPPY          ;        1.00;L  ;        1.98;        1.98;'5449000323231';PIÆA;        0.00;        0.00
BRAVO JABUKA 0,5L                       ;650038    ;ATLANTIC TRADE d.o.o.;        0.50;L  ;        1.09;        2.18;'9008700226387';PIÆA;        0.00;        0.00
TOCO LIMUN KRASTAVAC 1,5L               ;650226    ;TOCO           ;        1.50;L  ;        1.69;        1.13;'3856028501121';PIÆA;        0.00;        0.00
TOCO LIMUN KRASTAVAC 0,5L               ;650227    ;TOCO           ;        0.50;L  ;        1.05;        2.10;'3856028501091';PIÆA;        0.00;        0.00
TOCO JABUKA RABARBARA 1,5L              ;650228    ;TOCO           ;        0.50;L  ;        1.69;        3.38;'3856028501060';PIÆA;        0.00;        0.00
FRUCTAL SUPERIOR JABUKA BRESKVA 0,75L   ;650260    ;FRUCTAL        ;        0.75;L  ;        2.02;        2.69;'3838945042680';PIÆA;        0.00;        0.00
FRUCTAL SUPERIOR JABUKA 0,75L           ;650261    ;FRUCTAL        ;        0.75;L  ;        2.02;        2.69;'3838945042673';PIÆA;        0.00;        0.00
FRUCTAL SUPERIOR NARANÈA 0,75L          ;650262    ;FRUCTAL        ;        0.75;L  ;        2.63;        3.51;'3838945042697';PIÆA;        0.00;        0.00
VINDI ACE 0,5L                          ;650267    ;VINDI          ;        0.50;L  ;        1.09;        2.18;'3850108072327';PIÆA;        0.00;        0.00
VINDI ACE 1,5L                          ;650272    ;VINDI          ;        1.50;L  ;        1.36;        0.91;'3850108072310';PIÆA;        0.00;        0.00
VINDI BCE 0,5L                          ;650273    ;VINDI          ;        0.25;L  ;        1.09;        4.36;'3850108072341';PIÆA;        0.00;        0.00
VINDI BCE 1,5L                          ;650289    ;VINDI          ;        1.50;L  ;        0.00;        0.91;'3850108072334';PIÆA;        1.39;        1.36
VINDI LIMUNADA 1,5L                     ;650290    ;VINDI          ;        1.50;L  ;        1.36;        0.91;'3850108072365';PIÆA;        0.00;        0.00
JUICY FRUITS NAR.-NEKT. LIM 0,33L       ;650364    ;JUICY          ;        0.33;L  ;        1.10;        3.33;'3858890978490';PIÆA;        0.00;        0.00
ROCK MULTIVITAMIN 0,5L                  ;650370    ;BIALU D.O.O.;        0.50;L  ;        1.99;        3.98;'8606029961999';PIÆA;        0.00;        0.00
ROCK JABUKA-KIWI 0,5L                   ;650371    ;BIALU D.O.O.;        0.50;L  ;        1.99;        3.98;'8606029962095';PIÆA;        0.00;        0.00
ROCK BOROVNICA-GROŽÐE 0,5L              ;650372    ;BIALU D.O.O.;        0.50;L  ;        1.99;        3.98;'8606029962156';PIÆA;        0.00;        0.00
SOK JABUKA 3L VOÆKO                     ;651165    ;VOÆKO          ;        5.00;L  ;        6.49;        1.30;'3859893379437';PIÆA;        0.00;        0.00
CAPPY PULPY ORANGE 1L                   ;651583    ;CAPPY          ;        3.00;L  ;        2.49;        0.83;'5449000333421';PIÆA;        0.00;        0.00
CAPPY PULPY NARANÈA 0,33L               ;651586    ;CAPPY          ;        0.33;L  ;        1.58;        4.79;'54027596';PIÆA;        0.00;        0.00
CAPPY PULPY PEACH 1L                    ;652169    ;CAPPY          ;        1.00;L  ;        1.78;        1.78;'5449000333438';PIÆA;        0.00;        0.00
LOL CHERRY SURPRISE 0,25L               ;652854    ;LOL            ;        0.25;L  ;        1.29;        5.16;'5904730983846';PIÆA;        0.00;        0.00
BOOM ŠUMSKO VOÆE 180mL                  ;652899    ;BOOM           ;        0.18;L  ;        0.89;        4.94;'5904730983037';PIÆA;        0.00;        0.00
BOOM JABUKA 180mL                       ;652900    ;BOOM           ;        0.18;L  ;        0.89;        4.94;'5904730983044';PIÆA;        0.00;        0.00
JUICY FRUITS ZMAJEVO VOÆE 1,5L          ;653768    ;JUICY          ;        1.50;L  ;        1.70;        1.13;'3858890971194';PIÆA;        0.00;        0.00
JUICY FRUITS ZMAJEVO VOÆE 0,5L          ;653787    ;JUICY          ;        0.50;L  ;        1.10;        2.20;'3858890971170';PIÆA;        0.00;        0.00
FRUC LIMUNADA 1,5L                      ;654173    ;FRUCTAL        ;        1.50;L  ;        1.96;        1.31;'3838945043359';PIÆA;        0.00;        0.00
FRUC LIMUNADA 0,5L                      ;654175    ;FRUCTAL        ;        0.50;L  ;        1.19;        2.38;'3838945043366';PIÆA;        0.00;        0.00
FRUC MANGOLADA 1,5L                     ;654176    ;FRUCTAL        ;        1.50;L  ;        1.96;        1.31;'3838945043373';PIÆA;        0.00;        0.00
FRUC MANGOLADA 0,5L                     ;654177    ;FRUCTAL        ;        1.50;L  ;        1.19;        0.79;'3838945043380';PIÆA;        0.00;        0.00
CAPPY ZERO LM 1,25L                     ;655112    ;CAPPY          ;        1.25;L  ;        1.88;        1.50;'5449000059185';PIÆA;        0.00;        0.00
FRUCTAL SUPERIOR SOK NARANÈA 0,33L      ;656429    ;ALCA ZAGREB D.O.O.;        0.33;L  ;        1.80;        5.45;'3838945042666';PIÆA;        0.00;        0.00
FRUCTAL SUPERIOR JABUKA 0,33L           ;656430    ;ALCA ZAGREB D.O.O.;        0.33;L  ;        1.40;        4.24;'3838945042642';PIÆA;        0.00;        0.00
FRUCTAL SUPERIOR JABUKA BRESKVA 0,33L   ;656431    ;ALCA ZAGREB D.O.O.;        0.33;L  ;        1.40;        4.24;'3838945042659';PIÆA;        0.00;        0.00
ROCK GALAXY BERRY 0,5L                  ;656503    ;BIALU D.O.O.;        0.50;L  ;        1.99;        3.98;'8606029963665';PIÆA;        0.00;        0.00
ROCK LEDENI ÈAJ BRESKVA 0,5L            ;656504    ;BIALU D.O.O.;        0.50;L  ;        1.99;        3.98;'8606029963689';PIÆA;        0.00;        0.00
GANG MULTIVITAMIN 0,5L                  ;658852    ;ZODA D.O.O.;        0.50;L  ;        2.99;        5.98;'3858891800653';PIÆA;        0.00;        0.00
GANG JABUKA 0,5L                        ;658854    ;ZODA D.O.O.;        0.50;L  ;        2.99;        5.98;'3858891800660';PIÆA;        0.00;        0.00
FRUC JABUKA 1,5L                        ;664157    ;ALCA ZAGREB D.O.O.;        1.50;L  ;        1.74;        1.16;'3838945044417';PIÆA;        0.00;        0.00
LEDENI ÈAJ BRESKVA 1.5 JAMNICA          ;142964    ;JAMNICA PLUS D.O.O.;        1.50;L  ;        1.69;        1.13;'3858884601045';PIÆA;        0.00;        0.00
LEDENI ÈAJ BRESKVA 0,5 JAMNICA          ;142965    ;JAMNICA PLUS D.O.O.;        0.50;L  ;        1.19;        2.38;'3858884601052';PIÆA;        0.00;        0.00
VINDI LED.ÈAJ BRESKVA 1.5L              ;151619    ;VINDI          ;        1.50;L  ;        1.62;        1.08;'3850108071801';PIÆA;        0.00;        0.00
VINDI LEDENI ÈAJ BRESKVA 2L             ;200375    ;VINDI          ;        2.00;L  ;        2.19;        1.10;'3850108071337';PIÆA;        0.00;        0.00
LEDENI ÈAJ ŠUM.VOÆE-BRUS 0.5L           ;203274    ;JAMNICA PLUS D.O.O.;        0.50;L  ;        1.19;        2.38;'3858884601731';PIÆA;        0.00;        0.00
VINDI LED.ÈAJ BRESKVA 0.5L PET          ;225422    ;VINDI          ;        0.50;L  ;        1.09;        2.18;'3850108073355';PIÆA;        0.00;        0.00
LEDENI ÈAJ ŠUM.VOÆE 1.5L JAMNICA        ;250002    ;JAMNICA PLUS D.O.O.;        1.50;L  ;        1.69;        1.13;'3858884601717';PIÆA;        0.00;        0.00
FUZE ÈAJ Š.VOÆE BRUSNICA 0,5L           ;527643    ;FUZE           ;        0.50;L  ;        1.22;        2.44;'5449000239167';PIÆA;        0.00;        0.00
FUZE ÈAJ BRESKVA HIBISKUS 0,5L          ;527674    ;FUZE           ;        0.50;L  ;        1.22;        2.44;'5449000239204';PIÆA;        0.00;        0.00
FUZE ÈAJ Š.VOÆE BRUSNICA 1,5L           ;527772    ;FUZE           ;        1.50;L  ;        1.72;        1.15;'5449000239303';PIÆA;        0.00;        0.00
FUZE ÈAJ LIMUN-LIMUNSKA TRAVA 1,5L      ;527779    ;FUZE           ;        1.50;L  ;        1.72;        1.15;'5449000239266';PIÆA;        0.00;        0.00
VINDI LEDENI ÈAJ ŠUMSKO VOÆE 1,5L       ;537187    ;VINDI          ;        1.50;L  ;        1.62;        1.08;'3850108071856';PIÆA;        0.00;        0.00
FUZE ÈAJ LIMUN-LIMUNSKA TRAVA 0,5L      ;544160    ;FUZE           ;        0.50;L  ;        1.22;        2.44;'5449000239181';PIÆA;        0.00;        0.00
FUZE ÈAJ BRESKVA HIBISKUS 1,5L          ;544161    ;FUZE           ;        1.50;L  ;        1.72;        1.15;'5449000239280';PIÆA;        0.00;        0.00
XIXO LEDENI ÈAJ BRESKVA 0,25L           ;566019    ;HELL ENERGY ADRIA D.O.O.;        0.25;L  ;        0.69;        2.76;'5999885747085';PIÆA;        0.00;        0.00
FUZE ÈAJ PASSION FRUIT 0,5L             ;571673    ;FUZE           ;        0.50;L  ;        1.22;        2.44;'5449000269461';PIÆA;        0.00;        0.00
FUZETEA BRESKVA I RUŽA BŠ 0,5L          ;582440    ;FUZE           ;        0.50;L  ;        1.22;        2.44;'5449000270139';PIÆA;        0.00;        0.00
FUZETEA BRESKVA I RUŽA BŠ 1,5L          ;582441    ;FUZE           ;        1.50;L  ;        1.72;        1.15;'5449000270146';PIÆA;        0.00;        0.00
JANA LEDENI ÈAJ MALINA HIBISKUS 1,5L    ;604569    ;JANA           ;        1.50;L  ;        1.69;        1.13;'3858890876321';PIÆA;        0.00;        0.00
LEDENI ÈAJ BRESKVA JUICY 1,5L           ;606603    ;JUICY          ;        1.50;L  ;        1.79;        1.19;'3858890977905';PIÆA;        0.00;        0.00
LEDENI ÈAJ ŠUMSKO VOÆE JUICY 1,5L       ;606604    ;JUICY          ;        1.50;L  ;        1.79;        1.19;'3858890977967';PIÆA;        0.00;        0.00
LEDENI ÈAJ LIMUN JUICY 1,5L             ;606620    ;JUICY          ;        1.50;L  ;        1.79;        1.19;'3858890978308';PIÆA;        0.00;        0.00
LEDENI ÈAJ BRESKVA JUICY 0,5L           ;606621    ;JUICY          ;        0.50;L  ;        1.14;        2.28;'3858890977875';PIÆA;        0.00;        0.00
