"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";"NETO_KOLIÈINA";"JEDINICA_MJERE";"MALOPROD.CIJENA(EUR)";"CIJENA_ZA_JEDINICU_MJERE";"MPC_POSEB.OBLIK_PROD";"POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE";"NAJNIŽA_MPC_U_30DANA";"SIDRENA_CIJENA";"BARKOD";"KATEGORIJA_PROIZVODA"
"MAHUNE ZELENE 1kg";"900481501";"NO BRAND";"1";"KG";"2,35";"2,35";"0";"0";"0";"2,35";"3858891044194";"HRANA"
"MAHUNE ZELENE 400g";"016185202";"DELIZIE DAL SOLE";"0,22";"KG";"1,15";"5,23";"0";"0";"0";"1,09";"8017596131225";"HRANA"
"MAHUNE ZELENE 400g";"016185202";"DELIZIE DAL SOLE";"0,22";"KG";"1,15";"5,23";"0";"0";"0";"1,09";"8017596114075";"HRANA"
"MAHUNE ZELENE 500g";"080096102";"FOGLIA VERDE";"0,5";"KG";"2,49";"4,98";"0";"0";"0";"2,99";"9999999999994";"HRANA"
"MAHUNE ZELENE 500g";"080096102";"FOGLIA VERDE";"0,5";"KG";"2,49";"4,98";"0";"0";"0";"2,99";"3859892765194";"HRANA"
"MAHUNE ZELENE 500g";"080096102";"FOGLIA VERDE";"0,5";"KG";"2,49";"4,98";"0";"0";"0";"2,99";"8436588101013";"HRANA"
"MAHUNE ZELENE 500g";"080096102";"FOGLIA VERDE";"0,5";"KG";"2,49";"4,98";"0";"0";"0";"2,99";"3859891767830";"HRANA"
"MAHUNE ZELENE 500g";"080096102";"FOGLIA VERDE";"0,5";"KG";"2,49";"4,98";"0";"0";"0";"2,99";"8058056198181";"HRANA"
"MAHUNE ŽUTE 1kg";"900481601";"NO BRAND";"1";"KG";"2,35";"2,35";"0";"0";"0";"2,35";"3858891044200";"HRANA"
"MAJONEZA LIGHT 40% 620g";"900469801";"SUNNY NATURE";"0,62";"KG";"2,69";"4,34";"0";"0";"0";"2,69";"8017596112194";"HRANA"
"MAJONEZA STAKLENKA 620g";"900469901";"SUNNY NATURE";"0,62";"KG";"2,89";"4,66";"0";"0";"0";"2,89";"8017596112187";"HRANA"
"MAJONEZA TUBA 76% 165g";"900531301";"SUNNY NATURE";"0,165";"KG";"1,39";"8,42";"0";"0";"0";"1,39";"8017596112200";"HRANA"
