"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";"NETO_KOLIÈINA";"JEDINICA_MJERE";"MALOPROD.CIJENA(EUR)";"CIJENA_ZA_JEDINICU_MJERE";"MPC_POSEB.OBLIK_PROD";"POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE";"NAJNIŽA_MPC_U_30DANA";"SIDRENA_CIJENA";"BARKOD";"KATEGORIJA_PROIZVODA"
"*ARANCINI MARGHERITA 100g";"910161001";"NO BRAND";"0,1";"KG";"1,29";"12,9";"0";"0";"0";"1,29";"";"HRANA"
"*ASIAGO TVRDI KRAVLJI SIR 1/2";"008690001";"NO BRAND";"1";"KG";"19,9";"19,9";"0";"0";"0";"19,9";"";"HRANA"
"*BAKALAR NA BIJELO";"910149601";"NO BRAND";"1";"KG";"31,9";"31,9";"0";"0";"0";"28,9";"";"HRANA"
"*BEÈKA KOBASICA";"910065401";"NO BRAND";"1";"KG";"9,9";"9,9";"0";"0";"0";"11,9";"";"HRANA"
"*BRIE SIR";"009620501";"NO BRAND";"1";"KG";"14,9";"14,9";"0";"0";"0";"19,9";"";"HRANA"
"*BURGUNDSKA ŠUNKA";"910210001";"NO BRAND";"1";"KG";"14,9";"14,9";"9,9";"9,9";"14,9";"14,9";"";"HRANA"
"*BUÐOLA 1/2 VP";"910208801";"NO BRAND";"1";"KG";"21,9";"21,9";"0";"0";"0";"21,9";"";"HRANA"
"*CACIOTTA KRAVLJI SIR CHILI PAPRIKA";"012503701";"NO BRAND";"1";"KG";"22,9";"22,9";"0";"0";"0";"22,9";"";"HRANA"
"*CACIOTTA KRAVLJI SIR S MASLINAMA";"012503801";"NO BRAND";"1";"KG";"22,9";"22,9";"0";"0";"0";"22,9";"";"HRANA"
"*CARSKI MIX POVRÆE";"910172601";"NO BRAND";"1";"KG";"4,9";"4,9";"0";"0";"0";"4,9";"";"HRANA"
"*CARSKO MESO PEÈENO";"910074301";"NO BRAND";"1";"KG";"8,61";"8,61";"0";"0";"0";"8,61";"";"HRANA"
"*CIKLA SALATA";"910110201";"NO BRAND";"1";"KG";"6,62";"6,62";"0";"0";"0";"6,62";"";"HRANA"
"*CRNE MASLINE PEÈENE SUHE";"014695201";"NO BRAND";"1";"KG";"11,9";"11,9";"0";"0";"0";"11,9";"";"HRANA"
"*CRNE MASLINE U SALAMURI";"014694301";"NO BRAND";"1";"KG";"12,9";"12,9";"0";"0";"0";"12,9";"";"HRANA"
"*CRVENA PEÈENA PAPRIKA";"910110301";"NO BRAND";"1";"KG";"9,28";"9,28";"0";"0";"0";"9,28";"";"HRANA"
"*CRVENA PEÈENA PAPRIKA S VRHNJEM";"910117801";"NO BRAND";"1";"KG";"9,94";"9,94";"0";"0";"0";"9,94";"";"HRANA"
"*DALMATINSKA BUÐOLA";"910144401";"NO BRAND";"1";"KG";"23,9";"23,9";"0";"0";"0";"22,9";"";"HRANA"
"*DALMATINSKA PANCETA";"910144301";"NO BRAND";"1";"KG";"20,9";"20,9";"0";"0";"0";"18,9";"";"HRANA"
"*DALMATINSKA PEÈENICA";"910150401";"NO BRAND";"1";"KG";"20,5";"20,5";"0";"0";"0";"21,9";"";"HRANA"
"*DELIKATES KUHANA ŠUNKA IZ KOM.BUTA";"910139801";"NO BRAND";"1";"KG";"10,9";"10,9";"0";"0";"0";"10,9";"";"HRANA"
"*DIMLJENA KRAÈICA";"910181901";"NO BRAND";"1";"KG";"5,9";"5,9";"0";"0";"0";"5,79";"";"HRANA"
"*DIMLJENA KUHANA ŠUNKA IZ KOM.BUTA";"910000701";"NO BRAND";"1";"KG";"14,9";"14,9";"0";"0";"0";"14,9";"";"HRANA"
"*DIMLJENA ROLANA LOPATICA BEZ KOŽE";"910127701";"NO BRAND";"1";"KG";"10,9";"10,9";"0";"0";"0";"9,9";"";"HRANA"
"*DIMLJENA SUHA SLANINA BIJELA";"910131301";"NO BRAND";"1";"KG";"7,5";"7,5";"0";"0";"0";"6,9";"";"HRANA"
"*DIMLJENA VRATINA 1/2 VP";"910191901";"NO BRAND";"1";"KG";"13,5";"13,5";"0";"0";"0";"12,5";"";"HRANA"
"*DIMLJENE SVINJSKE HRSKAVICE VP.";"910120501";"NO BRAND";"1";"KG";"7,9";"7,9";"0";"0";"0";"7,9";"";"HRANA"
"*DIMLJENI POLUTVRDI SIR ALPENSTR.";"910149401";"NO BRAND";"1";"KG";"13,9";"13,9";"0";"0";"0";"12,2";"";"HRANA"
"*DIMLJENI POLUTVRDI SIR DIMAR";"910195301";"NO BRAND";"1";"KG";"16,9";"16,9";"0";"0";"0";"16,9";"";"HRANA"
"*DIMLJENI SIR FIT";"910025201";"NO BRAND";"1";"KG";"14,9";"14,9";"0";"0";"0";"14,9";"";"HRANA"
"*DIMLJENI SIR GAUDA";"910025101";"NO BRAND";"1";"KG";"12,4";"12,4";"0";"0";"0";"12,4";"";"HRANA"
"*DOMAÆA DIMLJ. KOBASICA ZA KUHANJE";"910120801";"NO BRAND";"1";"KG";"11,9";"11,9";"0";"0";"0";"11,9";"";"HRANA"
"*DOMAÆA DIMLJENA SLANINA";"910166501";"NO BRAND";"1";"KG";"14,9";"14,9";"0";"0";"0";"14,9";"";"HRANA"
"*DOMAÆA SUHA KOBASICA";"910028901";"NO BRAND";"1";"KG";"16,9";"16,9";"0";"0";"0";"17,9";"";"HRANA"
"*DOMAÆI JEGER VP.";"910108401";"NO BRAND";"1";"KG";"7,1";"7,1";"0";"0";"0";"7,9";"";"HRANA"
"*DOMAÆI KULEN KVRGAVI";"910143801";"NO BRAND";"1";"KG";"24,9";"24,9";"0";"0";"0";"23,9";"";"HRANA"
"*DOMAÆI SVJEŽI ŠTRUKLI 400g";"910153801";"NO BRAND";"0,4";"KG";"3,99";"9,98";"0";"0";"0";"3,99";"";"HRANA"
"*DOMAÆI ŠVARGL SLAVONSKI";"910119701";"NO BRAND";"1";"KG";"8,9";"8,9";"0";"0";"0";"8,9";"";"HRANA"
"*FAŠINARAC I KRUMPIR VRHNJE 650g";"910153001";"NO BRAND";"0,65";"KG";"3,99";"6,14";"0";"0";"0";"3,99";"";"HRANA"
"*FAŠINARAC I MLADI KRUMPIR 650g";"910153101";"NO BRAND";"0,65";"KG";"3,99";"6,14";"0";"0";"0";"3,99";"";"HRANA"
"*FAŠIRANAC 95g";"910129201";"NO BRAND";"0,095";"KG";"1,39";"14,63";"0";"0";"0";"1,39";"";"HRANA"
"*FITNESS ŠUNKA OD PILEÆIH PRSA";"910210101";"NO BRAND";"1";"KG";"14,9";"14,9";"9,8";"9,8";"9,9";"14,9";"";"HRANA"
"*GIRASOLI SA SIROM 250g";"018096001";"NO BRAND";"0,25";"KG";"2,79";"11,16";"0";"0";"0";"2,79";"8006013986227";"HRANA"
"*GLAVA OD PORCHETTE";"910126401";"NO BRAND";"1";"KG";"11,4";"11,4";"0";"0";"0";"11,4";"";"HRANA"
"*GORGONZOLA DOLCE SIR";"011146201";"NO BRAND";"1";"KG";"15,9";"15,9";"0";"0";"0";"15,9";"";"HRANA"
"*GOUDA SIR S TARTUFIMA 130g";"910188101";"NO BRAND";"0,13";"KG";"4,99";"38,38";"0";"0";"0";"4,99";"5902431276809";"HRANA"
"*GRAH VARIVO";"910040901";"NO BRAND";"1";"KG";"5,9";"5,9";"0";"0";"0";"5,9";"";"HRANA"
"*GRAH VARIVO 820g";"910154101";"NO BRAND";"0,82";"KG";"3,99";"4,87";"0";"0";"0";"3,99";"";"HRANA"
"*GRANA PADANO 16 MJESECI";"013724901";"NO BRAND";"1";"KG";"28,9";"28,9";"0";"0";"0";"28,9";"";"HRANA"
"*GRANA PADANO 9 MJESECI";"006112701";"NO BRAND";"1";"KG";"24,9";"24,9";"0";"0";"0";"24,9";"";"HRANA"
"*GRILL PILEÆI FILE";"910073901";"NO BRAND";"1";"KG";"11,93";"11,93";"0";"0";"0";"11,93";"";"HRANA"
"*GRILL PILEÆI KRILNI BATAK CHILI";"910110001";"NO BRAND";"1";"KG";"11,27";"11,27";"0";"0";"0";"11,27";"";"HRANA"
"*GRÈKA ROLADA 110g";"910129301";"NO BRAND";"0,11";"KG";"1,99";"18,09";"0";"0";"0";"1,99";"";"HRANA"
"*GRÈKA ROLADA I KRUMPIR VRHNJE 680g";"910152901";"NO BRAND";"0,68";"KG";"3,99";"5,87";"0";"0";"0";"3,99";"";"HRANA"
"*IBERICO MIJEŠANI TVRDI SIR";"910138601";"NO BRAND";"1";"KG";"19,9";"19,9";"0";"0";"0";"19,9";"";"HRANA"
"*IBERICO SIR RUŽMARINOM 200g";"910188801";"NO BRAND";"0,2";"KG";"4,99";"24,95";"0";"0";"0";"4,99";"8436585772797";"HRANA"
"*ISTARSKA PANCETA PREMIUM";"910015201";"NO BRAND";"1";"KG";"25,9";"25,9";"0";"0";"0";"25,9";"";"HRANA"
"*ISTARSKA SALAMA";"910124601";"NO BRAND";"1";"KG";"21,9";"21,9";"0";"0";"0";"21,9";"";"HRANA"
"*ISTARSKI KRAVLJI SIR KOLUT";"910014901";"NO BRAND";"1";"KG";"24,9";"24,9";"0";"0";"0";"24,9";"";"HRANA"
"*ITALIANO TVRDI KRAVLJI SIR";"013339201";"NO BRAND";"1";"KG";"20,9";"20,9";"0";"0";"0";"20,9";"";"HRANA"
"*JUNEÆI GULAŠ 720g";"910154201";"NO BRAND";"0,72";"KG";"3,99";"5,54";"0";"0";"0";"3,99";"";"HRANA"
"*KAJMAK";"910004101";"NO BRAND";"1";"KG";"13,9";"13,9";"0";"0";"0";"13,9";"";"HRANA"
"*KISELO VRHNJE 20%";"910004201";"NO BRAND";"1";"KG";"5,9";"5,9";"0";"0";"0";"5,9";"";"HRANA"
"*KOBASICA ZA KUHANJE S CRV.PAPRIKOM";"910182001";"NO BRAND";"1";"KG";"10,9";"10,9";"0";"0";"0";"13,9";"";"HRANA"
"*KORE OD SIRA RFS";"014168901";"NO BRAND";"1";"KG";"6,62";"6,62";"0";"0";"0";"6,62";"";"HRANA"
"*KOZJI SIR 130g";"910188001";"NO BRAND";"0,13";"KG";"3,99";"30,69";"0";"0";"0";"3,99";"5902431274447";"HRANA"
"*KOZJI SIR SA ZAÈINIMA 130g";"910188201";"NO BRAND";"0,13";"KG";"4,49";"34,54";"0";"0";"0";"4,49";"5902431274522";"HRANA"
"*KRALJEVSKI SIR KOLUT";"910184501";"NO BRAND";"1";"KG";"17,9";"17,9";"11,9";"11,9";"17,9";"17,9";"";"HRANA"
"*KRANJSKA KOBASICA ZA KUHANJE";"910185501";"NO BRAND";"1";"KG";"6,4";"6,4";"0";"0";"0";"6,4";"";"HRANA"
"*KRAŠIÆKA KOBASICA MAP";"910120701";"NO BRAND";"1";"KG";"7,9";"7,9";"0";"0";"0";"7,9";"";"HRANA"
"*KRUMPIR GRATIN.SIROM VRHNJEM 100g";"910159801";"NO BRAND";"0,1";"KG";"1,09";"10,9";"0";"0";"0";"1,09";"";"HRANA"
"*KRUMPIR GRATINIRANI BROKULOM 100g";"910159701";"NO BRAND";"0,1";"KG";"1,09";"10,9";"0";"0";"0";"1,09";"";"HRANA"
"*KRUMPIR KRIŠKE S VRHNJEM";"910181401";"NO BRAND";"1";"KG";"5,9";"5,9";"0";"0";"0";"5,9";"";"HRANA"
"*KUHANA ŠUNKA IZ KOMADA BUTA";"910210301";"NO BRAND";"1";"KG";"13,9";"13,9";"0";"0";"0";"13,9";"";"HRANA"
"*KUHANA ŠUNKA SA SMANJENOM KOL.";"910210201";"NO BRAND";"1";"KG";"13,9";"13,9";"0";"0";"0";"13,9";"";"HRANA"
"*KUHANI DIMLJENI SIR";"910029101";"NO BRAND";"1";"KG";"13,9";"13,9";"0";"0";"0";"13,9";"";"HRANA"
"*KUHANI SIR S CRVENOM PAPRIKOM";"910118201";"NO BRAND";"1";"KG";"13,9";"13,9";"9,9";"9,9";"13,9";"13,9";"";"HRANA"
"*KULEN KVRGAVI";"910017601";"NO BRAND";"1";"KG";"19,9";"19,9";"0";"0";"0";"19,9";"";"HRANA"
"*LASAGNE PEÈENE";"910073001";"NO BRAND";"1";"KG";"6,62";"6,62";"0";"0";"0";"6,62";"";"HRANA"
"*LATTERIA POLUTVRDI SIR";"014312101";"NO BRAND";"1";"KG";"14,9";"14,9";"0";"0";"0";"14,9";"";"HRANA"
"*LIGNJE I POMFRIT 660g";"910154001";"NO BRAND";"0,66";"KG";"3,99";"6,05";"0";"0";"0";"3,99";"";"HRANA"
"*MANCHEGO TVRDI OVÈJI SIR KOLUT";"910209001";"NO BRAND";"1";"KG";"26,9";"26,9";"0";"0";"0";"26,9";"";"HRANA"
"*MARINIRANO PEÈENO PILE 1000g";"012533001";"NO BRAND";"0,55";"KG";"4,64";"8,44";"0";"0";"0";"4,64";"";"HRANA"
"*MEZZELUNE BUNDEVA I SIR 250g";"015281201";"NO BRAND";"0,25";"KG";"2,99";"11,96";"0";"0";"0";"2,99";"8006013990071";"HRANA"
"*MEZZELUNE BUNDEVA I SIR 250g";"015281201";"NO BRAND";"0,25";"KG";"2,99";"11,96";"0";"0";"0";"2,99";"8006013986524";"HRANA"
"*MEZZELUNE JUNETINA MERLOT 250g";"018095901";"NO BRAND";"0,25";"KG";"3,19";"12,76";"0";"0";"0";"3,19";"8006013986234";"HRANA"
"*MEZZELUNE SIR VRGANJI TARTUFI 250g";"018096101";"NO BRAND";"0,25";"KG";"2,99";"11,96";"0";"0";"0";"2,99";"8006013986203";"HRANA"
"*MILANSKA SALAMA";"910000301";"NO BRAND";"1";"KG";"18,9";"18,9";"0";"0";"0";"18,9";"";"HRANA"
"*MLINCI";"910110501";"NO BRAND";"1";"KG";"2,64";"2,64";"0";"0";"0";"2,64";"";"HRANA"
"*MONTASIO TVR.KRAV.SIR 60 DANA 1/2V";"007123001";"NO BRAND";"1";"KG";"19,9";"19,9";"0";"0";"0";"19,9";"";"HRANA"
"*MORTADELA CASTELLI PREMIUM";"910154301";"NO BRAND";"1";"KG";"15,5";"15,5";"0";"0";"0";"15,5";"";"HRANA"
"*MORTADELA KOCKICE";"015106301";"NO BRAND";"1";"KG";"4,99";"4,99";"0";"0";"0";"4,99";"";"HRANA"
"*MORTADELA OLIMPIA";"910000801";"NO BRAND";"1";"KG";"10,5";"10,5";"0";"0";"0";"10,5";"";"HRANA"
"*MORTADELA S MASLINAMA";"910056901";"NO BRAND";"1";"KG";"10,5";"10,5";"6,9";"6,9";"10,5";"10,5";"";"HRANA"
"*MORTADELA S PISTACIJAMA";"910055901";"NO BRAND";"1";"KG";"10,5";"10,5";"0";"0";"0";"10,5";"";"HRANA"
"*MORTADELA STELLA BOLOGNA";"910000901";"NO BRAND";"1";"KG";"13,5";"13,5";"0";"0";"0";"13,5";"";"HRANA"
"*MOZZAREL.POLUTVRDI SIR MONTEVERDI";"910190701";"NO BRAND";"1";"KG";"9,9";"9,9";"0";"0";"0";"9,9";"";"HRANA"
"*MOZZARELLA PREMIUM POLUTVRDI SIR";"910138501";"NO BRAND";"1";"KG";"12,5";"12,5";"8,5";"8,5";"12,5";"12,5";"";"HRANA"
"*NAMAZ OD ARTIÈOKE 90g";"017742101";"NO BRAND";"0,09";"KG";"1,99";"22,11";"0";"0";"0";"1,99";"8019760992946";"HRANA"
"*NAMAZ OD TALIJANSKIH MASLINA 90g";"017742201";"NO BRAND";"0,09";"KG";"1,99";"22,11";"0";"0";"0";"1,99";"8019760992953";"HRANA"
"*NAMAZ OD ÈILI PAPRIÈICE 90g";"017742001";"NO BRAND";"0,09";"KG";"1,99";"22,11";"0";"0";"0";"1,99";"8019760992908";"HRANA"
"*PALENTA/ŽGANCI";"910109701";"NO BRAND";"1";"KG";"2,64";"2,64";"0";"0";"0";"2,64";"";"HRANA"
"*PANCETA";"910194101";"NO BRAND";"1";"KG";"11,9";"11,9";"0";"0";"0";"11,9";"";"HRANA"
"*PANCETA NA POSEDARSKI 1/2 VP";"910129001";"NO BRAND";"1";"KG";"19,9";"19,9";"0";"0";"0";"19,9";"";"HRANA"
"*PANIRANA PEÈENA SRDELA";"910177701";"NO BRAND";"1";"KG";"9,9";"9,9";"0";"0";"0";"9,9";"";"HRANA"
"*PANIRANI OSLIÆ FILET";"910031001";"NO BRAND";"1";"KG";"12,9";"12,9";"0";"0";"0";"12,9";"";"HRANA"
"*PANIRANI OSLIÆ I POMFRIT 660g";"910153401";"NO BRAND";"0,66";"KG";"3,99";"6,05";"0";"0";"0";"3,99";"";"HRANA"
"*PANIRANI PILEÆI FILE 200g";"910041301";"NO BRAND";"0,2";"KG";"2,65";"13,25";"2,09";"10,45";"2,65";"2,65";"";"HRANA"
"*PANIRANI PILEÆI MLADI KRUMPIR 660g";"910152801";"NO BRAND";"0,66";"KG";"3,99";"6,05";"0";"0";"0";"3,99";"";"HRANA"
"*PANIRANI PILEÆI PRUTIÆI";"910162201";"NO BRAND";"1";"KG";"15,9";"15,9";"0";"0";"0";"15,9";"";"HRANA"
"*PANIRANI SVINJSKI KARE 200g";"910041401";"NO BRAND";"0,2";"KG";"2,39";"11,95";"0";"0";"0";"2,39";"";"HRANA"
"*PARIZER PILETINA PURETINA";"910195001";"NO BRAND";"1";"KG";"5,9";"5,9";"0";"0";"0";"5,9";"";"HRANA"
"*PARMIGIANO REG.DOP 24 MJESECA";"014643101";"NO BRAND";"1";"KG";"35,9";"35,9";"0";"0";"0";"32,9";"";"HRANA"
"*PARMIGIANO REGGIANO 15 MJESECI";"008504501";"NO BRAND";"1";"KG";"30,9";"30,9";"0";"0";"0";"29,9";"";"HRANA"
"*PASTIRSKI TVRDI KRAVLJI SIR KOLUT";"910187301";"NO BRAND";"1";"KG";"18,9";"18,9";"0";"0";"0";"18,9";"";"HRANA"
"*PASTRVA PEÈENA";"910118101";"NO BRAND";"1";"KG";"10,6";"10,6";"0";"0";"0";"10,6";"";"HRANA"
"*PECORINO ROMANO TVRDI OVÈJI SIR";"011853501";"NO BRAND";"1";"KG";"29,9";"29,9";"0";"0";"0";"29,9";"";"HRANA"
"*PECORINO SARDO MAT.DOP TRVDI SIR";"013690401";"NO BRAND";"1";"KG";"29,9";"29,9";"0";"0";"0";"29,9";"";"HRANA"
"*PEGLANI KULIN SALAMA";"910072701";"NO BRAND";"1";"KG";"18,9";"18,9";"0";"0";"0";"18,9";"";"HRANA"
"*PEKARSKI KRUMPIR";"015448801";"NO BRAND";"1";"KG";"3,04";"3,04";"0";"0";"0";"3,04";"";"HRANA"
"*PEKARSKI KRUMPIR SA ZAÈINIMA";"910162301";"NO BRAND";"1";"KG";"4,5";"4,5";"0";"0";"0";"4,5";"";"HRANA"
"*PEÈENA ŠUNKA 1/2 VP";"910015101";"NO BRAND";"1";"KG";"14,4";"14,4";"0";"0";"0";"14,9";"";"HRANA"
"*PEÈENA ŠUNKA OD PILEÆIH PRSA";"910159001";"NO BRAND";"1";"KG";"15,9";"15,9";"0";"0";"0";"13,9";"";"HRANA"
"*PEÈENA ŠUNKA OD PUREÆIH PRSA";"910118501";"NO BRAND";"1";"KG";"19,9";"19,9";"0";"0";"0";"16,9";"";"HRANA"
"*PEÈENI HAMBURGER";"910192001";"NO BRAND";"1";"KG";"6,99";"6,99";"0";"0";"0";"6,99";"";"HRANA"
"*PEÈENI KRILNI BATAK BBQ";"910167401";"NO BRAND";"1";"KG";"9,9";"9,9";"0";"0";"0";"9,9";"";"HRANA"
"*PEÈENI KRUMPIR S KOŽOM";"910181501";"NO BRAND";"1";"KG";"4,5";"4,5";"0";"0";"0";"4,5";"";"HRANA"
"*PEÈENI ODOJAK";"910155501";"NO BRAND";"1";"KG";"16,9";"16,9";"0";"0";"0";"16,9";"";"HRANA"
"*PIK KUHANA ŠUNKA ZLATNA";"910018701";"NO BRAND";"1";"KG";"14,2";"14,2";"0";"0";"0";"14,2";"";"HRANA"
"*PIK PUREÆA DIMLJENA ŠUNKA";"910191801";"NO BRAND";"1";"KG";"17,9";"17,9";"0";"0";"0";"17,9";"";"HRANA"
"*PIKANTNE MASLINE U ULJU";"014695101";"NO BRAND";"1";"KG";"11,9";"11,9";"0";"0";"0";"11,9";"";"HRANA"
"*PILE PEÈENO JEFTINIJE IZA 18H 650g";"910127401";"NO BRAND";"0,65";"KG";"3,58";"5,51";"0";"0";"0";"3,58";"";"HRANA"
"*PILEÆA PEÈENA KRILA MARINIRANA";"910074101";"NO BRAND";"1";"KG";"10,6";"10,6";"0";"0";"0";"10,6";"";"HRANA"
"*PILEÆA PRSA";"015532301";"NO BRAND";"1";"KG";"9,9";"9,9";"0";"0";"0";"9,5";"";"HRANA"
"*PILEÆI PEÈENI BATAK MARINIRANI";"910074201";"NO BRAND";"1";"KG";"10,6";"10,6";"0";"0";"0";"10,6";"";"HRANA"
"*PIRE KRUMPIR";"910057901";"NO BRAND";"1";"KG";"4,5";"4,5";"3,2";"3,2";"4,5";"4,5";"";"HRANA"
"*POLONICA PEÈEN.PILETA POMFRIT 710g";"910153301";"NO BRAND";"0,71";"KG";"3,99";"5,62";"0";"0";"0";"3,99";"";"HRANA"
"*POLOVICA PEÈ PILETA I POMFRIT 550g";"910078301";"NO BRAND";"0,55";"KG";"2,92";"5,31";"0";"0";"0";"2,92";"";"HRANA"
"*POLOVICA PEÈEN.PILETA MLINCI 710g";"910153201";"NO BRAND";"0,71";"KG";"3,99";"5,62";"0";"0";"0";"3,99";"";"HRANA"
"*POLOVICA PEÈENOG PILETA 350g";"910078201";"NO BRAND";"0,35";"KG";"2,32";"6,63";"0";"0";"0";"2,32";"";"HRANA"
"*POLOVICA PEÈENOG PILETA S MLINCIMA";"910118001";"NO BRAND";"1";"KG";"2,92";"2,92";"0";"0";"0";"2,92";"";"HRANA"
"*POLPETA POVRÈE I POMFRIT 485g";"910153901";"NO BRAND";"0,485";"KG";"3,99";"8,23";"0";"0";"0";"3,99";"";"HRANA"
"*POLUTVRDI SIR DOLINAR";"910195201";"NO BRAND";"1";"KG";"12,9";"12,9";"0";"0";"0";"12,9";"";"HRANA"
"*POMFRIT";"910169401";"NO BRAND";"1";"KG";"4,49";"4,49";"0";"0";"0";"4,49";"";"HRANA"
"*POVRÆE GRILL MIX";"910109901";"NO BRAND";"1";"KG";"6,62";"6,62";"0";"0";"0";"6,62";"";"HRANA"
"*PREMIUM KUHANA ŠUNKA IZ KOMAD.BUTA";"015226701";"NO BRAND";"1";"KG";"21,9";"21,9";"0";"0";"0";"21,9";"";"HRANA"
"*PRIPRAVAK OD POVRÆA 90g";"017742401";"NO BRAND";"0,09";"KG";"1,99";"22,11";"0";"0";"0";"1,99";"8019760992915";"HRANA"
"*PRŠUT CVIT DALMACIJE";"910144501";"NO BRAND";"1";"KG";"25,9";"25,9";"0";"0";"0";"23,9";"";"HRANA"
"*PRŠUT MONVISO";"910001001";"NO BRAND";"1";"KG";"20,9";"20,9";"0";"0";"0";"20,9";"";"HRANA"
"*PRŠUT PARMA DOP";"010686101";"NO BRAND";"1";"KG";"27,9";"27,9";"0";"0";"0";"27,9";"";"HRANA"
"*PRŠUT PISINO PREMIUM";"910015301";"NO BRAND";"1";"KG";"26,9";"26,9";"0";"0";"0";"28,9";"";"HRANA"
"*PRŠUT VRŠAK/KOCKICE";"015106501";"NO BRAND";"1";"KG";"6,99";"6,99";"0";"0";"0";"6,99";"";"HRANA"
"*PUREÆA ŠUNKA";"004253101";"NO BRAND";"1";"KG";"14,9";"14,9";"0";"0";"0";"13,9";"";"HRANA"
"*RAVNI KULEN";"910191401";"NO BRAND";"1";"KG";"16,9";"16,9";"0";"0";"0";"16,9";"";"HRANA"
"*ROŠTILJ KOBASICA PEÈENA";"910074401";"NO BRAND";"1";"KG";"9,28";"9,28";"0";"0";"0";"9,28";"";"HRANA"
"*SALAMA CREMONA ZOZP";"910126101";"NO BRAND";"1";"KG";"23,9";"23,9";"0";"0";"0";"23,9";"";"HRANA"
"*SALAMA FELINO IGP";"013715601";"NO BRAND";"1";"KG";"23,9";"23,9";"0";"0";"0";"23,9";"";"HRANA"
"*SALAMA NAPOLI";"910125801";"NO BRAND";"1";"KG";"19,9";"19,9";"0";"0";"0";"19,9";"";"HRANA"
"*SALAMA PICCANTE";"910125901";"NO BRAND";"1";"KG";"20,9";"20,9";"0";"0";"0";"20,9";"";"HRANA"
"*SALAMA ROMANA";"910126001";"NO BRAND";"1";"KG";"20,9";"20,9";"0";"0";"0";"20,9";"";"HRANA"
"*SALAMA S MESOM DIVLJE SVINJE 250g";"910151701";"NO BRAND";"0,25";"KG";"6,99";"27,96";"0";"0";"0";"6,99";"3859893534614";"HRANA"
"*SALAMA S MESOM JELENA 250g";"910151801";"NO BRAND";"0,25";"KG";"6,99";"27,96";"0";"0";"0";"6,99";"3859893534607";"HRANA"
"*SALATA FRANCUSKA";"910083401";"NO BRAND";"1";"KG";"8,9";"8,9";"0";"0";"0";"8,9";"";"HRANA"
"*SALATA GRAH S LUKOM";"910144201";"NO BRAND";"1";"KG";"8,9";"8,9";"0";"0";"0";"8,9";"";"HRANA"
"*SALATA KUPUS";"910144101";"NO BRAND";"1";"KG";"6,9";"6,9";"0";"0";"0";"6,9";"";"HRANA"
"*SALATA S MOZZARELLOM 170g";"910175801";"NO BRAND";"0,17";"KG";"2,99";"17,59";"0";"0";"0";"2,99";"";"HRANA"
"*SALATA S PILETINOM 175g";"910175701";"NO BRAND";"0,175";"KG";"3,29";"18,8";"0";"0";"0";"3,29";"";"HRANA"
"*SALATA S TUNOM 170g";"910175601";"NO BRAND";"0,17";"KG";"2,99";"17,59";"0";"0";"0";"2,99";"";"HRANA"
"*SALATA SA FETA SIROM 180g";"910175501";"NO BRAND";"0,18";"KG";"2,99";"16,61";"0";"0";"0";"2,99";"";"HRANA"
"*SALATA SURIMI";"910083901";"NO BRAND";"1";"KG";"11,9";"11,9";"0";"0";"0";"11,9";"";"HRANA"
"*SALATA TOSCANA.";"910083501";"NO BRAND";"1";"KG";"12,9";"12,9";"0";"0";"0";"12,9";"";"HRANA"
"*SALATA TUNA S POVRÆEM";"910083801";"NO BRAND";"1";"KG";"13,9";"13,9";"0";"0";"0";"13,9";"";"HRANA"
"*SARMA KOMAD 100g";"910058301";"NO BRAND";"0,1";"KG";"1,69";"16,9";"0";"0";"0";"1,69";"3859893714375";"HRANA"
"*SCAMORZA BIANCA KRAVLJI SIR 200g";"910102401";"NO BRAND";"0,2";"KG";"3,19";"15,95";"0";"0";"0";"3,19";"8002710403005";"HRANA"
"*SCAMORZA DIMLJENI KRAVLJI SIR 200g";"910102301";"NO BRAND";"0,2";"KG";"3,19";"15,95";"0";"0";"0";"3,19";"8002710402992";"HRANA"
"*SENDVIÈ SALAMA";"910191301";"NO BRAND";"1";"KG";"15,9";"15,9";"0";"0";"0";"15,9";"";"HRANA"
"*SIR BURRATA 150g";"910059301";"NO BRAND";"0,15";"KG";"3,49";"23,27";"0";"0";"0";"3,49";"8002710335252";"HRANA"
"*SIR BURRATA 150g";"910059301";"NO BRAND";"0,15";"KG";"3,49";"23,27";"0";"0";"0";"3,49";"80882282";"HRANA"
"*SIR BURRATA 150g";"910059301";"NO BRAND";"0,15";"KG";"3,49";"23,27";"0";"0";"0";"3,49";"80894162";"HRANA"
"*SIR CHEDDAR CRVENI";"910162401";"NO BRAND";"1";"KG";"14,9";"14,9";"0";"0";"0";"13,9";"";"HRANA"
"*SIR DIMLJENA BURRATA 125g";"910163601";"NO BRAND";"0,125";"KG";"3,19";"25,52";"0";"0";"0";"3,19";"8023074006657";"HRANA"
"*SIR DIMLJENA MOZZAR.BUFALA 200g";"910163501";"NO BRAND";"0,2";"KG";"3,99";"19,95";"0";"0";"0";"3,99";"8023074000099";"HRANA"
"*SIR DŽIUGAS KOLUT 12 MJESECI";"910187001";"NO BRAND";"1";"KG";"19,9";"19,9";"0";"0";"0";"19,9";"";"HRANA"
