naziv;šifra;marka;neto kolièina;jedinica mjere;MPC (EUR);cijena za jedinicu mjere (EUR);MPC za vrijeme posebnog oblika prodaje (EUR);Najniža cijena u posljednjih 30 dana (EUR);sidrena cijena na 2.5.2025. (EUR);barkod;kategorija proizvoda
DŽEM MACKAY´S LIMUN CURD 340 g;43026;Mackays;0,3400;kg;4,99;14,68;;;4,99;0637793001053;Hrana
DŽEM MACKAY´S JAGOD.ŠAMP.340 g;43027;Mackays;0,3400;kg;5,49;16,15;;;5,49;0637793001015;Hrana
MARMEL.MACKAY´S NAR.VISK 340 g;43028;Mackays;0,3400;kg;4,99;14,68;;;4,99;0637793000957;Hrana
MARMEL.MACKAY´S NARANÈA 340 g;43029;Mackays;0,3400;kg;5,99;17,62;;;4,99;0637793000902;Hrana
KAVA ARABESCA MINAS 500 g;43095;Arabesca;0,5000;kg;11,29;22,58;;;11,29;3859889500050;Piæa
TJES.BARILLA FETTUCCINE 500 g;43108;Barilla;0,5000;kg;3,49;6,98;;;3,49;8076809523776;Hrana
TJES.BARILLA INT.FUSILLI 500 g;43110;Barilla;0,5000;kg;2,99;5,98;;;3,09;8076809529457;Hrana
TJES.BARIL.IN.PENNE RIG.500 g;43111;Barilla;0,5000;kg;2,99;5,98;;;3,09;8076809529433;Hrana
TJE.BARILLA IN.SPAGHETTI 500 g;43112;Barilla;0,5000;kg;2,99;5,98;;;3,09;8076809529419;Hrana
UMAK PODRAVKA BOLOGNESE 410 g;43157;Podravka;0,4100;kg;4,79;11,68;;;4,39;3850104224850;Hrana
MASLINE MARINA CRNE 690 g;43281;Marina;0,3900;kg;6,99;17,92;;;7,59;3859888295094;Hrana
MASLINE MARINA ZELENE 690 g;43283;Marina;0,3900;kg;6,99;17,92;;;7,59;3859888295063;Hrana
MASLINE MARINA ZELENE 370 g;43284;Marina;0,2000;kg;5,49;27,45;;;5,99;3859888295278;Hrana
PIVO HEINEKEN LIM. 0,5 L;43384;Heineken;0,5000;l;1,75;3,50;;;1,68;3830001714692;Piæa
BRUSNICA NATURA 100 g;43413;Natura;0,1000;kg;1,98;19,80;;;1,98;3859890587972;Hrana
PIVO BECKS LIM 0,5L ;43677;Becks;0,5000;l;1,79;3,58;;;1,69;3850131290101;Piæa
VINO DEGRAS.CAB.SAUV.0,75 L  ;43784;;0,7500;l;12,42;16,56;;;12,42;3859891805181;Piæa
RIŽA NATURREIS NATUR PUR 500 g;43858;Natur pur;0,5000;kg;2,19;4,38;;;2,19;9100000043951;Hrana
TJ.NATUR PUR PENNE RIGAT.500 g;43860;Natur pur;0,5000;kg;1,72;3,44;;;1,72;9100000156743;Hrana
BIO-SOK JABUKA SPAR 1 L;43861;SPAR Natur*pur;1,0000;L;2,79;2,79;;;2,78;9100000115368;Piæa
RIŽA BASMATI NATUR PUR 500 g;43865;Natur pur;0,5000;kg;3,19;6,38;;;3,19;9100000448398;Hrana
VINO KOLARIÆ SILVANAC 0,75 L;43876;;0,7500;L;7,79;10,39;;;7,79;3859889817127;Piæa
LIKER MEDOVAÈA PATRIK 0,5 L;45082;Patrik;0,5000;l;13,39;26,78;;;14,82;3859890672203;Piæa
RAKIJA STALAK ÈOKANÈIÆ 0,5L;45094;;0,5000;l;28,88;57,76;;;28,88;3859891109029;Piæa
VINO WOODBRIDGE CAB.SAU.0.75 L;45240;;0,7500;l;13,59;18,12;;;13,59;5010186016172;Piæa
WHISKY GLENLIVET 12 YO 0,7 L;45247;Glenlivet;0,7000;L;45,59;65,13;;;44,02;0080432402825;Piæa
WHISKEY CHIVAS REGAL 18YO 0,7L;45250;Chivas Regal;0,7000;l;79,89;114,13;;;75,02;5000299225004;Piæa
VINO POGGI DEL SOLE CHI.0,75 L;45877;Weingut Schloss Fels;0,7500;l;4,72;6,29;;;4,72;9100300177035;Piæa
