NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,MARKA,MALOPRODAJNA_CIJENA,MPC_ZA_VRIJEME_POSEBNOG_OBLIKA_PRODAJE,NAJNIZA_CIJENA_U_POSLJ._30_DANA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Mortadella s pistacijama,0010630,0.7,700g,Italiamo,3.99,,,5.7,20055325,Hrana,"3,89"
"Mesnata slanina, dimljena",0010913,0.25,2x125g,Dulano,3.19,,,12.76,4056489569978,Hrana,"3,19"
Pommes Frites za peænicu 7x7,0011162,1,1kg,Harvest Basket,2.89,,,2.89,20001575,Hrana,"2,89"
Èips paprika,0011163,0.15,150g,Snack Day,1.15,,,7.67,20094706,Hrana,"1,15"
Èips paprika,0011163,0.15,150g,Snack Day,1.15,,,7.67,40894836,Hrana,"1,15"
Kobasica SK13,0011790,0.2,200g,Dulano,2.39,,,11.95,20012588,Hrana,"2,15"
Kobasica SK13,0011790,0.2,200g,Dulano,2.39,,,11.95,20097264,Hrana,"2,15"
Narezana salama SK35,0011808,0.125,125g,Dulano,2.29,,,18.32,20030162,Hrana,"2,19"
Mediteranski pršut SK24,0011818,0.1,100g,Dulano Selection,2.59,,,25.9,4056489115144,Hrana,"2,59"
Kuhana šunka tanko narezana XXL SK4,0011882,0.4,400g,Dulano,4.29,,,10.73,20015480,Hrana,"4,29"
Salsa umak SK18,0011890,0.315,315g,Snack Day,1.59,,,5.05,20108588,Hrana,"1,59"
"Smrznute maline, 500g",0012134,0.5,500g,-,5.99,,,11.98,20130626,Hrana,"4,39"
Jogurt 5% SK 4,0012211,1,1kg,Pilos,2.99,,,2.99,4056489110118,Hrana,Nije_bilo_u_prodaji_02.05.2025
MSC Fileti haringe u umaku SK20,0012408,0.2,200g,Nixe,1.49,,,7.45,4056489666004,Hrana,"1,49"
Marcipan za kolaèe,0012734,0.2,200g,Belbake,1.99,,,9.95,20098216,Hrana,"1,55"
Kolaè s orašastim voæem ,0012740,0.3,300g,Favorina,2.79,,,9.3,20082345,Hrana,"3,39"
Marcipan kuglice,0012823,0.125,125g,Favorina,0.99,,,7.92,20036249,Hrana,"1,79"
Marcipan prutiæ,0012844,0.1,100g,Favorina,1.19,,,11.9,20258733,Hrana,"1,39"
Ružmarin,0012875,0.025,25g,Kania,0.59,,,0.59,4056489367253,Hrana,"0,56"
Suhe brusnice,0012969,0.2,200g,Alesto Selection,2.15,,,10.75,4056489167051,Hrana,"2,15"
Salama SK1,0018075,0.12,120g,Deluxe,3.19,,,26.58,4056489714927,Hrana,"2,59"
Mozzarella classic,0019051,0.125,125g,Milbona,1.15,,,9.2,20002268,Hrana,"1,09"
Tjestenina Farfalle HWG,0019104,0.5,500g,Combino,0.99,,,1.98,20093099,Hrana,"1,29"
Èokoladni keksi XXL SK1,0019242,0.165,165g,Sondey,2.29,,,13.88,20199784,Hrana,"1,99"
Bijela èokolada,0019545,0.1,100g,Fin Carré,1.69,,,16.9,20368197,Hrana,"1,69"
Žele figure,0019656,0.25,250g,Favorina,0.99,,,3.96,20051365,Hrana,"0,99"
Zobene pahuljice mekane,0019661,0.5,500g,Crownfield,0.79,,,1.58,20003166,Hrana,"0,79"
Mini pjenasti poljupci ,0019668,0.266,266g,Alpenfest,2.99,,,11.24,20005924,Hrana,"2,99"
Hrskavi müsli SK2,0019931,0.6,600g,Crownfield,3.49,,,5.82,20201807,Hrana,"3,35"
Kuglof SK7,0021042,0.5,500g,Confiserie Firenze,2.89,,,5.78,20139858,Hrana,"2,89"
Tamna èokolada,0021236,0.1,100g,Fin Carré,1.89,,,18.9,20005832,Hrana,"1,59"
Keks s karamelom,0021239,0.058,58g,Mister Choc,0.59,,,10.17,20077495,Hrana,"0,59"
Mini èokoladice s kikirikijem,0021247,0.35,350g,Mister Choc,3.69,,,10.54,4056489172574,Hrana,"3,59"
Minis Caramel,0021249,0.35,350g,Mister Choc,3.69,,,10.54,4056489730279,Hrana,"3,59"
Baguette pecivo SK15,0021282,0.3,300g,Tastino,0.99,,,3.3,4056489096313,Hrana,"0,99"
Sendviè toast ,0021321,0.75,750g,Tastino,1.69,,,2.25,20061272,Hrana,"1,69"
Corbieres AOP,0021791,0.744,"0,75l",-,2.99,,,3.99,4056489035411,Piæe,"3,49"
Prašak za puding èokolada,0021814,0.123,123g,Belbake,0.69,,,5.61,20009007,Hrana,"0,59"
Sladoled štapiæ èoko crisp,0021903,0.504,6x120ml,Gelatelli,5.99,,,8.32,4056489375104,Hrana,"4,99"
Sladoled štapiæ SK7,0021940,0.219,3x110ml,Gelatelli,2.19,,,6.64,4056489267348,Hrana,"2,19"
Špagete Tricolore,0022109,0.5,500g,Italiamo,1.69,,,3.38,20122580,Hrana,"1,69"
Brazilski orah,0022252,0.2,200g,Alesto Selection,3.49,,,17.45,20202392,Hrana,"3,49"
Integralni špageti HWG,0022427,0.5,500g,Combino,0.89,,,1.78,20122577,Hrana,"0,85"
Krutoni SK1,0022485,0.1,100g,Kania,1.39,,,13.9,20171100,Hrana,"1,39"
Kuhana šunka,0022526,0.15,150g,Dulano,2.39,,,15.93,20189341,Hrana,"2,39"
Mousse au Chocolat,0022530,0.24,4x60g,Duc de Coeur,1.29,,,5.38,20020569,Hrana,"1,05"
Meki bijeli sir,0022613,0.35,350g,Duc de Coeur,4.19,,,11.97,20131623,Hrana,"3,19"
Meki kravlji sir u salamuri,0022725,1,1kg,Milbona,10.79,,,10.79,4056489203216,Hrana,"9,99"
Baguettes-francuz SK5,0022918,0.35,2x175g,Chef Select,2.99,,,8.54,4056489455127,Hrana,"2,79"
Kiseli gumeni bomboni jabuka,0023137,0.4,400g,Sweet Corner,2.19,,,5.48,20708184,Hrana,"2,19"
Mesni naresci SK2,0024325,0.1,100g,Alpenfest,1.89,,,18.9,20231897,Hrana,"1,89"
Mesni naresci SK2,0024325,0.1,100g,Alpenfest,1.89,,,18.9,20345259,Hrana,"1,89"
Kolaè s ribanim tijestom SK10,0024334,0.4,400g,Alpenfest,2.59,,,6.48,20122881,Hrana,"2,49"
Trans. sprej za sunèanje ZF 30,0024972,0.151,200ml,Cien Sun,5.99,,,29.95,4056489182542,Kozmetika,"5,99"
Djeèji sprej za sunèanje ZF 50+,0024982,0.151,150ml,Cien Sun,5.95,,,39.67,20546533,Kozmetika,"5,95"
Uljni sprej za sunèanje ZF 6,0024984,0.226,250ml,Cien Sun,5.49,,,21.96,4056489368335,Kozmetika,"5,49"
Piškote,0026237,0.4,400g,Sondey,1.75,,,4.38,4056489166696,Hrana,"1,75"
Sir Brie 60%,0026804,0.2,200g,Milbona,2.25,,,11.25,20024727,Hrana,"2,25"
Prekooceanska mini vina SK9,0027309,0.25,"0,25l",Cimarosa,1.89,,,7.56,20189617,Piæe,"1,89"
Zaštitna Anti-age krema za sunè SK6,0027370,0.075,75ml,Cien Sun,3.99,,,53.2,4056489368410,Kozmetika,"4,99"
Djeèja krema za sunèanje ZF 50+,0027375,0.102,100ml,Cien Sun,2.49,,,24.9,20231460,Kozmetika,"2,49"
Bijela èokolada s lješ. i krispijem,0027563,0.2,200g,Fin Carré,3.29,,,16.45,20005788,Hrana,"2,99"
Zaèini,0028001,0.014,"12,5g,15g",Kania,1.85,,,1.85,20226558,Hrana,"1,85"
Tamna èok. s malinom,0028132,0.125,125g,J.D. Gross,2.99,,,23.92,20177201,Hrana,"2,99"
Tamna èok. s karamelom,0028133,0.125,125g,J.D. Gross,2.99,,,23.92,20177218,Hrana,"2,99"
Kukuruz u zrnu (OM 285g),0028424,0.34,425ml,Freshona,1.19,,,4.18,4056489499688,Hrana,"1,09"
"Kalif. badem blanširani, mljeveni",0028489,0.2,200g,Belbake,2.38,,,11.9,20003432,Hrana,"2,49"
Gel za brijanje ,0028839,0.2,200ml,Cien MEN,2.09,,,10.45,4056489436553,Kozmetika,"2,09"
Flaster SK7,0028901,0.023,"20komad,40komad",Sensiplast,0.89,,,0.02,20084950,Toaletne potrepštine,"0,89"
Flaster SK7,0028901,0.023,"20komad,40komad",Sensiplast,0.89,,,0.02,20254353,Toaletne potrepštine,"0,89"
Flaster SK7,0028901,0.023,"20komad,40komad",Sensiplast,0.89,,,0.04,4056489235576,Toaletne potrepštine,"0,89"
Flaster SK7,0028901,0.023,"20komad,40komad",Sensiplast,0.89,,,0.04,4056489235583,Toaletne potrepštine,"0,89"
Flaster SK7,0028901,0.023,"20komad,40komad",Sensiplast,0.89,,,0.04,4056489235590,Toaletne potrepštine,"0,89"
Flaster SK7,0028901,0.023,"20komad,40komad",Sensiplast,0.89,,,0.04,40895369,Toaletne potrepštine,"0,89"
"Slanutak u slanoj vodi, OM 240g",0028948,0.4,425ml,Freshona,0.59,,,2.46,20475598,Hrana,"0,69"
Grana Padano,0029350,0.2,200g,Milbona,3.69,,,18.45,4056489864592,Hrana,"3,79"
"Grašak mladi, OM 280g",0029408,0.4,425ml,Freshona,1.09,,,3.89,20009816,Hrana,"0,99"
"Dnevni ulošci s Aloe Vera, SK8",0029444,0.072,"26komad,32komad,45komad",Siempre,1.25,,,0.04,4056489805243,Toaletne potrepštine,"1,25"
"Baby kukuruz, OM 190g",0029474,0.34,370ml,Freshona,1.69,,,8.89,20004262,Hrana,"1,29"
Parboiled riža u vreæici 4x125g,0029528,0.5,4x125g,Golden Sun,1.19,,,2.38,20035389,Hrana,"1,19"
"Trajno mlijeko 2,8% m.m.",0030860,1,1l,Pilos,0.82,,,0.82,20123093,Hrana,"0,79"
Èokoladni listiæi SK4,0030861,0.125,125g,Mister Choc,2.99,,,23.92,20419202,Hrana,"2,99"
Desertni specijaliteti SK19,0030937,0.155,"2x75g,2x80g",MCENNEDY,1.69,,,9.39,20020644,Hrana,"1,69"
Creme Caramel,0031400,0.4,4x100g,Duc de Coeur,1.99,,,4.98,20175955,Hrana,"1,99"
Sladoled štapiæ badem,0031721,0.084,120ml,Gelatelli,1.19,,,9.92,20012137,Hrana,"0,99"
Toffee mješavina ,0031722,0.3,300g,Sweet Corner,2.29,,,7.63,20230487,Hrana,"2,29"
Èokolada SK2,0031870,0.1,100g,Alpenfest,1.09,,,10.9,20236274,Hrana,"1,09"
"Dimljeni losos, škotski",0032117,0.32,320g,Deluxe,10.15,,,31.72,4056489144007,Hrana,"9,99"
"Svijetlo pivo 4,9%",0032276,0.503,"0,5l",Perlenbacher,0.99,,,1.98,20232122,Piæe,"0,99"
Snack kobasica Tirolska SK8,0032325,0.15,150g,Alpenfest,1.99,,,13.27,20242688,Hrana,"1,99"
Snack kobasica Tirolska SK8,0032325,0.15,150g,Alpenfest,1.99,,,13.27,22288810,Hrana,"1,99"
Liebfraumilch ,0032468,0.75,"0,75l",-,3.49,,,4.65,4335619001350,Piæe,"3,29"
Südafrika Pinotage (EUA),0034515,0.75,"0,75l",Cimarosa,3.39,,,4.52,4056489010074,Piæe,"3,99"
Kal. Zinfandel rose vino (EUA),0034522,0.75,"0,75l",Cimarosa,3.49,,,4.65,4304493261525,Piæe,"3,49"
"Tortilla èips SK1, SK5, SK6",0034632,0.15,150g,Snack Day,1.19,,,7.93,20308735,Hrana,"1,19"
"Tortilla èips SK1, SK5, SK6",0034632,0.15,150g,Snack Day,1.19,,,7.93,4056489452423,Hrana,"1,19"
Tempranillo la Mancha DO Barrica,0036258,0.75,"0,75l",Mezquiriz,2.49,,,3.32,4056489833659,Piæe,"2,29"
Èips rebrasti s okusom sira i luka,0036645,0.15,150g,Snack Day,1.15,,,7.67,20173265,Hrana,"1,15"
Svježi sok od crvene naranèe 100%,0037475,1.047,1l,Solevita,3.29,,,3.29,20254162,Hrana,"2,99"
Svježi sok od crvene naranèe 100%,0037475,1.047,1l,Solevita,3.29,,,3.29,4304493268609,Hrana,"2,99"
Topljeni sir trokutiæi SK9,0038308,0.25,250g,Milbona,,2.19,2.79,8.76,4056489738589,Hrana,"2,79"
Èips SK30,0038411,0.175,175g,Snack Day,2.49,,,14.23,20771003,Hrana,"1,59"
Maslac za tijelo SK7,0038468,0.394,400ml,Cien,2.99,,,7.48,20261856,Kozmetika,"2,99"
Maslac za tijelo SK7,0038468,0.394,400ml,Cien,2.99,,,7.48,4056489665663,Kozmetika,"2,99"
"Prutiæi za maèke SK4, 50g",0038491,0.05,50g,Coshida,1.39,,,27.8,4056489142461,Proizvodi za kuæanstvo,"1,39"
Adventski kalendar,0038535,0.075,75g,Favorina,1.59,,,21.2,20047009,Hrana,"0,8"
Mali pužiæi HWG,0038724,0.5,500g,Combino,0.99,,,1.98,20220211,Hrana,"1,29"
Pasta za zube SK4,0038752,0.155,125ml,Dentalux,1.05,,,8.4,4056489708377,Kozmetika,"1,05"
Pasta za zube SK4,0038752,0.155,125ml,Dentalux,1.05,,,8.4,4056489857303,Kozmetika,"1,05"
"Tamponi, razne vrste 56-80 kom. SK8",0038769,0.178,"56komad,64komad,80komad",Siempre,3.69,,,0.07,4056489722953,Toaletne potrepštine,"3,69"
"Tamponi, razne vrste 56-80 kom. SK8",0038769,0.178,"56komad,64komad,80komad",Siempre,3.69,,,0.07,4056489722960,Toaletne potrepštine,"3,69"
"Tamponi, razne vrste 56-80 kom. SK8",0038769,0.178,"56komad,64komad,80komad",Siempre,3.69,,,0.05,4056489849001,Toaletne potrepštine,"3,69"
Smoothie 250ml SK13,0038798,0.265,250ml,Solevita,1.49,,,5.96,4304493261938,Hrana,"1,49"
Smoothie 250ml SK13,0038798,0.265,250ml,Solevita,1.49,,,5.96,4304493262744,Hrana,"1,49"
Balsamico umak SK5,0039128,0.316,250ml,Italiamo,1.39,,,5.56,20250522,Hrana,"1,39"
Balsamico umak SK5,0039128,0.316,250ml,Italiamo,1.39,,,5.56,4056489441007,Hrana,"1,39"
Pijesak za maèke,0039172,10,10kg,Coshida,3.75,,,0.38,4012345678901,Proizvodi za kuæanstvo,"3,75"
Kinder Milchschnitte,0039221,0.28,10x28g,,4.99,,,17.82,4008400191423,Hrana,"4,49"
Pšenièno svijetlo pivo,0039242,0.503,"0,5l",Perlenbacher,0.99,,,1.98,4304493261457,Piæe,"0,95"
Maramice za njegu kontr. ploèe SK2,0039559,0.227,30komad,W5,1.89,,,0.06,4335619061965,Proizvodi za kuæanstvo,"2,29"
Kuhinjska jodirana sol,0039899,0.5,500g,ChanteSel,0.35,,,0.7,20044268,Hrana,"0,35"
Kuhinjska jodirana sol,0039899,0.5,500g,ChanteSel,0.35,,,0.7,20044350,Hrana,"0,35"
Losion za tijelo,0039910,0.52,500ml,Cien,1.99,,,3.98,4335619111776,Kozmetika,"1,99"
Bourbon Whiskey 40% Vol.,0039987,0.664,"0,7l",Western Gold,9.99,,,14.27,4304493262362,Piæe,"9,99"
Asia umaci SK6,0040086,0.281,250ml,Vitasia,1.19,,,4.76,20110826,Hrana,"1,49"
Asia umaci SK6,0040086,0.281,250ml,Vitasia,1.19,,,4.76,20110857,Hrana,"1,49"
Asia umaci SK6,0040086,0.281,250ml,Vitasia,1.19,,,4.76,4056489002680,Hrana,"1,49"
Goldbrand 30% vol.,0040094,0.673,"0,7l",Alliance,5.39,,,7.7,4304493258631,Piæe,"5,39"
Fusilli HWG,0043077,0.5,500g,Italiamo,2.29,,,4.58,20490010,Hrana,"2,29"
Sladoled štapiæ vanilija,0043973,0.084,120ml,Gelatelli,1.15,,,9.58,20255145,Hrana,"0,99"
Sladoled štapiæ vanilija,0043973,0.084,120ml,Gelatelli,1.15,,,9.58,4335619227378,Hrana,"0,99"
Kremasti jogurt SK2,0043990,0.15,150g,Italiamo,0.99,,,6.6,20257170,Hrana,"0,89"
Parboiled riža u vreæici,0047482,0.4,4x100g,Golden Sun,0.89,,,2.23,20053970,Hrana,Nije_bilo_u_prodaji_02.05.2025
Šumeæe tablete magnezij,0051523,0.08,80g,Optisana,1.15,,,14.38,20289102,Hrana,"1,15"
Riža na mlijeku SK4,0051988,0.2,200g,Pilos,0.79,,,3.95,20442859,Hrana,"0,79"
"Smrznuto povræe, SK7",0054707,0.45,450g,Freshona,1.25,,,2.78,4056489431589,Hrana,"1,79"
Korneti 6 kom. SK1,0054742,0.45,6x120ml,Gelatelli,2.99,,,4.15,20294571,Hrana,"2,99"
Tekuæi jogurt XXL SK1,0055501,1,1kg,Milbona,1.99,,,1.99,4304493261761,Hrana,"1,89"
Tekuæi jogurt XXL SK1,0055501,1,1kg,Milbona,1.99,,,1.99,4304493262065,Hrana,"1,89"
"Èajno pecivo SK2, UTZ",0055526,0.3,300g,Sondey,2.75,,,9.17,20302986,Hrana,"2,75"
Vlažni WC papir SK1,0056482,0.816,4x80komad,Floralys,3.99,,,0.01,20508067,Proizvodi za kuæanstvo,"3,97"
Puding s vrhnjem (500g) SK1,0057580,0.5,500g,Milbona Selection,2.19,,,4.38,20301415,Hrana,"1,79"
Specijaliteti od kozjeg sira SK30,0058128,0.1,100g,Duc de Coeur,1.71,,,17.1,20696610,Hrana,"1,71"
Ledena kava SK6,0058658,0.261,250ml,Milbona,1.19,,,4.76,4304493261877,Hrana,"1,09"
Extra hrskavi èips SK8,0059344,0.125,125g,Snack Day,1.39,,,11.12,20612009,Hrana,"1,39"
Higijenski sprej za ruke i površine,0060140,0.224,250ml,W5,1.85,,,7.4,4052917120377,Sredstva za èišæenje,"1,85"
Grèki zaèini SK5,0060253,0.041,"35g,40g,50g",Eridanous,0.79,,,19.75,20550080,Hrana,"0,79"
Grèki zaèini SK5,0060253,0.041,"35g,40g,50g",Eridanous,0.79,,,15.8,20550080,Hrana,"0,79"
Grèki zaèini SK5,0060253,0.041,"35g,40g,50g",Eridanous,0.79,,,19.75,20656454,Hrana,"0,79"
Grèki zaèini SK5,0060253,0.041,"35g,40g,50g",Eridanous,0.79,,,15.8,4056489644286,Hrana,"0,79"
Grèki zaèini SK5,0060253,0.041,"35g,40g,50g",Eridanous,0.79,,,22.57,4056489723639,Hrana,"0,79"
Grèki zaèini SK5,0060253,0.041,"35g,40g,50g",Eridanous,0.79,,,19.75,4056489723653,Hrana,"0,79"
Ledene praline SK2,0060312,0.07,10x10ml,Deluxe,1.35,,,13.5,20550387,Hrana,"1,59"
Majoneza Dijon 70%,0061246,0.494,500ml,Duc de Coeur,2.11,,,4.22,20183363,Hrana,Nije_bilo_u_prodaji_02.05.2025
Dezodorans SK21,0062781,0.117,200ml,Cien,1.29,,,6.45,20549176,Kozmetika,"1,29"
Dezodorans SK21,0062781,0.117,200ml,Cien,1.29,,,6.45,4056489525844,Kozmetika,"1,29"
Dezodorans SK21,0062781,0.117,200ml,Cien,1.29,,,6.45,4056489547143,Kozmetika,"1,29"
Dezodorans muški SK15,0062785,0.123,200ml,Cien MEN,1.29,,,6.45,20321062,Kozmetika,"1,29"
Dezodorans muški SK15,0062785,0.123,200ml,Cien MEN,1.29,,,6.45,4056489235996,Kozmetika,"1,29"
Tiramisu,0063494,0.5,500g,Deluxe,3.99,,,7.98,20337179,Hrana,"3,79"
Bifteki sort. SK1,0065011,0.75,750g,Eridanous,7.99,,,10.65,20330453,Hrana,"7,99"
Aluminijska folija,0065442,0.207,1komad,Grillmeister,3.79,,,3.79,4335619171558,Proizvodi za kuæanstvo,"3,79"
Müsli voæni SK1,0065568,1,1000g,Crownfield,3.29,,,3.29,20353889,Hrana,"3,49"
Salama sort. XXL SK1,0065617,0.24,240g,Dulano,2.49,,,10.38,20339562,Hrana,"2,49"
Dnevni gel za umiv. i piling SK13,0067420,0.154,200ml,Cien,1.85,,,9.25,20351519,Kozmetika,"1,39"
Rošilj kobasice SK7,0067627,0.25,250g,Grillmeister,2.59,,,10.36,4056489141747,Hrana,"2,59"
Bruschetta SK1,0068286,0.342,342g,Italiamo,3.99,,,11.67,20064181,Hrana,"3,99"
Pljeskavice XXL SK1,0068460,0.6,600g,Dulano,4.29,,,7.15,20339593,Hrana,"4,29"
Sjenilo za oèi SK3 ,0069833,0.003,1komad,Cien,1.85,,,1.85,20030773,Kozmetika,"1,85"
Èokoladne kuglice,0070046,0.2,200g,Favorina,2.8,,,14,20362485,Hrana,"1,99"
Sir za roštilj SK1,0070128,0.28,280g,Grillmeister,2.99,,,10.68,20364656,Hrana,"2,99"
Maramice za èišæenje XXL SK1,0070686,1.64,4x80komad,W5,5.89,,,0.02,4056489268420,Proizvodi za kuæanstvo,"5,89"
Ledena kava XXL SK1,0070916,0.399,380ml,Milbona,1.29,,,3.39,4304493261990,Hrana,"1,09"
Ledena kava XXL SK1,0070916,0.399,380ml,Milbona,1.29,,,3.39,4304493266407,Hrana,"1,09"
Mozart kugle tamna èokolada,0070923,0.2,200g,J.D. Gross,3.39,,,16.95,20369699,Hrana,"3,39"
Mlijeko za sunèanje ZF 30,0072126,0.258,250ml,Cien,4.25,,,17,20382933,Kozmetika,"4,25"
Prženi kikiriki u tijestu XXL SK2,0072757,0.25,250g,Alesto,1.59,,,6.36,20360832,Hrana,"1,59"
Crema kava u zrnu RFA,0072858,1,1000g,Bellarom,16.99,,,16.99,4056489576754,Piæe,"13,99"
Dimljeni losos XXL,0073887,0.22,220g,Nautica,5.69,,,25.86,4056489798859,Hrana,"6,69"
Slani pereci,0075027,0.25,250g,Snack Day,0.95,,,3.8,20399474,Hrana,"0,99"
Integralne tortilje 6x25cm,0077433,0.37,370g,Snack Day,1.49,,,4.03,20555313,Hrana,"1,25"
Tiramisu SK4,0077850,0.16,2x80g,Italiamo,1.59,,,9.94,20401764,Hrana,"1,59"
Puding SK1,0078048,0.2,200g,Pilos,0.75,,,3.75,20418397,Hrana,"0,75"
Kukuruz šeæerac,0079520,0.45,450g,Freshona,1.59,,,3.53,4056489962427,Hrana,"1,49"
TK Wok-Mix SK1,0079617,0.5,500g,Freshona,1.99,,,3.98,4056489599302,Hrana,"1,99"
Hamburger/Hot Dog peciva SK14,0079870,0.278,"250g,300g",Tastino,1.19,,,4.76,20006358,Hrana,"1,19"
Hamburger/Hot Dog peciva SK14,0079870,0.278,"250g,300g",Tastino,1.19,,,4.76,4056489846994,Hrana,"1,19"
Naranèa 2kg,0080142,2,2kg,,2.48,,,1.24,20201265,Hrana,"2,48"
Naranèa 2kg,0080142,2,2kg,,2.48,,,1.24,8437022068022,Hrana,"2,48"
Mrkva 1kg,0082761,1,1kg,,1.19,,,1.19,20342753,Hrana,"1,29"
Kukuruz 400g,0082864,0.4,400g,,1.99,,,1.99,8413567031042,Hrana,"1,99"
Brokula 500g,0082904,0.5,500g,,1.29,,,2.58,3858893060024,Hrana,"1,49"
Raštika,0082918,0.5,500g,,1.69,,,3.38,20279394,Hrana,"0,8"
Bukovaèa 250g,0082986,0.25,250g,,1.39,,,5.56,3859889614726,Hrana,"1,39"
Šampinjoni smeði 250g,0083006,0.25,250g,,1.29,,,5.16,20242183,Hrana,"1,29"
Shiitake,0083055,0.1,100g,,1.69,,,16.9,20305901,Hrana,"1,69"
Krumpir 10kg,0083229,10,10kg,,3.9,,,0.39,20344375,Hrana,"4,9"
Krumpir 10kg,0083229,10,10kg,,3.9,,,0.39,3859891443024,Hrana,"4,9"
"Luk srebrenac, slatki",0083375,1,1kg,,2.29,,,2.29,20554637,Hrana,Nije_bilo_u_prodaji_02.05.2025
Peršin list 50g,0083435,0.05,50g,,0.89,,,17.8,20942854,Hrana,"0,89"
Bio rajèica mini grappolo 400g,0084549,0.4,400g,,2.49,,,6.23,20387099,Hrana,"2,49"
Bio paprika rog crvena,0084602,0.18,180g,,1.99,,,11.06,20442828,Hrana,"1,99"
Bio zaèinsko bilje,0084647,0,1komad,,1.69,,,1.69,20486242,Hrana,"1,49"
"Voæni jogurt 2,8% m.m., SK1",0086882,0.15,150g,Pilos,0.37,,,2.47,20156220,Hrana,"0,37"
Sjajilo za obuæu SK3,0087031,0.075,1komad,W5,1.29,,,1.29,20439057,Sredstva za èišæenje,"1,29"
Sjajilo za obuæu SK3,0087031,0.075,1komad,W5,1.29,,,1.29,20491352,Sredstva za èišæenje,"1,29"
Jogurt Duo SK1,0087634,0.175,175g,Halloween,0.75,,,4.29,20441968,Hrana,"0,75"
Fini umaci za tjesteninu SK1,0088272,0.35,350g,Deluxe,1.89,,,5.4,20448714,Hrana,"1,69"
Šampon protiv prhuti SK10,0088436,0.3,300ml,Cien,1.29,,,4.3,4056489235767,Kozmetika,"1,29"
Šampon protiv prhuti SK10,0088436,0.3,300ml,Cien,1.29,,,4.3,4056489235781,Kozmetika,"1,29"
Šampon protiv prhuti SK10,0088436,0.3,300ml,Cien,1.29,,,4.3,4056489424178,Kozmetika,"1,29"
Tilsiter listiæi,0088534,0.15,150g,Milbona,2.09,,,13.93,20444044,Hrana,"1,99"
Rukavice za jednokratnu uporabu SK3,0089720,0.523,100komad,W5,5.99,,,0.06,20454142,Proizvodi za kuæanstvo,"5,99"
Tjestenina slova od durum pšenice,0090057,0.5,500g,Combino,1.29,,,2.58,20437602,Hrana,"1,29"
Gumeni bomboni u obliku srca,0090295,0.5,500g,Für Dich,3.99,,,7.98,20458386,Hrana,"3,09"
Tirolska šunka SK2,0090603,0.1,100g,Alpenfest,2.19,,,21.9,20253844,Hrana,"1,99"
Blazinice,0090903,0.087,70komad,Cien,0.95,,,0.01,20459482,Toaletne potrepštine,"0,95"
Panirano povræe SK1,0091923,0.5,500g,Freshona,2.99,,,5.98,4056489805311,Hrana,"2,99"
Gel za tuširanje 3u1 SK16,0091976,0.309,300ml,Cien,1.05,,,3.5,20460938,Kozmetika,"1,05"
Gel za tuširanje 3u1 SK16,0091976,0.309,300ml,Cien,1.05,,,3.5,4056489424215,Kozmetika,"1,05"
Krpe za domaæinstvo SK6,0092429,0.076,"5komad,6komad",W5,0.99,,,0.2,20462482,Proizvodi za kuæanstvo,"1,19"
Krpe za domaæinstvo SK6,0092429,0.076,"5komad,6komad",W5,0.99,,,0.2,4335619150393,Proizvodi za kuæanstvo,"1,19"
Krpe za domaæinstvo SK6,0092429,0.076,"5komad,6komad",W5,0.99,,,0.2,4335619150409,Proizvodi za kuæanstvo,"1,19"
Miješano povræe,0093184,0.75,750g,Freshona,2.29,,,3.05,20486099,Hrana,"1,59"
Bio raženi kruh SK1,0095047,0.5,500g,Tastino,1.19,,,2.38,20507350,Hrana,"1,49"
Zaèini za kavu SK3,0097017,0.09,90g,Deluxe,2.29,,,25.44,20515171,Hrana,"1,79"
Zaèinsko ulje SK7,0097277,0.12,125ml,Deluxe,2.39,,,19.12,4056489821946,Hrana,"2,39"
Zaèinska mješavina SK7,0097448,0.047,"40g,45g,50g,55g",Deluxe,2.29,,,57.25,20520144,Hrana,"1,79"
Zaèinska mješavina SK7,0097448,0.047,"40g,45g,50g,55g",Deluxe,2.29,,,45.8,20520144,Hrana,"1,79"
Zaèinska mješavina SK7,0097448,0.047,"40g,45g,50g,55g",Deluxe,2.29,,,57.25,20520151,Hrana,"1,79"
Zaèinska mješavina SK7,0097448,0.047,"40g,45g,50g,55g",Deluxe,2.29,,,41.64,20520168,Hrana,"1,79"
Trans. sprej za sunèanje ZF 30,0097729,0.224,250ml,Cien Sun,5.49,,,21.96,20546519,Kozmetika,"6,99"
Indijski orašèiæi SK12,0097783,0.15,150g,Alesto,2.99,,,19.93,4056489104230,Hrana,"1,99"
Indijski orašèiæi SK12,0097783,0.15,150g,Alesto,2.99,,,19.93,4335619202900,Hrana,"1,99"
Hrana za maèke premium SK16,0097851,1.2,12x100g,Coshida,,2.99,4.19,2.49,20665654,Proizvodi za kuæanstvo,"4,19"
Parmigiano Reggiano SK1,0098191,0.1,100g,Italiamo,2.39,,,23.9,20516901,Hrana,"2,29"
Svježe cijeðeni sok od jabuke,0099270,1.046,1l,Solevita,1.99,,,1.99,4304493261730,Hrana,"1,89"
o.b. Tamponi SK1,0099299,0.052,"54komad,64komad",,4.29,,,0.08,3574661128658,Toaletne potrepštine,"4,29"
