NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,MARKA,MALOPRODAJNA_CIJENA,MPC_ZA_VRIJEME_POSEBNOG_OBLIKA_PRODAJE,NAJNIZA_CIJENA_U_POSLJ._30_DANA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
"Voæni jogurt 1,8%, SK45, SK46",0001798,0.25,250g,Milbona,0.79,,,3.16,20033033,Hrana,"0,79"
Sirni narezak 3 vrste,0001821,0.25,250g,Milbona,2.99,,,11.96,20014254,Hrana,"2,79"
Namaz od vrhnja SK21,0001889,0.2,200g,Milbona,,1.09,1.79,5.45,20109912,Hrana,"1,55"
Svježa pileæa krila,0001915,1,ca. 500g,Naša mesnica,,2.99,4.19,2.99,2101760000000,Hrana,"4,19"
Svježa pileæa krila,0001915,1,ca. 500g,Naša mesnica,,2.99,4.19,2.99,2852008000000,Hrana,"4,19"
Svježa pileæa krila,0001915,1,ca. 500g,Naša mesnica,,2.99,4.19,2.99,2852009000000,Hrana,"4,19"
"Svježi zrnati sir, SK1",0001932,0.2,200g,Milbona,1.35,,,6.75,20002183,Hrana,"1,29"
"Dim. svinjska koljenica, cca. 1,4kg",0001936,1,"ca. 1,4kg",Pikok,6.99,,,6.99,2123869000000,Hrana,"6,99"
"Rolana lopatica bez kože cca. 1,3kg",0001994,1,"ca. 1,3kg",Pikok,5.75,,,5.75,2123866000000,Hrana,"5,75"
"Rolana lopatica bez kože cca. 1,3kg",0001994,1,"ca. 1,3kg",Pikok,5.75,,,5.75,2847717000000,Hrana,"5,75"
"Rolana lopatica bez kože cca. 1,3kg",0001994,1,"ca. 1,3kg",Pikok,5.75,,,5.75,2847718000000,Hrana,"5,75"
Crvena slatka zaèinska paprika,0002084,0.25,250g,Kania,3.99,,,15.96,4056489271994,Hrana,"3,99"
Mljeveni crni papar,0002095,0.1,100g,Kania,1.39,,,13.9,4056489207641,Hrana,"1,79"
Fritt Voæne karamele SK22,0002167,0.07,70g,,0.99,,,14.14,4000607512803,Hrana,"0,99"
Fritt Voæne karamele SK22,0002167,0.07,70g,,0.99,,,14.14,5901783034211,Hrana,"0,99"
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Nestlé,4.19,,,37.41,5011546477633,Piæe,"4,19"
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Nestlé,4.19,,,28.31,5011546477640,Piæe,"4,19"
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Nestlé,4.19,,,37.41,7613035440081,Piæe,"4,19"
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Nestlé,4.19,,,28.31,7613035919433,Piæe,"4,19"
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Nestlé,4.19,,,37.41,7613036701990,Piæe,"4,19"
"Brašno TIP 400 oštro, 1kg",0002224,1,1kg,Belbake,0.75,,,0.75,20156596,Hrana,"0,75"
Prašak za pecivo 10kom.,0002241,0.15,150g,Belbake,0.95,,,6.33,20003333,Hrana,"0,6"
"Gavriloviæ Jetrena pašteta, 100g",0002437,0.1,100g,,1.55,,,15.5,3859892569624,Hrana,"1,49"
"Gavriloviæ Èajna pašteta, 100g",0002440,0.1,100g,,1.55,,,15.5,3859892569648,Hrana,"1,49"
"Fanta Orange, 2l",0002667,2.07,2l,Coca-Cola,2.39,,,1.2,5449000016669,Piæe,"2,28"
Èajni kolutiæi,0002729,0.4,400g,Sondey,1.79,,,4.48,20005382,Hrana,"1,79"
Soft cake SK4,0002743,0.15,150g,Tastino,1.19,,,7.93,20073046,Hrana,"1,15"
Soft cake SK4,0002743,0.15,150g,Tastino,1.19,,,7.93,20073053,Hrana,"1,15"
Draže bomboni s mlijeè. èokoladom,0002874,0.15,150g,Mister Choc,1.69,,,11.27,20114800,Hrana,"1,69"
Orbit žvakaæe gume sort. I,0002907,0.014,14g,Mars,0.99,,,0.99,42113270,Hrana,"0,99"
Orbit žvakaæe gume sort. I,0002907,0.014,14g,Mars,0.99,,,0.99,50173808,Hrana,"0,99"
Milka Èokolada sort.,0002911,0.279,"250g, 276g, 300g",,5.99,,,19.97,7622200009084,Hrana,"5,99"
Milka Èokolada sort.,0002911,0.279,"250g, 276g, 300g",,5.99,,,23.96,7622210683724,Hrana,"5,99"
Milka Èokolada sort.,0002911,0.279,"250g, 276g, 300g",,5.99,,,21.7,7622400717055,Hrana,"5,99"
"Biskvit SK2, SK13, SK20, SK23 400g",0002940,0.4,400g,Confiserie Firenze,2.49,,,6.23,20139797,Hrana,"2,69"
"Biskvit SK2, SK13, SK20, SK23 400g",0002940,0.4,400g,Confiserie Firenze,2.49,,,6.23,4056489697763,Hrana,"2,69"
"Biskvit SK2, SK13, SK20, SK23 400g",0002940,0.4,400g,Confiserie Firenze,2.49,,,6.23,4335619203228,Hrana,"2,69"
Vafel s 32% svj. jaja,0002969,0.25,250g,Confiserie Firenze,1.99,,,7.96,4056489182528,Hrana,"1,99"
Kompletna hrana za maèke SK19,0003002,0.1,100g,Coshida,0.39,,,3.9,20106768,Proizvodi za kuæanstvo,"0,45"
"Cedevita Instant nap. naranèa, 1kg",0003013,1,1000g,,6.69,,,6.69,3850322015780,Piæe,"6,39"
Suha hrana za pse s govedinom,0003022,10,10kg,Bellosan,9.99,,,1,4056489736523,Proizvodi za kuæanstvo,"9,99"
