NAZIV,SIFRA,MARKA,NETO_KOLICINA,JED_MJERE,MPC,CIJENA_PO_MJERI,POSEBNA_PRODAJA,NAJNIZA_30_DANA,SIDRENA_02_05,BARKOD,KATEGORIJA
"6,05KG ARIEL 110P PGP COLOR",271554,"ARIEL PROFESSIONAL","6050 G","KG",55.18,9.12,,55.18,,8700216758512,"sredstva za čišćenje"
"70/1 ARIEL KAPSULE PGP REGULAR",271555,"ARIEL PROFESSIONAL","1391 G","KG",36.1,25.95,,36.1,,8700216752763,"sredstva za čišćenje"
"70/1 ARIEL KAPSULE PGP COLOR",271556,"ARIEL PROFESSIONAL","1331 G","KG",36.1,27.12,,36.1,,8700216752770,"sredstva za čišćenje"
"5,5KG PGP ARIEL PRAŠAK 100 P",271902,"ARIEL","5500 G","KG",44.99,8.18,,44.99,,8700216845885,"sredstva za čišćenje"
"5KG SRED.ČIŠĆ. TEKSTIL I TEPIH",271949,"DEMENTION","5000 G","KG",28.11,5.62,,33.11,,726529963205,"sredstva za čišćenje"
"5L ORNEL 4XKONC. CALMING",115724,"ORNEL","5 L","L",10.95,2.19,,10.95,10.95,3850105107695,"sredstva za čišćenje"
"5L PERIN KOMBI KVAŠENJE RUBLJA",154413,"PERIN","5 L","L",22.73,4.46,,22.73,22.73,3850105107923,"sredstva za čišćenje"
"1L SYSTEM P. ZA UKLJANJ ZAPRLJ",267588,"","1000 G","KG",18.74,18.74,,18.74,18.74,3850105184658,"sredstva za čišćenje"
"5L ORNEL PROFESSIONAL",267589,"ORNEL","5 L","L",11.24,2.25,,9.86,9.86,3850105157744,"sredstva za čišćenje"
"500ML MPRO OSVJEŽ.TKAN. BABY",268532,"METRO PROFESSIONAL",".5 L","L",2.49,4.98,,2.49,2.49,3856024710473,"sredstva za čišćenje"
"500ML MPRO OSVJEŽ.TKAN. GOLD",268533,"METRO PROFESSIONAL",".5 L","L",2.49,4.98,,2.49,2.49,3856024710497,"sredstva za čišćenje"
