NAZIV,SIFRA,MARKA,NETO_KOLICINA,JED_MJERE,MPC,CIJENA_PO_MJERI,POSEBNA_PRODAJA,NAJNIZA_30_DANA,SIDRENA_02_05,BARKOD,KATEGORIJA
"315G BARILLA DVOPEK FETTE DORA",31268,"MULINO BIANCO","315 G","KG",1.81,5.75,,1.81,1.81,8076809512060,"hrana"
"315G BARILLA DVOPEK INTEGRALNI",31269,"MULINO BIANCO","315 G","KG",2.76,8.76,,2.76,2.76,8076809512077,"hrana"
"315G BARILLA DVOPEK INTEGRALNI",266060,"MULINO BIANCO","10080 G","KG",88.37,8.77,,88.37,88.37,8076809037303,"hrana"
"225G DVOPEK CLASSIC KLARA",93860,"KLARA","225 G","KG",1.29,5.73,,1.29,1.29,3858881327528,"hrana"
"330G ŽITO ZLATI PREPEČENEC KLA",221308,"ŽITO","330 G","KG",2.7,8.18,,2.7,2.7,3838700020755,"hrana"
"175G SCHAER DVOPEK BEZ GLU",238677,"SCHAR","175 G","KG",4.62,26.4,,4.62,4.62,8008698028605,"hrana"
"175G SCHAER DVOPEK BEZ GLU",266096,"SCHAR","1050 G","KG",27.72,26.4,,27.72,27.72,8008698028612,"hrana"
"500G LEIMER KRUTONI CLASSIC",264306,"LEIMER","500 G","KG",7.86,15.72,,7.86,7.86,4000186036301,"hrana"
"500G LEIMER KRUTONI ZAČINI",264307,"LEIMER","500 G","KG",7.86,15.72,,7.86,7.86,4000186038305,"hrana"
"1KG LEIMER KUGLICE ZA JUHU",264309,"LEIMER","1000 G","KG",9.49,9.49,,9.49,9.49,4000186032501,"hrana"
"205G WASA KREKER ORIGINAL",269666,"WASA","205 G","KG",2.74,13.37,,2.74,2.74,7300400118118,"hrana"
"1620G MC TORTILJA PŠEN 30CMX18",149144,"METRO CHEF","1620 G","KG",4.45,2.75,,5.06,5.06,4337182242055,"hrana"
"1620G MC TORTILJA PŠEN 30CMX18",260235,"METRO CHEF","9720 G","KG",26.7,2.75,,30.38,30.38,4337182242062,"hrana"
"320G MC TORTILJA PŠEN. 20CMX8K",149145,"METRO CHEF","320 G","KG",1.39,4.34,,1.39,1.39,4337182242093,"hrana"
"320G MC TORTILJA PŠEN. 20CMX8K",260588,"METRO CHEF","4480 G","KG",19.43,4.34,,19.43,19.43,4337182242109,"hrana"
"740G MC TORTILJA 25CM X 12KOM",186068,"METRO CHEF","740 G","KG",2.41,3.26,,2.83,2.83,4337182243496,"hrana"
"740G MC TORTILJA 25CM X 12KOM",260243,"METRO CHEF","5920 G","KG",19.3,3.26,,22.6,22.6,4337182243502,"hrana"
"300G SCHAER PIZZA BAZA B.GLU",238676,"SCHAR","300 G","KG",6.03,20.1,,6.03,6.03,8008698002025,"hrana"
"530G MC TORTILJA PŠ 15CMX18KOM",263478,"METRO CHEF","530 G","KG",2.94,5.55,,2.94,2.94,4337182242130,"hrana"
"1450G MC VIŠEZRN TORT 30CMX15K",263479,"METRO CHEF","1450 G","KG",4.14,2.86,,4.14,4.14,4337182243762,"hrana"
"250G QUICKBURY HOT DOG 4/1",182048,"QUICKBURY","250 G","KG",1.81,7.24,,1.81,1.81,4028491401058,"hrana"
"250G QUICKBURY HOT DOG 4/1",266049,"QUICKBURY","2000 G","KG",14.45,7.23,,14.45,14.45,4028491411057,"hrana"
"300G QUICKBURY PECIVO MEGA BU.",182049,"QUICKBURY","300 G","KG",1.91,6.37,,1.91,1.91,4028491401065,"hrana"
"300G QUICKBURY PECIVO MEGA BU.",260375,"QUICKBURY","2100 G","KG",13.38,6.37,,13.38,13.38,4028491411064,"hrana"
"300G QUICKBURY PECIVO HAMBURG.",182050,"QUICKBURY","300 G","KG",1.91,6.37,,1.91,1.91,4028491401089,"hrana"
"300G QUICKBURY PEC.HAMB.SEZAM",182051,"QUICKBURY","300 G","KG",1.94,6.47,,1.94,1.94,4028491401072,"hrana"
"300G QUICKBURY PEC.HAMB.SEZAM",266050,"QUICKBURY","2400 G","KG",15.54,6.48,,15.54,15.54,4028491411071,"hrana"
"450G ARO PECIVO HAMBURGER 6/1",261874,"ARO","450 G","KG",2.03,4.51,,2.03,2.03,5998985590072,"hrana"
"500G ARO PECIVO HOT DOG 8/1",261875,"ARO","500 G","KG",2.4,4.8,,2.4,2.23,5998985590065,"hrana"
"4X80G GURMANSKA KRUMPIR. PECIV",272490,"MR. DOBELINA","320 G","KG",1.03,3.22,,1.03,,8056249630821,"hrana"
"4X54G SLATKA KRUMPIROVA PECIVA",272491,"MR. DOBELINA","216 G","KG",.79,3.66,,.79,,8056249630883,"hrana"
"4X40G MINI KRUMPIROVA PECIVA",272492,"MR. DOBELINA","160 G","KG",.58,3.63,,.58,,8056249630852,"hrana"
"500G KLARA TOST CLASSIC",2780,"KLARA","500 G","KG",2.04,4.08,,2.04,2.04,3858881320017,"hrana"
"500G KLARA TOST CLASSIC",260469,"KLARA","4000 G","KG",16.3,4.08,,16.3,16.3,3856016951013,"hrana"
"500G KRUH TRAJNI SUNCOKRET",126831,"ENCIAN","500 G","KG",2.46,4.92,,2.46,2.46,4000446001742,"hrana"
"500G KRUH TRAJNI TRI VRSTE ŽIT",126832,"ENCIAN","500 G","KG",2.46,4.92,,2.46,2.46,4000446001735,"hrana"
"430G PANCARRE TOAST",149598,"PANCARRE","430 G","KG",2.15,5,,2.15,2.15,8076809582162,"hrana"
"400G BARILLA PAN BAULETO TOAST",169280,"MULINO BIANCO","400 G","KG",2.05,5.13,,2.05,2.05,8076809504720,"hrana"
"400G BARILLA PAN BAUL.TOAST IN",169283,"MULINO BIANCO","400 G","KG",2.15,5.38,,2.15,2.15,8076809582483,"hrana"
"750G QUICKBURY TOAST SANDWICH",180317,"QUICKBURY","750 G","KG",2.73,3.64,,2.73,2.73,4028491401997,"hrana"
"750G QUICKBURY TOAST SANDWICH",260372,"QUICKBURY","5250 G","KG",19.11,3.64,,19.11,19.11,4028491411996,"hrana"
"500G KLARA TOST S INTEGR.BRAŠ.",184188,"KLARA","500 G","KG",2.57,5.14,,2.57,2.57,3856016900578,"hrana"
"500G KLARA TOST S INTEGR.BRAŠ.",266107,"KLARA","4000 G","KG",20.58,5.15,,20.58,20.58,3856016951143,"hrana"
"4X100G MC PANNE PER BRUSCHETTE",210654,"METRO CHEF","400 G","KG",2.31,5.78,,2.31,2.31,4337182178149,"hrana"
"500G MC PANE TRAMEZ",210656,"METRO CHEF","500 G","KG",3.29,6.58,,3.29,3.29,4337182178132,"hrana"
"500G MC PANE TRAMEZ",260577,"METRO CHEF","3000 G","KG",19.72,6.57,,19.72,19.72,4337182037651,"hrana"
"250G SCHAER NAR. KRUH BEZ GLU",229175,"SCHAR","250 G","KG",2.34,9.36,,2.34,2.34,8008698024065,"hrana"
"300G SCHAER TOAST CLASS B.GLU",238675,"SCHAR","300 G","KG",4.2,14,,4.2,4.2,8008698005576,"hrana"
"500G ARO TOAST CLASSIC",246428,"ARO","500 G","KG",1.14,2.28,,1.14,1.14,3856024702034,"hrana"
"500G ARO TOAST CLASSIC",246850,"ARO","4000 G","KG",9.16,2.29,,9.16,9.16,3856024702041,"hrana"
"750G MC MAXI TOAST",246429,"METRO CHEF","750 G","KG",2,2.67,,2,2,3856024702058,"hrana"
"750G MC MAXI TOAST",246851,"METRO CHEF","4500 G","KG",11.97,2.66,,11.97,11.97,3856024702065,"hrana"
"1KG MC PANE TRAMEZZINI",271479,"METRO CHEF","1000 G","KG",6.05,6.05,,6.05,6.05,4337182178163,"hrana"
"750G MC MAXI TOAST INTEGRALNI",272545,"METRO CHEF","750 G","KG",2.4,3.2,,2.4,,3856024712835,"hrana"
"6X280G MC BAGUETTE POLUPEČENI",265506,"METRO CHEF","1680 G","KG",5.02,2.99,,5.02,5.02,4337182023258,"hrana"
"6X140G MC BAGUETTE POLUPEČENI",265507,"METRO CHEF","840 G","KG",2.73,3.25,,2.73,2.73,4337182023296,"hrana"
"18X50G MC KRUŠĆIĆI PETIT PAIN",265508,"METRO CHEF","900 G","KG",2.73,3.03,,2.73,2.73,4337182023333,"hrana"
"12X75G MC KRUŠĆ PETIT P PUNOZR",265509,"METRO CHEF","900 G","KG",3.12,3.47,,3.12,3.12,4337182023371,"hrana"
"6X140G MC BAGUETTE PUNOZRNATI",265510,"METRO CHEF","840 G","KG",3.15,3.75,,3.15,3.15,4337182023418,"hrana"
"12X75G MC KRUŠĆIĆ PETITE PAIN",265511,"METRO CHEF","900 G","KG",2.73,3.03,,2.73,2.73,4337182023456,"hrana"
"240G SCHAER BIJ KRUH BEZ GLU",229173,"SCHAR","240 G","KG",4.21,17.54,,4.21,4.21,8008698002599,"hrana"
"240G SCHAER BIJ KRUH BEZ GLU",266085,"SCHAR","1200 G","KG",21.05,17.54,,21.05,21.05,8008698011058,"hrana"
"200G SCHAER CIABATTA BEZ GLU",229174,"SCHAR","200 G","KG",3.85,19.25,,3.85,3.85,8008698010259,"hrana"
"100G PAK RAŽENO MIJEŠANO PECIV",199168,"","100 G","KG",.84,8.4,,.84,.84,3858881320697,"hrana"
"500G PAK KLARA RUSTIKA",210744,"","500 G","KG",2.23,4.46,,2.23,2.23,3856016902206,"hrana"
"250G SCHAER KRUH ŽIT. BEZ GLU",229176,"SCHAR","250 G","KG",2.92,11.68,,2.92,2.87,8008698024188,"hrana"
"700G KNORR KOCKICE KRUHA",236869,"KNORR","700 G","KG",14.74,21.06,,14.74,14.74,8593838940751,"hrana"
"700G MLINAR POLUBIJELI KRUH",252778,"MLINAR","700 G","KG",1.7,2.43,,1.7,1.7,3858881127500,"hrana"
"650G MLINAR KRUH BIJELI",252779,"MLINAR","650 G","KG",1.87,2.88,,1.87,1.74,3858881127517,"hrana"
"400G MLINAR CHIA KRUH",252783,"MLINAR","400 G","KG",1.97,4.93,,1.97,1.97,3858889894039,"hrana"
"450G MLINAR CORNY",252788,"MLINAR","450 G","KG",1.82,4.04,,1.82,1.82,3858881124387,"hrana"
"300G MLINAR ŽEMLJA 5/1",252791,"MLINAR","300 G","KG",1.23,4.1,,1.23,1.11,3858881126473,"hrana"
"200G MLINAR LIZIKA 2/1",252792,"MLINAR","200 G","KG",1.11,5.55,,1.11,1.01,3858889893063,"hrana"
"225G MLINAR HAMBY 3/1",252794,"MLINAR","225 G","KG",1.42,6.31,,1.42,1.42,3858889892981,"hrana"
"140G MLINAR HOT DOG 2/1",252795,"MLINAR","140 G","KG",1.03,7.36,,1.03,.93,3858889893025,"hrana"
"250G DUKAT MASLAC",4360,"DUKAT","250 G","KG",3.56,14.24,,3.56,3.56,3858883520859,"hrana"
"1KG MC MASLAC",182144,"METRO CHEF","1000 G","KG",12.17,12.17,,12.17,12.17,3856024710039,"hrana"
"100X10G MEGGLE MASLAC",226395,"MEGGLE","1000 G","KG",16.79,16.79,,16.79,16.79,4034900001580,"hrana"
"10GX200 DUKAT MASLAC",226763,"DUKAT","2000 G","KG",39.89,19.95,,39.89,39.89,3850355004157,"hrana"
"250G MARKENBUTTER MASLAC",227971,"DEUTSCHE MARKENBUTTER","250 G","KG",2.99,11.96,,2.99,2.99,4033854001431,"hrana"
"250G MARKENBUTTER MASLAC",260584,"DEUTSCHE MARKENBUTTER","10000 G","KG",119.6,11.96,,119.6,119.6,4033854001554,"hrana"
"25KG  MARKENBUTTER MASLAC",227974,"DEUTSCHE MARKENBUTTER","25000 G","KG",250.95,10.04,,250.95,250.95,4033854001561,"hrana"
"5X2KG MASLAC ZA LISNATO TIJES.",244525,"LE GRAND TOURAGE","10000 G","KG",113.39,11.34,,113.39,113.39,3256760100949,"hrana"
"100X10G RIOBA MASLAC",257319,"RIOBA","1000 G","KG",15.74,15.74,,15.74,15.74,4333465131047,"hrana"
"1KG ARO MASLAC",269381,"ARO","1000 G","KG",11.12,11.12,,11.12,11.12,4337182244493,"hrana"
"250G ARO MASLAC",269383,"ARO","250 G","KG",2.89,11.56,,2.89,2.89,4337182244479,"hrana"
"250G ISIGNY MASLAC U ROLI",270754,"ISIGNY STE MERE","250 G","KG",4.19,16.76,,4.19,4.19,3254550020422,"hrana"
"500G MC MASLAC SLANI",268048,"METRO CHEF","500 G","KG",6.29,12.58,,6.29,6.29,3439496003610,"hrana"
"800G GHEE MASLAC LA VACHE",267270,"LA VACHE DE PARIS","800 G","KG",11.54,14.43,,11.54,11.54,3256761107329,"hrana"
"250G MEGGLE NAM.ALPINESSE CLAS",187797,"MEGGLE","250 G","KG",4.74,18.96,,4.74,4.74,4034900008190,"hrana"
"125G MEGGLE MASLAC ZAČ.BILJ",20882,"MEGGLE","125 G","KG",3.36,26.88,,3.36,3.24,40349251,"hrana"
"125G MEGGLE MASLAC ZAČ.BILJ",26791,"MEGGLE","1000 G","KG",26.9,26.9,,26.9,25.9,4034900010254,"hrana"
"1L DEBIC ROAST&FRY TEK MASLAC",213134,"DEBIC","1 L","L",9.49,10.32,,9.49,9.49,8715300259028,"hrana"
"250G ARO STOLNI MARGARIN 60%",199451,"ARO","250 G","KG",.68,2.72,,.68,.68,5998985578131,"hrana"
"250G ZVIJEZDA STOLNI MARG 70% STOLNI",226903,"ZVIJEZDA","250 G","KG",1.04,4.16,,1.04,1.04,3858882210102,"hrana"
"250G ZVIJEZDA STOLNI MARG 70% STOLNI",226904,"ZVIJEZDA","10000 G","KG",41.58,4.16,,41.58,41.58,3858882210577,"hrana"
"500G ZVIJEZDA STOLNI MARG 70%",227415,"ZVIJEZDA","500 G","KG",1.94,3.88,,1.94,1.94,3858882210553,"hrana"
"500G ZVIJEZDA STOLNI MARG 70%",227416,"ZVIJEZDA","15000 G","KG",53.55,3.57,,53.55,53.55,3858882210584,"hrana"
"200X10G RIOBA MARGARIN LIGHT",249096,"RIOBA","2000 G","KG",12.59,6.3,,12.59,12.59,5998985529898,"hrana"
"15G MARGO MARGARIN CLASSIC",268779,"MARGO","15 G","KG",.3,20,,.26,.26,3858882213677,"hrana"
"15G MARGO MARGARIN CLASSIC",268780,"MARGO","900 G","KG",18.27,20.3,,15.69,15.69,3858882219235,"hrana"
"400G MARGO MARG NOVA 50%",261365,"MARGO NOVA","400 G","KG",2.09,5.23,,2.09,2.09,3856015327253,"hrana"
"225G MARGO MARG NOVA 50%",261364,"MARGO NOVA","225 G","KG",1.31,5.82,,1.31,1.31,3856015327284,"hrana"
"500G ARO MARG NAMAZ 25%",199450,"ARO","500 G","KG",1.25,2.5,,1.25,1.25,3858889627064,"hrana"
"500G ARO MARG NAMAZ 25%",260586,"ARO","12000 G","KG",29.99,2.5,29.99,29.99,29.99,3858889627071,"hrana"
"500G ARO MARG NAMAZ 25%",266965,"ARO","8000 G","KG",19.99,2.5,,19.99,19.99,3856024708364,"hrana"
"20KG ZVIJEZDA BV MARGARIN 70%",42721,"ZVIJEZDA","20000 G","KG",50.27,2.51,,50.27,50.27,3858882211420,"hrana"
"20KG ZVIJEZDA LT TROPIC MARG",42733,"ZVIJEZDA","20000 G","KG",52.49,2.62,,52.49,52.49,3858882211499,"hrana"
"20KG ZVIJEZDA MARG.ZA KREME-KT",87738,"ZVIJEZDA","20000 G","KG",51.57,2.58,,51.57,51.57,3858882211741,"hrana"
"10KG MARTINI MARGARIN CRVENI",191367,"MARTINI","10000 G","KG",26.97,2.7,,26.97,26.97,8003180901824,"hrana"
"10KG MC BV MARGARIN 80%",226232,"METRO CHEF","10000 G","KG",24.05,2.41,,24.05,24.05,3858889627088,"hrana"
"500G ZVIJEZDA BILJNA MAST",199267,"ZVIJEZDA","500 G","KG",2.68,5.36,,2.68,2.68,3858882210201,"hrana"
"1L DUKAT SVJ MLIJEKO 3,2%",4200,"DUKAT","1 L","L",1.38,1.38,,1.38,1.38,3850354000501,"hrana"
"1L DUKAT SVJ MLIJEKO 3,2%",44645,"DUKAT","12 L","L",16.01,1.33,,16.01,16.01,3850354000518,"hrana"
"1,75L Z'BREGOV SV. ML. 3.2%PET",250817,"'Z BREGOV","1.75 L","L",2.57,1.47,,2.57,2.57,3850108011760,"hrana"
"1L Z'BREGOV SV.MLIJEKO 3,2%PET",250827,"'Z BREGOV","1 L","L",1.57,1.57,,1.57,1.57,3850108011814,"hrana"
"1L Z'BREG S.ML.21DAN 3,2% PET",250815,"'Z BREGOV","1 L","L",1.77,1.77,,1.77,1.77,3850108011845,"hrana"
"1L Z'BREGOV TR MLIJEKO 0,9%",19124,"'Z BREGOV","1 L","L",1.42,1.42,,1.42,1.37,3850108021592,"hrana"
"2L Z'BREGOV TR MLIJEKO 2,8%",97733,"'Z BREGOV","2 L","L",2.06,1.03,,2.06,2.06,3850108020656,"hrana"
"2L Z'BREGOV TR MLIJEKO 2,8%",263035,"'Z BREGOV","12 L","L",12.34,1.03,,12.34,12.34,3850108820652,"hrana"
"2L Z'BREGOV TR MLIJEKO 2,8%",214677,"'Z BREGOV","672 L","L",659.3,.98,659.3,659.3,659.3,2609773301031,"hrana"
"1L DUKAT TR.MLIJ. 3.8% BOCA VI",142814,"DUKAT","1 L","L",1.63,1.63,,1.63,1.63,3850354006091,"hrana"
"0,5L DUKAT TR.MLIJEKO 3.8%BOCA",162560,"DUKAT",".5 L","L",1.1,2.2,,1.1,1.1,3850354006831,"hrana"
"1L ALPSKO MLEKO 3,5%MM TRAJNO",185739,"SENSIA","1 L","L",1.77,1.72,,1.77,1.77,3838800040578,"hrana"
"1L ALPSKO MLEKO 3,5%MM TRAJNO",263077,"SENSIA","12 L","L",21.29,1.72,,21.29,21.29,3838800040585,"hrana"
"1L MC TRAJNO MLIJEKO 3,8% MM",217413,"METRO CHEF","1 L","L",1.07,1.07,,1.07,1.07,3858891661346,"hrana"
"1L MC TRAJNO MLIJEKO 3,8% MM",217960,"METRO CHEF","12 L","L",12.85,1.07,,12.85,12.85,3850108820232,"hrana"
"1L DUKAT ML. ZA KAVU 3,8% BOCA",218366,"DUKAT","1 L","L",1.14,1.14,,1.14,1.14,3850354005872,"hrana"
"1L DUKAT ML. ZA KAVU 3,8% BOCA",216010,"DUKAT","12 L","L",13.73,1.14,,13.73,13.73,3850354005889,"hrana"
"8X1L DUKAT TRAJNO MLIJEKO 2,8%",226196,"DUKAT","8 L","L",8.24,1.03,,8.15,8.15,3850354006077,"hrana"
"1L ARO TRAJNO MLIJEKO 2,8%",239152,"ARO","1 L","L",.76,.76,,.61,.61,3858889624759,"hrana"
"1L ARO TRAJNO MLIJEKO 2,8%",239153,"ARO","12 L","L",9.07,.75,,8.95,8.95,3858889624766,"hrana"
"1L ARO TRAJNO MLIJEKO 2,8%",239154,"ARO","720 L","L",544.32,.75,,536.76,536.76,3858891669182,"hrana"
"1L 'Z BREGOV TR.ML.2,8% TT ČEP",239820,"'Z BREGOV","1 L","L",1.03,1.02,,1.03,1.03,3850108020908,"hrana"
"1L 'Z BREGOV TR.ML.2,8% TT ČEP",263036,"'Z BREGOV","12 L","L",12.34,1.02,,12.34,12.34,3850108820904,"hrana"
"0,5L 'Z BREGOV TR MLIJEKO 2,8%",240574,"'Z BREGOV",".5 L","L",1.04,2.08,,1.04,1.04,3850108020557,"hrana"
"0,5L 'Z BREGOV TR MLIJEKO 2,8%",240575,"'Z BREGOV","6 L","L",11.97,2,,11.97,11.39,3850108820553,"hrana"
"1L DUKAT TRAJNO MLIJEKO 2,8%",253798,"DUKAT","1 L","L",1.03,1.03,,1.02,1.02,3850354016830,"hrana"
"1L DUKAT TRAJNO MLIJEKO 2,8%",263057,"DUKAT","12 L","L",12.18,1.02,,12.18,12.18,3850354016847,"hrana"
"0,5L DUKAT TRAJNO MLIJEKO 2,8%",253801,"DUKAT",".5 L","L",.97,1.94,,.97,.98,3850354016878,"hrana"
"0,5L DUKAT TRAJNO MLIJEKO 2,8%",263078,"DUKAT","6 L","L",11.59,1.93,,11.37,11.37,3850354016885,"hrana"
"1L ARO TRAJNO MLIJEKO 2,8%",258292,"ARO","1 L","L",.82,.82,,.81,.81,5998985571026,"hrana"
"1L ARO TRAJNO MLIJEKO 2,8%",263032,"ARO","12 L","L",9.83,.82,,9.7,9.7,5998985576786,"hrana"
"1L FARMER MLIJEKO 2,8%",270227,"FARMER","1 L","L",.75,.73,,.75,.76,5998200400179,"hrana"
"1L SOLE TR MLIJEKO 3,5%",271938,"SOLE","1 L","L",1.21,1.18,,1.21,,5998200484933,"hrana"
"1L Z'BREGOV KOZ.MLIJEKO 2,8%MM",140747,"'Z BREGOV","1 L","L",2.51,2.51,,2.51,2.51,3850108026108,"hrana"
"1L DUKAT TR.MLIJ. LAGANO JUTRO",111207,"DUKAT","1 L","L",1.73,1.73,,1.73,1.73,3850354017103,"hrana"
"1L ALPRO NAPITAK BADEM BEZ ŠEĆ.",185643,"ALPRO","1 L","L",3.36,3.08,,3.36,3.36,5411188112709,"hrana"
"1L ALPRO NAPITAK BADEM",167981,"ALPRO","1 L","L",3.36,3.36,,3.36,3.36,5411188110835,"hrana"
"1L ALPRO NAPITAK ZOB",181626,"ALPRO","1 L","L",3.36,3.26,,3.36,3.36,5411188115366,"hrana"
"1L ALPRO NAPITAK RIŽA ORGINAL",185642,"ALPRO","1 L","L",3.36,3.26,,3.36,3.36,5411188112549,"hrana"
"1L ALPRO NAPITAK KOKOS S RIŽOM",188144,"ALPRO","1 L","L",3.36,3.33,,3.36,3.36,5411188116592,"hrana"
"1L ALPRO NAPITAK LJEŠNJAK",188145,"ALPRO","1 L","L",3.61,3.57,,3.61,3.56,5411188110842,"hrana"
"1L TRAJNO ML BEZ LAKTOZE 2,8%",208243,"'Z BREGOV","1 L","L",2.09,2.09,,2.09,1.98,3850108023572,"hrana"
"1L ALPRO NAPITAK BAD/VANIL",211303,"ALPRO","1 L","L",3.94,3.94,,3.94,3.91,5411188120742,"hrana"
"1L BARISTA NAPITAK BADEM",244806,"ALPRO","1 L","L",3.49,3.49,,3.49,3.49,5411188129899,"hrana"
"1L BARISTA NAPITAK ZOB",244807,"ALPRO","1 L","L",3.49,3.49,,3.49,3.49,5411188130550,"hrana"
"0,5L Z BREGOV PROT.NAP VANILIJ",250797,"'Z BREGOV",".5 L","L",2.54,5.08,,2.54,2.41,3850108023701,"hrana"
"0,5L Z BREGOV PROT.NAP ČOK-BAN",250798,"'Z BREGOV",".5 L","L",2.54,5.08,,2.54,2.41,3850108023718,"hrana"
"500ML PROTEINSKI NAP.PISTACIJA",254118,"'Z BREGOV",".5 L","L",2.54,4.8,,2.54,2.46,3850108023794,"hrana"
"1L ALPRO SOJA BEZ ŠEĆERA",263318,"ALPRO","1 L","L",2.69,2.61,,2.69,2.65,5411188543398,"hrana"
"1L MC BIO BARISTA NAPIT. BADEM",260487,"METRO CHEF BIO","1 L","L",1.99,1.98,,1.99,1.99,4337182247791,"hrana"
"1L MC BIO NAPITAK ZOB",260483,"METRO CHEF BIO","1 L","L",1.49,1.48,,1.49,1.49,4337182230519,"hrana"
"1L MC BIO NAPITAK SOJA",260486,"METRO CHEF BIO","1 L","L",1.36,1.33,,1.36,1.36,4337182230618,"hrana"
"1L MC BIO BARISTA NAPITAK SOJA",260479,"METRO CHEF BIO","1 L","L",1.49,1.46,,1.49,1.49,4337182231189,"hrana"
"1L MC BIO BARISTA NAPITAK ZOB",260485,"METRO CHEF BIO","1 L","L",1.36,1.33,,1.36,1.36,4337182231080,"hrana"
"1L MC BIO NAPITAK RIŽA",260482,"METRO CHEF BIO","1 L","L",1.24,1.2,,1.24,1.24,4337182181019,"hrana"
"1L MC BIO NAPITAK BADEM",260477,"METRO CHEF BIO","1 L","L",1.86,1.81,,1.86,1.86,4337182230878,"hrana"
"1L MC BIO NAPITAK KOKOS",260476,"METRO CHEF BIO","1 L","L",1.86,1.81,,1.86,1.86,4337182231028,"hrana"
"1L RIOBA MLIJEKO BEZ LAKTOZE",265208,"RIOBA","1 L","L",1.14,1.14,,1.14,1.14,5998985565742,"hrana"
"1L ALPRO SOJA KALCIJ",267384,"ALPRO","1 L","L",2.49,2.43,,2.49,2.49,5411188543381,"hrana"
"0,2L DUKAT ČOKOLADNO MLIJEKO",4245,"DUKAT",".2 L","L",.93,4.65,,.93,.93,3850354002239,"hrana"
"0,5L Z'BREGOV ČOK. MLIJEKO 2%",19129,"'Z BREGOV",".5 L","L",1.61,3.22,,1.61,1.61,3850108023350,"hrana"
"1L DUKAT ČOKOL. MLIJEKO BOCA",165642,"DUKAT","1 L","L",2.5,2.5,,2.5,2.5,3850354007661,"hrana"
"200ML COFFE MILK LATTE MACCHI.",201882,"DUKAT",".2 L","L",1.99,9.48,,1.99,1.99,8594002782023,"hrana"
"0,5L DUKAT ČOKOLADNO MLIJEKO",235416,"DUKAT",".5 L","L",1.46,2.77,,1.46,1.46,3850354017608,"hrana"
"0,5L DUKAT ČOKOLADNO MLIJEKO",235417,"DUKAT","8 L","L",19,2.25,19,19,19,3850354002277,"hrana"
"0,5L DUKAT ČOKOLADNO MLIJEKO",259733,"DUKAT","6 L","L",17.55,2.78,,17.55,17.55,3850354017615,"hrana"
"1KG OBRANO MLIJEKO U PRAHU 1%",260897,"DUKAT","1000 G","KG",9.24,9.24,,8.74,8.74,3850355001132,"hrana"
"1KG MLIJEKO U PRAHU 25%",260898,"DUKAT","1000 G","KG",10.11,10.11,,8.61,8.61,3850355001248,"hrana"
"200G Z'BREGOV KEFIR 3.5%",28794,"'Z BREGOV","200 G","KG",.61,3.05,,.61,.61,3850108030525,"hrana"
"400G Z'BREGOV KEFIR 3.5%",73697,"'Z BREGOV","400 G","KG",1.24,3.1,,1.24,1.24,3850108030518,"hrana"
"900G Z'BREGOV KIS.MLIJEKO 3.2%",164607,"'Z BREGOV","900 G","KG",2.36,2.62,,2.36,2.36,3850108031812,"hrana"
"1KG Z'BREGOV KEFIR 3,5% TREX",206344,"'Z BREGOV","1000 G","KG",2.49,2.49,,2.49,2.36,3850108030488,"hrana"
"0,2L Z'BREGOV LEDENA KAVA",89492,"'Z BREGOV",".2 L","L",1.11,5.55,,1.11,1.06,3850108021059,"hrana"
"1L Z'BREGOV LEDENA KAVA",89495,"'Z BREGOV","1 L","L",2.61,2.61,,2.61,2.61,3850108021820,"hrana"
"220MLSTARBUCKS CAFFE LATTE",256762,"STARBUCKS",".22 L","L",2.36,10.73,,2.36,2.24,5711953166372,"hrana"
"220ML STARBUCKS CAPPUCCINO",256763,"STARBUCKS",".22 L","L",2.6,11.82,,2.6,2.6,5711953166396,"hrana"
"180G DUKAT ČVR JOGURT 3,2%",2180,"DUKAT","180 G","KG",.44,2.44,,.44,.44,3850354001133,"hrana"
"180G DUKAT ČVR JOGURT 3,2%",51371,"DUKAT","3600 G","KG",8.75,2.43,,8.75,8.75,3850354001140,"hrana"
"150G JOGO MIX VOĆNI JOGURT",108076,"JOGO","150 G","KG",.53,3.53,,.53,.53,3850354003526,"hrana"
"900G Z'BREGOV ČVRSTI JOG. 3.2%",145994,"'Z BREGOV","900 G","KG",2.24,2.49,,2.24,2.24,3850108030174,"hrana"
"900G Z'BREGOV ČVRSTI JOG. 3.2%",260257,"'Z BREGOV","5400 G","KG",13.43,2.49,,13.43,13.43,3850108830170,"hrana"
"150GR DUKATOS JOGURT BADEM/PISTA",176633,"DUKAT","150 G","KG",1.03,6.87,,1.03,1.03,3850354009764,"hrana"
"150GR DUKATOS JOGURT BADEM/PISTA",263060,"DUKAT","900 G","KG",6.15,6.83,,5.96,5.96,3850354009771,"hrana"
"150GR DUKATOS JOGURT JAGODA",176677,"DUKAT","150 G","KG",1.03,6.87,,1.03,1.03,3850354009788,"hrana"
"150GR DUKATOS JOGURT JAGODA",263062,"DUKAT","900 G","KG",6.15,6.83,,5.96,5.96,3850354009795,"hrana"
"450G DUKATOS JOGURT NATUR",189123,"DUKAT","450 G","KG",2.24,4.98,,2.24,2.24,3850354010784,"hrana"
"450G DUKATOS JOGURT NATUR",260642,"DUKAT","2700 G","KG",13.43,4.97,,13.43,13.43,2618912301023,"hrana"
