ID naselja,Naziv naselja,Eksterni ID naselja,ID općine,Naziv općine,Eksterni ID općine,ID županije,Naziv županije,Eksterni ID županije
51314,Praščevac,51314,1147,Farkaševac,1147,1,Zagrebačka,1
51322,Prašćari,51322,4979,Višnjan,4979,18,Istarska,18
51349,Pravutina,51349,5304,Žakanje,5304,4,Karlovačka,4
51357,Pražnica,51357,3581,Pučišća,3581,17,Splitsko-dalmatinska,17
51365,Prebukovje,51365,124,Bednja,124,5,Varaždinska,5
51373,Prečec,51373,337,Brckovljani,337,1,Zagrebačka,1
51381,Prečno,51381,1589,Ivanić-Grad,1589,1,Zagrebačka,1
51390,Predavac,51390,3751,Rovišće,3751,7,Bjelovarsko-bilogorska,7
51403,Predavec,51403,1937,Kloštar Ivanić,1937,1,Zagrebačka,1
51411,Predavec Križevački,51411,4391,Sveti Ivan Žabno,4391,6,Koprivničko-križevačka,6
51420,Predošćica,51420,523,Cres,523,8,Primorsko-goranska,8
51438,Pregrada,51438,3522,Pregrada,3522,2,Krapinsko-zagorska,2
51446,Prekno,51446,4847,Vidovec,4847,5,Varaždinska,5
51454,Preko,51454,3549,Preko,3549,13,Zadarska,13
51462,Prekobrdo,51462,3751,Rovišće,3751,7,Bjelovarsko-bilogorska,7
51489,Prekopa,51489,1210,Glina,1210,3,Sisačko-moslavačka,3
51497,Prekopa,51497,4529,Štrigova,4529,20,Međimurska,20
51519,Prekopakra,51519,3182,Pakrac,3182,11,Požeško-slavonska,11
51527,Prekoračani,51527,566,Čačinci,566,10,Virovitičko-podravska,10
51535,Prekrižje Plešivičko,51535,3808,Samobor,3808,1,Zagrebačka,1
51543,Prekvršje,51543,1333,Grad Zagreb,1333,22,Grad Zagreb,22
51551,Prelog,51551,3557,Prelog,3557,20,Međimurska,20
51560,Prelošćica,51560,3913,Sisak,3913,3,Sisačko-moslavačka,3
51578,Premantura,51578,2631,Medulin,2631,18,Istarska,18
51586,Premuda,51586,5207,Zadar,5207,13,Zadarska,13
51594,Prepolno,51594,4294,Sveti Ivan Zelina,4294,1,Zagrebačka,1
51608,Prepuštovec,51608,418,Budinščina,418,2,Krapinsko-zagorska,2
51616,Prepuštovec,51616,1333,Grad Zagreb,1333,22,Grad Zagreb,22
51624,Prerovec,51624,1589,Ivanić-Grad,1589,1,Zagrebačka,1
51632,Presečno,51632,2895,Novi Marof,2895,5,Varaždinska,5
51659,Presečno Visočko,51659,4936,Visoko,4936,5,Varaždinska,5
51675,Preseka,51675,6041,Gornji Mihaljevec,6041,20,Međimurska,20
51667,Preseka,51667,3565,Preseka,3565,1,Zagrebačka,1
51683,Preseka Oborovska,51683,3760,Rugvica,3760,1,Zagrebačka,1
51691,Preseka Ozaljska,51691,5304,Žakanje,5304,4,Karlovačka,4
51705,Preseka Petrovska,51705,3298,Petrovsko,3298,2,Krapinsko-zagorska,2
51713,Presika,51713,2224,Labin,2224,18,Istarska,18
51721,Presika,51721,5096,Vrbovsko,5096,8,Primorsko-goranska,8
51730,Preslatinci,51730,949,Drenje,949,14,Osječko-baranjska,14
