Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
GRASAK 400 G SENESI;960005;SENESI;0,400 KG;KOM;,79;1,98;;;,79;8055277600264;HRANA;
LECA 400 G SENESI;960006;SENESI;0,400 KG;KOM;,79;1,98;;;,79;8055277600325;HRANA;
CRVENI GRAH 400 G SENESI;960011;SENESI;0,400 KG;KOM;,93;2,33;;;,93;8055277600295;HRANA;
GRAH U PIKANTNOM UMAKU 400 G SENESI;960012;SENESI;0,400 KG;KOM;,99;2,48;;;,99;8055277600288;HRANA;
PLUMCAKE S PUNJENJEM OD MARELICE BEZ GLUT.270 G LIVE;960013;LIVE GLUTEN/LACTOSE FREE;0,270 KG;KOM;3,49;12,93;;;3,49;3856025865585;HRANA;
SOFTY OMEKSIVAC  CLASSIC 4 L;960014;SOFTY;4 L;KOM;4,49;1,12;;;4,49;3856025846362;SREDSTVA ZA CISCENJE;
SOFTY OMEKSIVAC ARGAN 4 L;960015;SOFTY;4 L;KOM;4,49;1,12;;;4,49;3856025846348;SREDSTVA ZA CISCENJE;
SOFTY OMEKSIVAC LOTUS 4 L;960016;SOFTY;4 L;KOM;4,49;1,12;;;4,49;3856025852509;SREDSTVA ZA CISCENJE;
GALLUS DETERDZENT UNIVERSAL 6,5 KG 100 PRANJA;960017;GALLUS;6 KG;KOM;11,99;2,00;;;19,99;4251415302968;SREDSTVA ZA CISCENJE;
SPUZ.SCRUB MOMMY;960065;SCRUB SPUZVICE;;KOM;3,39;;;;3,99;5060481022040;PROIZVODI ZA KUCANSTVO;
VINO CHARDONNAY 0,75 L GALIC;960077;GALIC;0,750 L;KOM;16,99;22,65;;;16,99;3859891991044;PICE;
VINO ROSE 0,75 L GALIC;960078;GALIC;0,750 L;KOM;13,99;18,65;;;13,99;3859891991051;PICE;
VINO SAUVIGNON 0,75 L GALIC;960079;GALIC;0,750 L;KOM;14,99;19,99;;;14,99;3859891991037;PICE;
H S SAMPON 800 ML CLASSIC;960096;HEAD   SHOULDERS;0,800 L;KOM;12,49;15,61;;;12,49;8700216156134;KOZMETIKA;
H S SAMPON 800 ML CITRUS;960137;HEAD   SHOULDERS;0,800 L;KOM;12,49;15,61;;;12,49;8700216156172;KOZMETIKA;
H S SAMPON 800 ML APPLE FRESH;960138;HEAD   SHOULDERS;0,800 L;KOM;12,49;15,61;;;12,49;8700216306782;KOZMETIKA;
PJENUSAC RIONDO PROSECCO DOC SPUMANTE EXTRA DRY 0,2 L;960188;RIONDO;0,200 L;KOM;;9,45;1,89;2,52;2,52;8001968005634;PICE;
COCCOL.KON 1700ML BLUE SPLASH;960194;COCOLINO;1,7 L;KOM;6,29;3,70;;;6,99;8720181410680;SREDSTVA ZA CISCENJE;
GALLUS KAPSULE UNIVERSAL 30 KOM 3U1;960233;GALLUS;30 KOM;KOM;;0,20;5,99;7,99;7,99;4251415301701;SREDSTVA ZA CISCENJE;
GALLUS KAPSULE COLOR 30 KOM 3U1;960234;GALLUS;8 KOM;KOM;;0,75;5,99;7,99;7,99;4251415301893;SREDSTVA ZA CISCENJE;
COCCOLINO KON.975 ML BLUE SPLASH;960235;COCOLINO;0,975 L;KOM;4,95;5,08;;;4,96;8720181410543;SREDSTVA ZA CISCENJE;
LIGNJA KOLUTICI I KRAKOVI 400 G BARBA;960239;BARBA;0,400 KG;KOM;5,69;14,23;;;6,49;3856025871678;HRANA;
DOMESTOS FLORAL GEL 700 M;960285;DOMESTOS;0,700 L;KOM;3,29;4,70;;;3,99;8720181345920;SREDSTVA ZA CISCENJE;
REGINA TOALETNI PAPIR KAMILICA 16/1 3 SL;960291;REGINA;16 KOM;KOM;7,99;0,50;;;7,99;8004260012188;TOALETNE POTREPSTINE;
SOK FIZZY COLA 2 L PET;960574;FIZZY;2 L;KOM;1,02;0,51;;;1,02;3858886239567;PICE;
SOK FIZZY NARANCA 2 L PET;960575;FIZZY;2 L;KOM;1,02;0,51;;;1,02;3858886239574;PICE;
MJESAVINA ZA TIJESTO BROWNIES 456 G;960736;DR.OETKER;0,456 KG;KOM;3,99;8,75;;;3,99;5997381371353;HRANA;
VITA VK HR.TROP.RIBE 100 ML;960869;HOBBY VITAKRAFT;0,100 L;KOM;2,79;27,90;;;2,79;4008239598127;HRANA;
BRASNO T-550 1 KG PLODINE;961053;RUSTINI;1 KG;KOM;,75;0,75;;;,75;3858886238669;HRANA;
VAPE TABLETE PROTIV KOMARCE 30 KOM TABLETA;961162;VAPE;30 KOM;KOM;3,67;0,12;;;3,67;8006320061952;SREDSTVA ZA CISCENJE;
VINO GRASEVINA 3 L BOX BELJE JAMNICA;961663;BELJE VINA;3 L;KOM;14,99;5,00;;;14,99;3850257019457;PICE;
PEDIGREE ADULT 4X100 G VRECICA;961867;MARS PETCARE;0,400 KG;KOM;2,99;7,48;;;2,99;5900951021015;HRANA;
LEDENI CAJ BRESKVA 2 L BRIK VINDIJA;962518;VINDIJA VINDI;2 L;KOM;2,19;1,10;;;2,19;3850108071337;PICE;
SOK VINDI MULTI ACE 2 L BRIK;962519;VINDIJA VINDI;2 L;KOM;2,49;1,25;;;2,49;3850108073379;PICE;
SOK VINDI NEKTAR JABUKA 2 L;962521;VINDIJA VINDI;2 L;KOM;2,49;1,25;;;2,49;3850108078749;PICE;
PALETTE ICC N5 TAMNOPLAVA;962588;PALLETE ICC;1 KOM;KOM;;3,49;3,49;3,49;4,99;3838824159577;KOZMETIKA;
VODKA KEGLEVICH CLASSIC 38% 1 L;962775;KEGLEVICH;1 L;KOM;13,02;13,02;;;13,02;8000440112372;PICE;
PIVO STELLA ARTOIS 4 X 0,5 L LIMENKA;962962;STELLA ARTOIS;2 L;KOM;;2,00;3,99;6,39;6,11;3850131483374;PICE;
VRHNJE ZA SLAG 500 G VINDIJA;962964;VINDIJA-Z'BREGOV;0,500 KG;KOM;4,29;8,58;;;3,99;3850108033663;HRANA;
DOVE INVISIBLE DRY SPR 150 ML;963067;DOVE;0,150 L;KOM;5,35;35,67;;;5,35;8720181291623;KOZMETIKA;
BAKE ROLLS PIZZA 80 G;963131;CHIPITA - BAKE ROLLS;0,080 KG;KOM;,49;6,13;;;,8;7622202016196;HRANA;
NJOKI 1000 G PLODINE;963307;BAKINA KUHARICA;1 KG;KOM;2,79;2,79;;;2,79;3856031203234;HRANA;
